l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
111102,35115,229024262,97341169,5376951,0,0,920413233,16318464,94044160,262144
101066,38121,229312586,97522892,5500906,0,0,104816336,16252928,15335424,0
108891,40050,229594467,97469104,5446038,0,0,105407153,17498112,10551296,0
110251,40606,229044269,97467217,5490919,0,0,105042642,20054016,11075584,1048576
148893,59687,228529354,97434026,5537685,0,0,105130320,19988480,10616832,0
113818,36764,229347717,97494338,5502799,0,0,105116472,20971520,12058624,0
93092,31356,195813762,83250138,4683558,0,0,4778266125,327680,21495808,0
146932,56283,273746984,119710059,10462652,0,0,104967480,8126464,9043968,131072
133503,50704,279946583,119330148,7922733,0,0,105220015,13631488,12713984,0
134330,50822,280886324,122921134,8360043,0,0,105071213,17301504,12189696,0
143831,68053,295027246,128713385,8694087,0,0,105195493,21364736,13500416,0
142905,57327,310656876,132337153,7945133,0,0,105082124,23330816,14090240,393216
137882,52643,291889748,124708493,7923392,0,0,105039294,13828096,19857408,0
97308,41279,230026566,97490880,6224946,0,0,105164532,10158080,12451840,0
124290,45317,217305924,93342674,6171131,0,0,105123270,10813440,8126464,262144
142928,53620,202339524,86062700,6173406,0,0,105124356,16252928,13959168,0
114296,38533,221472135,93689429,5140143,0,0,105131520,18546688,5898240,262144
111860,38025,218416982,92834179,5030770,0,0,105117616,20578304,10551296,0
104416,37086,218433772,92913692,5214715,0,0,105093803,20709376,7864320,0
101943,37523,214323990,91312096,5238480,0,0,105158341,15204352,12910592,131072
89266,37497,207306894,88602657,5389764,0,0,105195792,12845056,10616832,0
101064,38195,208384895,88504551,5050705,0,0,105152672,13893632,10158080,0
118313,34720,207676756,88384225,5354186,0,0,105127896,16187392,9437184,131072
103474,36910,208162598,88426283,4999465,0,0,105079785,17891328,8912896,0
128720,37328,208299454,88388072,4933658,0,0,105136413,19398656,8650752,131072
99978,38073,208705101,88425134,4948722,0,0,105066717,19595264,11075584,262144
94037,33051,184685193,80072915,4555198,0,0,105238080,15597568,14745600,0
109668,41813,196197491,83853380,5139690,0,0,105065319,14090240,12517376,0
96952,40644,196345681,83748006,4944662,0,0,104960652,15204352,8781824,196608
96849,35154,197105361,83869747,4838320,0,0,105130572,16842752,8847360,0
92023,35959,196540893,83915377,5059770,0,0,105139277,18481152,8454144,131072
111673,36308,196517340,83908576,5132474,0,0,105093991,20840448,9633792,0
97120,36302,192858781,82512821,4975759,0,0,105232582,17629184,9502720,131072
98084,35974,184858973,79427455,5077743,0,0,105184092,12845056,11993088,65536
111122,39488,184752046,79297905,4976077,0,0,105078203,13303808,8716288,0
106361,37151,185005593,79327815,5223332,0,0,105233929,15007744,6291456,0
91719,33875,185806189,79306247,4818720,0,0,105106478,15990784,5242880,131072
83297,32349,184463661,79327790,5014513,0,0,105172626,18219008,8650752,0
112700,38064,185716729,79388836,4793751,0,0,105010020,18350080,8192000,0
97616,38548,174183027,74963609,4691534,0,0,105106941,14024704,11272192,0
93183,34896,175737137,74927544,4369598,0,0,105234701,12320768,7405568,131072
242340,173399,137577334,66254494,5279077,0,0,105102808,20381696,23986176,1376256
654526,350830,148198374,75301980,19165165,0,0,105124113,21561344,3342336,0
1515767,682424,420901405,307062553,97246058,2669,0,105288318,36765696,78577664,2949120
3503196,1677200,637409321,619623050,209557828,3239,0,105249083,35979264,126943232,0
2637358,1313902,541181642,535469040,182242690,2131,0,105170608,25952256,106102784,1572864
2596969,5863773,278587046,326649322,145540860,7273,4,105536634,37421056,838205440,6422528
4742072,4444756,293277665,459164222,323516807,25377,3,105248614,40239104,611254272,0
5627376,5097317,335705030,510857236,360704731,1282,0,105122284,37683200,415367168,0
1138397,645533,60623894,94669331,60504668,34,0,105107479,36438016,56229888,0
7585114,705993,1034586134,493826797,134467699,332088,0,105420590,37158912,80936960,196608
9446085,573447,1395815171,598595379,127103777,16774,0,105299793,32112640,45875200,589824
8937684,782927,1307958281,576113897,139209964,28015,0,105345898,31719424,60358656,458752
8600686,844652,1252960334,558570854,139996156,22600,0,105258754,32440320,69992448,196608
8623071,557390,1263753112,556160635,126067327,12870,0,105193967,36700160,42467328,0
8663228,542925,1260252801,558288537,120355675,12063,0,105426237,36110336,42926080,0
8732915,443024,1243631823,558188010,116183226,9789,0,105240108,37027840,36634624,196608
7528227,570833,1175018954,554871489,126906513,10190,0,105282127,37748736,44105728,131072
7574139,750786,1111067210,554251418,148510289,21146,0,105209471,32374784,65273856,720896
7174620,965744,1019584886,522778615,146436678,14130,1,105441228,32440320,71696384,0
5896165,1023763,954133583,516253478,151500252,13009,0,105227844,33816576,73990144,0
6067411,791758,977747238,517079238,139113539,17714,0,105218468,37814272,64290816,196608
5698808,983928,922084087,516344285,145964909,8704,0,105302876,37879808,79822848,851968
5589442,1193668,871531039,512462963,156134745,8677,0,105331070,38273024,96141312,0
4584433,1298973,883128668,516287678,158534189,11211,0,105388114,32571392,105644032,458752
4481509,1398974,794190850,473485179,149254310,32230,0,105349309,31129600,123469824,65536
4361746,1020603,811922408,476968440,151277892,8955,0,105222601,31326208,87359488,0
4676239,1288530,764008100,477444794,155710717,15417,0,105295906,37355520,102236160,1507328
4322780,1289657,787505839,477416193,143845708,5835,0,105352847,38076416,92995584,0
4331059,1325815,744399410,474523280,158424839,13257,0,105263985,38469632,111804416,1507328
4301089,1131468,842349922,476910600,141952464,20292,0,105296817,38666240,99221504,0
4354199,1683621,699547769,474808858,175392730,8537,0,105387409,32440320,135790592,327680
4332040,1518905,759431238,475136959,160058598,11125,0,105309954,33947648,129040384,0
4029170,1201471,810284249,475470530,148217018,17867,0,105319940,37486592,108199936,131072
3966347,966356,831329109,477681602,134759469,3720,0,105405596,37879808,73793536,262144
4192257,1206480,832225690,476472594,133515366,1645,0,105273484,37486592,89391104,0
4081667,1920515,716437175,470258627,155787828,6333,0,105281424,32505856,131923968,1179648
3436473,1165370,712141528,417973548,126215595,4168,0,105239268,30998528,95158272,0
3091975,1099523,684543083,417211273,135158464,9001,0,105268252,36175872,88014848,0
3764776,1345342,661711931,417474314,125680774,1365,0,105385236,37552128,94699520,131072
3609165,1509323,665501796,414396096,120353125,3929,0,105217951,37355520,89915392,262144
3627853,1204943,689303895,417016967,125081590,4447,0,105198633,38404096,97320960,0
3407005,1215697,632482058,388565408,115551600,3011,0,105293116,30998528,82247680,851968
2673332,1062080,557743399,358462794,119569785,10677,0,105285290,31064064,78970880,0
2949990,844959,662374864,358146901,89235897,4102,0,105241969,36372480,49217536,720896
2464460,1097021,494994787,337975420,112375958,3904,0,105208119,36962304,76939264,0
2957474,1164366,569571207,353201246,113036900,3127,0,105236518,37945344,84213760,1048576
2975488,1128612,550083601,350711039,114858756,196,0,105286925,34406400,86114304,0
2571855,1072352,471179447,295937195,97347564,2586,0,105487618,30670848,83099648,1769472
2757837,701532,500077504,295979278,95859361,1379,0,105109032,35520512,73859072,0
2704006,1352745,429558825,295551859,101771339,1632,1,105251790,36700160,84410368,393216
2554807,1343614,417432459,290555816,106296378,7778,0,105269857,37617664,103415808,1310720
2531375,789557,507730861,295407385,94841223,3085,0,105247835,36569088,71958528,0
2405466,785849,463678202,269403162,75588176,907,0,105074615,29687808,66191360,0
2086633,776302,371871379,236147946,74713461,166,0,105319765,27721728,54067200,0
2002327,619157,424525604,238471504,67132071,1343,0,105199066,34865152,56229888,1835008
1830854,711220,366073313,236759822,75718568,16,0,105245189,36831232,52035584,0
1829296,494119,401527171,234907265,61914789,132,0,105216349,35389440,43450368,1376256
2079087,1139321,336859182,234130212,84766106,53707,0,105247408,37027840,80216064,0
1569657,1220557,225726300,188751141,80334236,1,0,105000348,29097984,80871424,0
1328933,534499,275872466,175946602,58094922,4,0,105375587,26935296,51314688,1245184
558700,157423,114982839,68123951,20348056,14,203,334940025,11993088,22872064,2949120
2900719,2832026,474160272,450533522,228103644,4355,34891,104725558,8454144,786432,247201792
4356587,4076386,802242227,621725054,304101702,56044,13372,105171873,6619136,917504,307953664
4247450,4050435,787325694,623704527,300844365,10138,10793,105377223,5767168,655360,346882048
4190261,3983069,849010193,626570662,281354192,15881,1683,105620408,5701632,1310720,337313792
4182889,3881133,812223226,641086102,294496636,33248,554,105307216,4128768,1441792,271187968
4217766,3982882,766406057,664544508,331793434,25697,104,105719208,2621440,131072,331218944
4027258,3629148,681419334,664500074,361819570,19882,10,105413070,2228224,262144,329973760
4073899,3843127,787158671,673956121,340255629,47819,49,105039354,2097152,1900544,290848768
4423576,4088899,798372768,677485447,345369114,34090,1,105157948,1835008,917504,329973760
4160549,3815428,816257231,677128398,319776245,62088,0,105717430,1441792,786432,355401728
4302477,4093751,764187951,691437475,352230873,62876,10,105494277,1441792,2097152,315686912
3676607,3463156,635212223,695306198,389664095,44777,13,105434602,1703936,983040,304807936
3065814,2839001,660989893,551074129,274558385,26507,4,105062643,1376256,458752,255328256
3286532,3089322,682987643,531319883,256460442,32378,0,105615237,1507328,65536,222887936
3354540,3105669,744205865,537623361,230352405,37662,0,105159950,917504,65536,223870976
2674036,2550296,695027045,491002027,198343754,41734,0,105525910,917504,65536,193593344
2263644,1883965,638776471,468537753,194353488,65973,0,105130501,1048576,131072,143982592
2029397,1676464,574511635,472720525,210258067,97079,0,104809698,983040,65536,178192384
1514994,1263402,514694572,395994474,162871332,80165,0,105394646,655360,65536,102629376
1262961,1072744,446210288,344104858,141530504,74060,0,105138544,589824,65536,61145088
886126,927278,335143828,260748414,106367195,22323,0,104957566,327680,0,50593792
483481,470140,159985395,94536946,27250941,0,0,105484057,655360,0,35520512
357421,386276,155851016,94562382,28827190,0,0,105028343,262144,0,35848192
325471,334911,147496213,94556575,30272342,0,0,105468405,65536,0,31653888
185288,365141,146851828,94545899,28613674,0,0,104798988,262144,0,29753344
299684,229892,147853457,94600879,28365920,0,0,105372407,262144,0,26017792
200493,202671,151071922,94506083,27293693,0,0,105121282,196608,0,22937600
243871,179800,148802155,94539923,30805336,56,0,105445774,1179648,131072,46268416
4183693,3629744,415745910,558779018,345983466,203837,0,105234234,1179648,1835008,312606720
4318356,4282180,592006687,754850590,507689297,20627,1,104996591,1376256,1048576,388038656
5024645,4636057,814465964,759898528,407749722,25854,0,105301441,1245184,720896,441581568
4765542,4702568,732726086,778525241,464675905,15552,1,105477617,1179648,196608,384958464
4998061,4509337,717429289,786661641,472996778,34417,0,105446950,1638400,1114112,415170560
5202717,5067015,922780838,794869515,421288384,37307,0,105475251,1376256,1835008,485031936
5105656,4877197,804784566,795456498,462588552,16000,0,105080444,1179648,1769472,449445888
5303955,5107238,872283458,788695468,440192489,18493,1,105331121,1376256,2883584,451936256
5523936,5281911,1053833415,866861560,433357030,26958,0,105286013,1572864,1572864,457506816
6155086,5829473,1140167384,1024469809,573835165,35081,1,105862876,1966080,1310720,488636416
5881404,5401514,1067079390,1037766434,564562932,53389,4,105229467,1114112,1179648,637009920
5021546,4505914,891151787,1032752590,628393305,90925,1,105292579,786432,983040,404029440
5064928,4551809,815323567,1034171541,647022862,122424,1,105238007,1245184,1179648,428539904
3963310,3986904,592648322,967547277,657814586,17919,6,105371819,1048576,1441792,360710144
5404325,5066839,845838234,997342219,638567739,20097,1,105719747,1900544,1835008,406847488
5964147,5616103,1146097043,1013891024,554112522,49224,0,105164206,1507328,1048576,432275456
5629449,5569772,998399186,1023133600,598984535,28977,0,105234710,1048576,589824,446693376
5560834,5349680,1083874618,1018255365,569901471,25000,0,105209167,1310720,262144,454492160
5074301,4826299,852676963,1018356182,643423590,43303,1,105386127,1310720,589824,486146048
5572168,5402089,971141534,1017136667,637106513,18597,0,105120225,1638400,262144,561971200
5890600,5636358,1002414106,1007581325,605152418,25304,0,105545944,1900544,327680,527761408
6327757,5860446,1135517036,1032862561,577804646,35893,0,105559594,1441792,262144,531759104
6256968,5807386,1174326062,1036061449,557776918,27633,1,105127680,1245184,720896,549781504
5467792,5140573,998725934,1010784752,577469293,36816,0,105342678,1376256,1245184,514785280
5182230,4963906,949911417,1007221124,581808798,58689,0,105750295,1048576,262144,522780672
5136164,4677549,896252851,1028080735,629151106,61422,0,105145761,1572864,262144,583335936
5602103,5490396,1124567569,1036951645,575791083,67653,0,107252978,1114112,458752,518979584
5425279,4841789,1069603698,1038609575,600632035,68207,0,103455569,1441792,0,529465344
5472236,4702481,1053773021,1036420938,576243618,85090,0,105133567,1376256,1507328,455868416
4667112,4066925,798845323,1003814660,614939716,54339,1,105365218,1179648,917504,478543872
4217636,4010426,765284766,987449813,629749549,47542,0,105332150,1769472,1048576,467337216
4912177,4495313,763309776,1007703840,659023992,32610,0,105440160,1703936,1179648,395116544
5438416,5038635,764020873,1019901917,684517431,97554,3,105256963,1507328,786432,448724992
5991459,5782728,1245910270,1027100405,568750973,38506,0,105065786,983040,1441792,467664896
6552196,6006719,1258847533,1036811776,545678006,51430,1,105551320,1179648,393216,481886208
5485789,4957890,940342233,1027579830,611825478,48288,0,104926892,1835008,589824,492371968
5003757,4523023,898042588,1009874241,592407482,41918,3,106098594,1441792,655360,417660928
5322573,4999921,872071464,1023546923,639771220,42347,0,105059605,1310720,393216,357105664
5799210,5092460,1046161064,1033671591,585798140,100661,0,105467509,1507328,1048576,433979392
5258202,4677825,934036302,1021800611,605812967,101310,0,105339297,1376256,1376256,423559168
5078337,4801436,904208195,1032996503,630579259,76167,0,105158795,1179648,917504,362479616
3351022,2960072,629301582,684078736,406996887,57534,0,377869387,786432,2293760,226295808
265334,280329,77769612,56717432,21276846,0,0,104162261,2097152,27590656,0
452599,366673,81734254,55123509,20184834,0,0,105202674,2097152,31916032,196608
480082,404303,75383357,56520371,22611302,0,0,105119031,1966080,33816576,0
379821,362976,77635655,56687790,22811963,0,0,105180405,2097152,26935296,0
385513,260275,91415980,57638478,20698175,0,0,105068652,10682368,23199744,786432
486732,249271,92111284,58333753,20484426,0,0,105185078,21364736,16580608,0
443960,273140,90845328,58483361,20662470,0,0,105150160,26935296,14614528,589824
248326,242394,95859678,58440169,14873845,0,0,105085982,28573696,8519680,524288
432251,291059,75317700,58623716,19063889,0,0,105087844,27197440,15466496,0
325753,90386,115996762,59550670,13242118,0,0,105211940,26411008,5570560,0
418636,125599,118888827,59472019,15756059,0,0,105076279,26476544,11403264,0
454050,99469,110447575,59673841,12617514,0,0,105369110,26673152,7340032,1376256
505969,181086,111779127,59605092,11588323,0,0,105141939,25034752,7929856,0
433524,231240,107123553,59451331,12683485,0,0,104961157,22675456,12320768,0
348168,67406,112954273,59599023,15545061,0,0,105136224,23461888,7340032,589824
418034,69713,101239959,59527668,17933422,0,0,105019203,25362432,8847360,0
484661,53006,115653770,59586095,15153708,0,0,105110193,20447232,8650752,786432
497028,190461,99366559,59519960,14807785,0,0,105132219,19988480,10485760,0
469676,89435,128506883,59625748,11935076,0,0,105141576,19857408,7471104,524288
402045,18219,122240708,59651664,12460272,0,0,105127152,21037056,4063232,0
380846,15213,128285776,59636395,10434370,0,0,105133833,20905984,1310720,0
465757,54326,106851394,59521966,11552911,0,0,105130737,21299200,2097152,196608
444433,16976,122787968,59571980,12629474,0,0,105285722,20905984,1703936,0
374895,19471,130984844,59610124,11266710,0,0,104965090,20905984,983040,0
263324,28416,118380492,59686568,11075181,0,0,105177663,20840448,1572864,0
401574,21857,107331641,59510385,12223648,0,0,105130773,20709376,786432,0
253920,18002,125606522,59622854,12438635,0,0,105128940,19922944,524288,131072
317334,44327,121841574,59590688,11306246,0,0,105202586,20447232,2228224,0
357374,136063,96216518,59451664,16905296,0,0,105238889,25034752,9175040,0
393859,30484,99298015,59147609,14282684,0,0,105237370,25493504,4128768,917504
515109,70074,117533011,59208505,14556888,0,0,104900572,25034752,8847360,0
428359,98915,121405201,59046785,13045149,0,0,105127941,25427968,5177344,0
281039,96215,102267916,58718438,14123647,0,0,105197832,26345472,5111808,0
313957,31174,94131897,59093156,14676572,0,0,105115968,26017792,1638400,0
411384,72818,104811315,59221100,13529963,0,0,105155967,26083328,8716288,0
485845,124989,103531469,59127552,15580584,0,0,105317738,27131904,11862016,196608
445719,135222,111363090,57556223,13618829,0,0,104950525,28180480,10551296,0
329338,142228,89410700,57759619,16884367,0,0,105064158,29163520,10027008,393216
276377,26240,100875988,59288177,15542511,0,0,105158268,27000832,6684672,0
458516,122170,105963578,58929380,14874136,0,0,105274958,27131904,13500416,0
495949,215695,89120893,58768344,16019568,0,0,105131194,26476544,19660800,262144
381779,298817,88615591,58293981,18912374,0,0,104969535,30736384,15859712,0
192577,37570,95151951,58824651,18736882,0,0,105128286,30801920,10092544,393216
313789,83043,100637260,59133702,19620348,0,0,105136443,26083328,14417920,589824
485599,200197,104191884,59048197,15763287,0,0,105415357,27525120,15204352,0
393500,105176,111793716,58981533,15121741,0,0,104897108,28770304,10420224,0
248098,149388,96091682,58224556,14280661,0,0,105289925,29294592,7536640,0
259173,174680,85767164,57863499,17038375,0,0,104973253,26673152,10289152,393216
313514,115022,96092836,58829645,17498449,0,0,105264138,28114944,12386304,0
253946,65569,102172043,57370361,15089394,0,0,105069321,29425664,13107200,65536
270192,40636,106943367,58049237,13293046,0,0,105215138,28704768,8650752,393216
273443,261046,91520784,58261267,15237301,0,0,105047040,28770304,11665408,131072
319789,242846,84739347,53710893,14090013,0,0,329448469,10027008,28770304,5570560
667715,546151,146262996,108760416,44484051,0,26080,104796650,7012352,524288,43974656
3692303,3361971,661224687,753091265,443913628,18431,16263,105295344,5898240,589824,336592896
4816345,4258298,767748360,1007885166,654441991,28683,14150,105250000,4915200,262144,407896064
5560545,5053560,1003264411,1027766048,614320350,32562,3228,105476910,4915200,65536,422969344
6006928,5509781,1132632155,1037185598,567375104,24890,903,105432094,4653056,65536,500432896
5102349,4845679,931977286,1035429967,618697224,34606,690,105993286,4390912,458752,491126784
4994395,4505199,886717084,1002904251,603815979,13104,403,104300380,4063232,458752,445906944
5163992,4686351,734230726,1011255425,666853098,18694,133,106327443,4587520,65536,381616128
4708123,4529392,764720084,989164547,659268741,9071,584,104744703,3735552,589824,400949248
5793820,5328649,960492502,1018517451,618280777,13848,23,105774823,3735552,458752,398262272
6121139,5593771,1246569023,1032569558,526373289,24101,99,104870318,4063232,524288,486473728
6067022,5896962,1233781921,1033394060,535426613,36871,92,105327390,3407872,327680,387383296
5437359,5067309,1109268412,1035927158,571156866,64384,75,105482286,3735552,262144,387383296
5386524,4636885,1034250924,1036670309,582851202,77624,74,105529424,3014656,524288,443416576
4760799,3867978,866266336,1022636458,630868240,134991,52,105223867,3145728,983040,287834112
4870386,4055794,998153928,1020827540,587517984,54613,18,105495187,3080192,131072,433651712
4427285,3272729,707164110,1019719068,654602800,89392,0,105405440,3080192,65536,273088512
4885954,4345837,948282103,1023133266,598948763,123936,32,105066549,3080192,131072,264568832
4963992,4396992,975630878,1030025233,623953659,118731,39,105702604,3211264,720896,293273600
5393294,4961942,940618413,1033927864,631431933,84068,40,105508151,3211264,131072,364249088
5347263,4929198,1047006358,1035094717,604094147,131839,1,105209601,2949120,786432,310247424
4835885,4091590,853369425,1022713282,619686010,74903,1,105261632,2555904,589824,354680832
4272091,3507369,809455478,1023902274,640602215,168695,14,105461545,2162688,262144,291635200
4760043,4239352,855225272,1003997318,632052786,118821,0,104974821,1900544,458752,357236736
4801574,4072138,813807053,1012675502,637485943,118567,66,105579992,2621440,524288,389742592
5147967,4455102,914039666,1023674368,629981350,127825,143,105182819,2555904,393216,369229824
4989921,4098957,1034051121,1035933316,604899621,218870,0,105365239,2555904,196608,437649408
5362168,4741284,942401602,1036633653,616734289,185097,6,105211064,2162688,0,394330112
4684255,3973994,907417149,1017844619,607495179,157435,16,105526477,2490368,131072,376438784
4578521,4072729,901149503,1028253882,621637471,153970,0,105270165,2359296,262144,450494464
4514801,4246712,783767939,1026233904,654086411,143360,4,105130137,2359296,327680,340525056
4783558,4555979,850165895,1009226391,636130843,49752,0,105449106,2031616,393216,352387072
5257119,4768694,994063743,1015947659,590110108,53880,7,105253603,2424832,131072,391839744
5256188,4744776,928673403,1025235060,625193352,73227,0,104844271,2621440,393216,386334720
5376347,5105046,1067110522,1035462105,596859815,113593,0,105833945,2621440,65536,360251392
5402482,4728157,950561472,1037052801,621539829,85035,0,105367514,2293760,131072,375586816
5306665,4630930,951679963,1035783546,624947187,143695,6,105147756,2686976,65536,437714944
5029670,4451136,959529836,1036435758,600528592,96942,32,105397397,2097152,65536,346226688
4665691,4032141,829180292,1035206226,642744847,147448,0,104908272,1835008,131072,259129344
4436645,3877404,916827767,1033596140,607171261,194373,1,105504273,2621440,196608,277479424
4466191,3860784,915569290,1037128438,599540329,166564,0,105543774,2228224,262144,327942144
4670882,3980672,932578351,1032689915,613633450,238319,1,105371469,2490368,131072,313655296
4639147,4006395,748060438,1027326556,644067523,142514,0,105278985,1900544,131072,417857536
3926663,3624996,602682818,960900472,666442592,53563,0,105483105,1900544,786432,342228992
4741037,4308194,768429144,1010909209,670820169,78810,215,105018893,2228224,524288,394723328
5660436,5076835,1155327905,1034025108,588695140,67631,80,105536949,2228224,196608,389677056
5696145,5062401,1207568828,1037851904,558504586,85978,0,105495397,2621440,262144,407371776
5732900,5136042,1095588373,1038877319,578162664,176126,0,105661682,2162688,131072,577568768
5184704,4562810,923169382,1038158963,620451671,126545,0,105235795,2162688,262144,324075520
4643553,4119476,893949525,1027934142,618515723,184082,0,106412852,2097152,393216,286916608
3822699,3132785,714930559,861108931,532079779,160609,0,353053806,589824,393216,236912640
407804,214103,97095728,59648888,16299154,0,0,104952106,2490368,35913728,1048576
328257,283039,88093731,59577089,16137729,0,0,104831440,2490368,23986176,0
284435,331989,86963717,59120862,18791770,0,0,105468020,2490368,21889024,524288
337559,277079,89245536,58811032,20670362,0,0,105705026,2490368,26607616,131072
282097,176283,104093330,59487423,17447413,0,0,105325381,2424832,26542080,0
311541,332146,90348663,59327207,16392932,0,0,105506688,2424832,29163520,2359296
319255,394453,61225162,52628988,21795486,0,0,105330694,2293760,22478848,0
245113,408643,75497879,57161218,22029985,0,0,103540899,2359296,25231360,917504
276447,258717,110481947,58532042,19940261,0,0,105049588,2359296,17498112,0
351577,169384,98028817,59159352,14281744,0,0,105083580,2228224,20316160,0
