l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1823598,1932338,1604911412,836161681,368749154,167,0,972271442,1900544,1544486912,4128768
2221909,2382056,1892037928,826178375,281399522,88,0,105485882,5636096,196149248,0
2318481,2709639,2021669823,802348975,232998448,1432,0,105149880,5767168,219611136,0
2327470,2720389,2037730377,828862584,223442411,7222,0,105710992,6356992,222691328,0
2468078,2885593,2119257220,829427339,215550731,6633,0,105411191,5898240,230817792,0
1930473,2362246,1710310695,830452555,349221155,5316,0,105350421,4325376,191365120,393216
2193614,2579122,1878985365,825612461,264647991,5506,0,105233180,5439488,216858624,458752
2040702,2203327,1656545536,828424329,348446865,1455,0,105483524,1835008,182648832,2949120
2181732,2478494,1842992918,830341324,319672072,149,0,104988969,9306112,192282624,0
2757863,3076482,2236863314,836043448,176396524,982,0,105218325,41877504,224133120,2359296
2798005,3071971,2244144329,836222853,172848015,40,0,105539121,41877504,232128512,589824
2791015,3048848,2187725364,834893261,176080057,15,0,105204588,41877504,248709120,131072
2768961,3073023,2218043941,835855911,171670048,25,0,105270111,41811968,253558784,0
2777685,3101468,2230799166,836419105,170046827,35,0,105576627,41746432,243466240,1310720
2818349,3178472,2263907494,836720782,170120358,902,0,105187674,41811968,245956608,1048576
2825985,3148642,2226831081,835793878,171000239,863,0,105340074,41811968,253231104,0
2800707,3110262,2197931182,835937045,172388422,7,0,105365484,41811968,251133952,262144
2798902,3123494,2184776157,835000697,172146075,333,0,105391494,41811968,262275072,0
2826011,3201232,2254653889,836477618,169448404,25,0,105698259,41680896,262144000,0
2829951,3217986,2232262043,835445182,170885616,5,0,105449106,41746432,254083072,0
2847808,3228618,2246806776,835525922,169000032,8,0,104954322,41811968,255524864,1835008
2817777,3188402,2187875752,835856564,171366892,9,0,105350070,40828928,260571136,0
2846941,3237760,2226801688,836938270,167268609,352,0,105550509,41811968,271712256,2228224
2856714,3285390,2256722061,836318856,165440000,4,0,105382218,41746432,275906560,0
2910861,3295551,2248156641,836675578,165770027,4,0,105360465,41811968,267845632,0
2577651,2933265,2023211940,775246019,159795670,8,0,105439893,41549824,227868672,0
2469178,2784499,1926959111,731865283,148803084,9,0,105116697,41549824,226689024,0
2172196,2441510,1726204378,667453619,141462617,16,0,105280674,41746432,196804608,0
2102955,2371126,1674820854,629856566,128551728,771,0,105591330,41811968,200802304,0
2257776,2383143,1363754195,536220795,118089732,804,0,105456087,41811968,263323648,14221312
11501680,10585419,812713673,411336032,136337814,1526,1,105071097,41811968,1555759104,0
45891324,8556422,431051201,832513462,566103299,34237,0,105750477,41680896,581632000,0
45821351,8726491,428363425,833952458,568009938,17369,0,105421173,41877504,557514752,851968
45299441,8401699,426612380,830681635,564293365,14703,0,104977797,41615360,540868608,0
45462050,8710929,428952208,833512095,559575215,16942,0,105432789,41484288,535101440,0
42795383,8051243,414079204,798092733,540399395,29008,0,105570471,41484288,533528576,4784128
45864226,8576974,429973924,837082012,571808112,11812,0,105806412,41615360,554237952,1572864
46544201,8678750,430581250,835381784,568298525,16921,0,105389208,41418752,557776896,0
45670275,8742219,429055169,837057961,572160215,17648,0,104761662,41549824,549191680,0
45959226,8547032,433609149,836813923,566965545,36535,0,105572115,41680896,550699008,0
45440043,8460658,430254979,835382005,568210208,11544,0,105166416,41615360,551682048,2097152
46460737,8807629,428343468,836623027,569791209,17562,0,105363876,41746432,559808512,0
