l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
47103486,18433929,997170627,839000830,403210124,260,0,952939479,40370176,11502878720,29884416
37856523,20417347,1532135340,837167030,300310589,993,0,104926422,35979264,1240137728,0
35463364,18730134,1660368115,837350535,286547717,950,0,105153672,35913728,946536448,0
29452874,17633326,1325663820,838544847,266254023,1542,0,105720944,35061760,937426944,13238272
32981924,17379170,1422718815,838674100,280625109,12271,0,105393179,35979264,784793600,0
34937149,20226644,966922166,837571417,446065333,2541,0,105445485,36962304,2239365120,61603840
29842642,19754357,1651219286,837230029,183365365,114,0,105226160,36175872,1433927680,0
38575853,18236398,1155013728,837117941,365569589,406,0,105471508,39780352,2010185728,39976960
40590822,20480399,1388590503,831291600,383755713,958,0,4735578164,27787264,1709506560,0
39400391,22562066,1831859857,1025006502,392911141,822,0,105704520,27459584,1317339136,524288
31138536,18494963,1436791911,975128962,395464760,286,1,105068547,29622272,1155072000,0
26579817,15970716,1078075899,905589579,453234421,13039,0,105331680,30736384,1149042688,5636096
31772493,19012086,1187472459,976481021,477728990,9467,0,105667278,37748736,1511325696,33619968
31554740,20111739,772698872,976860960,569815509,649,1,105333651,29753344,2096955392,0
27840785,19938977,1837601106,802006166,172459817,376,0,105600234,33619968,1492385792,38469632
45277908,18188564,952355781,793923460,378799823,4084,0,105381888,30867456,2136014848,0
33044707,21479913,1450426557,796999726,280386597,1098,0,105376272,30474240,1589444608,0
32929379,18989182,1296796747,797943372,283497707,606,0,105647538,25034752,1224343552,8912896
29152790,17638272,1291006073,795921010,293488662,441,0,105261861,29229056,1184825344,28246016
25739697,18539778,1041144412,766150551,333921677,15189,0,105220104,23265280,1315438592,0
28661469,18630220,1065121384,798078824,348674357,11274,1,105679668,34144256,1471021056,11730944
32832373,21021178,1180610312,960233274,554269471,864,0,105503094,30867456,2135031808,0
38900543,21021807,2025123014,1036999864,307611843,420,0,105112122,34471936,1790902272,20316160
43353418,17745098,982245061,1036023444,591554884,2562,0,105488424,34471936,2203779072,6291456
41319946,22958205,1746878143,1036311245,363606626,471,0,105192888,30670848,1498611712,0
31361736,19550445,1372232756,1035738460,447728620,465,3,105647349,34471936,1342111744,0
24603943,14410726,1045240127,782353677,338398559,2180,0,105524583,31457280,1071382528,0
26223798,17337201,1128340938,717877627,271345708,10298,0,105214410,29556736,1159200768,8650752
31510167,19306877,933856922,716729100,341114554,5912,0,105424071,33423360,1883766784,27656192
25028489,17661880,1066844194,622484072,214053477,287,0,105375048,29097984,1556348928,0
30896957,18646317,1544853929,718114313,140074075,261,0,105614604,33292288,1546190848,24576000
39069429,18731198,924939777,714990096,321427143,582,0,105602085,33357824,2087124992,0
31120684,20736765,1318270269,686378654,205856533,704,0,105331275,29294592,1450508288,0
27199005,18109511,1293043393,677811869,197129505,707,0,105470445,26017792,1248460800,3211264
25419934,16505816,1179588936,677379538,215031070,453,0,105441066,25493504,1124007936,1114112
23808212,17257236,1034091183,677162950,250072243,10205,0,105466065,28114944,1281425408,0
25414710,17044973,1096144562,678137543,246719510,14701,0,105064119,28377088,1137901568,31522816
32247922,21349626,740451328,661849652,343668672,974,1,105510600,38797312,2294808576,0
22563963,17738484,1562882086,637391981,92937807,371,0,105469428,28639232,1191968768,0
