l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3539408,58959,1354111422,619982931,59370497,350957,0,899439416,7340032,66781184,3932160
2684250,174056,1411060026,620695818,60949045,404775,0,105146282,12648448,10092544,0
3248527,58610,1634955122,738691345,90396195,477178,0,105223056,8126464,3604480,983040
2554468,152112,1302319578,526734920,45921303,286647,0,105162384,12779520,13238272,0
3203786,57402,1537208745,705106891,75459612,390388,0,105505767,6619136,3801088,196608
2732961,155832,1303274006,535239573,48081345,302985,0,105311765,14155776,15859712,65536
2969210,67995,1517658280,703665367,74900792,371723,0,104891964,10878976,1245184,196608
2339828,141779,1251120697,535256377,54873664,274425,0,105479201,15466496,17825792,0
4005550,64322,1520969268,705462052,77157481,382393,0,105133992,14286848,327680,0
3076873,84633,1257693352,552394951,54563537,270477,0,105297693,17235968,9437184,458752
2923269,85200,1605326945,714533946,73535984,370676,0,105244407,17170432,1441792,0
2913749,93171,1396593690,636667010,62942224,349210,0,105222861,17629184,1900544,65536
2708440,176935,1469950964,614006052,60008471,331786,0,105144648,20840448,6881280,0
3091651,58254,1540525580,711209950,75945791,350666,0,105291108,20643840,131072,0
2379556,187778,1214492277,518476845,49838885,252639,0,105299367,25362432,10092544,0
3149997,30861,1505433142,701553870,73053859,355047,0,105289497,24707072,131072,0
2779211,136283,1336020398,561606524,48087920,321155,0,105293925,28508160,11403264,0
3293005,36935,1509648029,704108260,77047633,367647,0,105289218,28311552,65536,65536
2462255,198937,1248766167,518608937,46757824,298265,0,105275244,30539776,10027008,0
2384168,30303,1621139874,731198197,72489569,422372,0,105263046,30146560,131072,0
2438984,87376,1157418819,534266846,56575189,366898,0,105182361,31064064,5373952,851968
3188695,98897,1564190223,691334492,74835857,427189,0,105242397,32112640,3735552,0
3154758,26179,1496247929,683986074,65490431,389197,0,105232356,32178176,1310720,196608
3702835,148925,1352335517,582663518,58647405,353845,0,105297231,33030144,8912896,0
4177879,39783,1499260811,695659880,81541375,398373,0,105254418,32505856,196608,0
2752530,268894,1223278014,498613405,41653351,238104,0,105299193,26476544,14680064,0
3054012,43370,1594314770,737102722,76058786,387757,0,105266301,25821184,262144,0
2358275,194372,1259181506,526518193,52920717,271557,0,105304338,27721728,9175040,131072
2382500,71021,1534538873,719201304,75433337,386087,0,105289188,27131904,196608,0
2166897,110933,1236757798,531214715,51798572,287891,0,105303861,28770304,7733248,0
2889079,65837,1523931889,710510888,78398100,360814,0,105295671,28114944,524288,0
2505067,64859,1315566273,560722681,48808238,285539,0,105252954,30670848,9633792,0
2833143,41988,1611612106,736607480,80117283,415323,0,105183624,30474240,262144,0
2506668,216737,1214181999,532522864,55810946,322325,0,105281121,32440320,7274496,458752
3859440,97132,1603086513,721340815,77280229,436959,0,105277407,32571392,1835008,0
3349303,102605,1240354481,569940034,60173641,294357,0,105239634,31784960,3145728,1179648
3343042,174749,1502593596,670604013,71332827,377142,0,105234384,31916032,8257536,0
3582158,72196,1405108360,645515003,68151340,363676,0,105261285,31326208,1376256,0
2235333,199913,1407226796,593160622,56357130,337520,0,105274854,31784960,5505024,196608
2432802,46594,1562292650,733408021,79332384,361597,0,105191385,31457280,262144,393216
2134079,128844,1211932924,539815282,52058269,288356,0,105236238,33095680,9568256,0
2484729,50964,1496166550,706351920,75214511,374890,0,105295680,32768000,196608,0
2497446,121087,1226492536,527851576,51881822,316677,0,105296763,33816576,11337728,0
3314458,45535,1557438943,706110677,71320683,434154,0,105266973,33095680,262144,0
3588267,93556,1340012364,571946498,51786216,354693,0,105282459,33751040,10354688,0
3778318,70339,1503627124,707737740,75424771,342114,0,105284091,33488896,0,0
3286184,183875,1257344949,519855275,53847192,286549,0,105287805,33882112,9502720,0
2752253,80446,1490293734,702842468,75903186,395659,0,105296184,33685504,196608,0
2498292,121472,1328786923,549593305,48161230,297768,0,105234426,34406400,7405568,0
4594129,86039,1575258891,728119948,78600998,385369,0,105273924,34209792,262144,0
3678864,50691,1188902659,552349852,57922345,258120,0,105296661,23920640,9568256,1114112
3167579,181882,1501334067,671942128,71759945,378109,0,105256410,14680064,12648448,0
3400774,30165,1454983775,666809062,68283962,363847,0,105790143,7602176,11599872,393216
3459087,192834,1408016342,604865900,59475654,376968,1,104631768,13828096,14483456,0
4104963,68483,1535231416,717042614,74742525,427763,0,105310305,5439488,6553600,65536
2478543,126651,1247238678,523015233,49873489,278776,0,105377346,13172736,14352384,131072
2854343,70574,1529522765,707741711,79821971,429338,0,105259860,5701632,4849664,131072
2390754,114555,1265131097,530003980,47588961,296808,0,105332112,11599872,18612224,196608
3511776,61079,1592245052,737188198,77152820,405794,0,105613059,5898240,5832704,0
2445174,140777,1227025237,525987757,54333733,285725,0,105365391,14548992,15794176,131072
3395350,29339,1550172236,712954613,77893766,423979,0,105354519,9175040,3407872,0
2274274,249588,1200205472,520718319,48329285,305249,0,105265986,15007744,15728640,262144
3662577,28125,1559084388,707942061,72403470,401967,1,105248412,6029312,5767168,0
2780036,219928,1209337885,539642822,56155241,285094,0,105335577,10813440,10027008,1638400
2787870,105966,1586638969,716529676,73023732,426435,0,105402600,12582912,4521984,0
2935351,116262,1335226965,600340289,60660296,422013,0,105243735,11599872,5373952,0
2199127,146825,1455889271,637725791,66174137,362097,0,105338904,14548992,8716288,0
2562401,22798,1518572647,686657684,69223198,364940,0,105246888,14745600,3473408,65536
3287194,200489,1429929908,595005134,57304647,345996,0,105333720,16777216,11468800,65536
3872463,39208,1521943118,709460147,80938496,449433,0,105303447,15728640,786432,0
2628867,223561,1261120519,523937641,51507273,287440,0,105338343,17432576,14221312,65536
2792485,66018,1505260610,702431564,77672640,383321,0,105322464,16908288,393216,0
2781737,225468,1254249211,526200927,51622598,269829,0,105280047,18415616,17039360,0
4761633,55865,1592519431,729811797,74264742,412141,0,105290193,18415616,131072,65536
2901591,117630,1256715336,548926924,56624177,290574,0,105365757,19333120,12779520,131072
2946268,62042,1497584035,698725656,78050787,436094,0,105302280,17235968,983040,0
2379808,70925,1204430613,524779036,50165945,309003,0,105289437,18350080,13500416,65536
