l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
656071,194206,94319647,101084243,48873316,0,0,842391002,24838144,140574720,0
654924,206403,92272415,101538068,50413819,0,0,104779610,21889024,23199744,131072
668005,200693,92538201,101336342,49904237,0,0,105028911,27000832,15794176,0
671558,212507,90789649,101648333,50988170,0,0,105135717,21889024,25952256,0
678629,211250,90081200,101423109,51210082,0,0,105146347,25624576,18284544,1114112
666926,224871,87550708,101782119,52809473,0,0,105158744,19791872,29622272,0
669492,229745,87009559,101599585,52699789,0,0,105130781,24379392,16121856,0
394380,123127,50904314,58370464,29986943,0,0,4699912480,458752,27459584,0
704052,333363,90551043,126399933,75320181,0,0,104828199,17039360,19398656,131072
769421,289768,95236851,126065191,72452529,0,0,105100995,17891328,28966912,65536
778587,269216,99130537,125767965,70872229,0,0,105055806,23003136,20381696,65536
780097,266270,98653034,126382088,71283506,0,0,105107088,18415616,26148864,0
778550,274934,97872840,125875580,70936144,0,0,105084375,24969216,22282240,65536
782470,267423,96592712,125610615,71245202,0,0,105225996,14483456,33619968,131072
758826,292523,93981020,126327736,73645925,0,0,105031503,19791872,25821184,0
761392,260259,93346848,123574696,71918038,0,0,105193788,24969216,23330816,1179648
682239,243169,84166466,115370940,67525741,0,0,105051396,25100288,27525120,0
795971,266880,97708031,127766479,72911478,0,0,105178959,29622272,18874368,0
794866,280845,96182275,127782456,72420534,0,0,105149904,19660800,30343168,0
776733,299544,93241206,126521372,74582172,0,0,105078789,18350080,24248320,262144
760823,313268,91322756,126660981,76176174,0,0,105163401,13762560,29097984,196608
756504,318358,89779150,126599808,76671952,0,0,105136068,13500416,31916032,0
768825,310327,91051898,127614601,76906583,0,0,105065511,18546688,27262976,0
787301,294375,92698603,126443031,74873110,0,0,105051180,19726336,29163520,65536
791465,294517,92498472,126719078,75422179,0,1,105106560,19464192,25886720,196608
793011,295000,91801192,126489695,75356388,0,0,105114696,19202048,26869760,0
773839,311062,89487509,126599211,77025234,0,0,105117204,11862016,31064064,0
760435,325327,86955236,126687848,78056023,0,0,105082560,13303808,24772608,131072
679150,320641,88999153,130452338,76119118,0,0,105164550,17629184,32047104,0
786036,308463,88404863,126871112,77514278,0,0,105140337,17432576,22544384,0
804152,305007,88637346,127228600,77840910,0,0,105119877,17432576,28049408,65536
787134,307535,87596080,126683272,77930498,0,0,105178317,11599872,28901376,393216
766210,332589,84193752,126752315,79522206,0,0,105089577,11206656,33357824,0
781375,325883,85418562,126829581,79226412,0,0,105039720,15532032,24838144,0
795253,313766,86550750,126327417,78005320,0,0,105091731,16384000,29163520,589824
799574,316670,87441459,129493323,80701456,0,0,105105228,16711680,27590656,0
797776,315354,86152530,127099951,78762404,0,0,105092247,16711680,32833536,262144
779119,332190,83171129,127081352,80615189,0,0,105208056,11337728,30736384,0
779043,334035,82872667,126993622,80617242,0,0,105034983,13893632,23920640,65536
801206,318678,84970839,127410715,79318061,0,0,105138525,16711680,24969216,65536
805134,317203,85203092,127226831,79320393,0,0,105097056,17956864,23855104,0
797301,323183,81413266,113471934,70516188,0,0,105119154,18219008,30146560,131072
800335,327420,83776404,127019978,79902853,0,0,105141858,11927552,27787264,0
776088,341376,80132653,127219832,81565305,0,0,105136374,9437184,25231360,65536
785122,337404,81293229,126816324,81262780,0,0,104970366,15335424,27066368,0
805991,325741,83075232,126752930,80895636,0,0,105159771,17235968,27000832,0
803512,323554,83847591,128134265,80374413,0,0,105105339,16580608,23461888,196608
808476,325292,82615024,127225410,80613724,0,0,105034764,16908288,28377088,131072
782554,345748,79790563,127479688,82291955,0,0,105152871,10878976,30932992,65536
792448,344903,79553891,127183096,82419232,0,0,105095814,15597568,26542080,131072
814546,327275,82140390,129002646,83790792,0,0,105093693,17170432,27590656,0
819078,326134,81905687,127082053,80848736,0,0,105111993,16973824,25952256,0
823630,326543,82157505,126966207,80942436,0,0,105110136,16384000,27590656,196608
803558,335085,80092281,127121501,81922819,0,0,105150405,11141120,30277632,1376256
681011,227832,56240247,92078879,60789424,0,0,105159321,10092544,29229056,0
674910,304056,66705450,97986285,60131603,0,0,105123299,11468800,23986176,0
687371,292104,68373231,97811231,59202003,0,0,105217333,15073280,20971520,458752
701526,282796,69505975,97948012,58933639,0,0,105089242,16973824,21889024,0
707191,280775,69277788,97754696,58766459,0,0,105095042,16646144,22872064,0
706272,282665,68936533,97986247,59103541,0,0,105062121,10878976,23199744,524288
