l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
40219137,19106074,983159497,839060037,404245845,1096,0,1173892162,39387136,15365177344,119930880
39383121,20853459,1644959341,838407349,210136818,564,0,105435631,36175872,988151808,0
33187652,17221538,1359256349,837398632,279508118,572,0,105370821,36438016,875036672,0
32824560,16837469,1465753622,837916677,298192598,5951,0,105002972,35389440,877068288,12189696
34486857,17436026,1393128216,838112382,270600400,8935,0,105725856,39518208,1023082496,48496640
31106275,20897212,726327401,837528204,486758746,1039,0,105661652,37552128,2123694080,0
27649423,19960755,1939582246,837135467,163421143,444,0,105354732,39911424,1474232320,44630016
46924850,18679235,980497026,837208046,403781872,528,0,105395860,40697856,2131099648,0
35612349,20987303,1605826060,837891586,267587819,1203,0,105128028,37158912,1258749952,0
31862382,18363007,1430254788,837518652,230497526,494,0,105385532,35848192,900923392,1441792
10379981,5142358,484497963,254488204,67347532,128,2,4653464939,12582912,204931072,0
27404906,15988663,1281081252,875712905,377743596,6945,2,105480672,31522816,960757760,0
33411719,18079357,1410026118,1017229216,465852655,17806,0,105467397,35651584,1046872064,19988480
33711595,20013664,726473174,984062165,658833755,538,0,105418395,31457280,2248802304,0
33693508,21712183,2222487134,1036395418,273969333,397,0,105407967,37027840,1616510976,12058624
44034148,16948531,934740893,954964432,528443740,674,0,105400134,36962304,2026831872,0
31942901,19890358,1284602150,782532103,319420148,12957,1,105494319,32047104,1458503680,0
34655354,18530393,1540528410,797614267,256678301,799,0,105404088,32899072,1065877504,3145728
30426555,16712941,1434052252,796890906,245219214,472,0,105442992,31195136,828112896,4390912
27659000,18045533,1145170146,795819628,321384067,16022,0,105394665,31260672,1072562176,917504
34058775,18391336,1112520178,795998211,342790670,8239,0,105486192,35717120,1406861312,16842752
26870418,18920438,958377585,680142582,329773468,700,0,105356073,33554432,1797914624,0
29235223,19025916,1717600821,757972785,124390987,375,0,105520902,36700160,1437138944,6750208
41688862,17365241,909218182,751690510,352131335,224,0,105418431,36634624,2051997696,0
32899207,20107555,1377686941,757272444,257752579,1063,0,105454035,31850496,1398407168,0
30594149,17741316,1498445935,757290557,227497646,650,0,105411237,30801920,1067974656,0
29160261,16539521,1392631682,763207798,224850460,398,0,105364908,32047104,793116672,13500416
28704689,17957663,1224618064,793598184,315885939,13606,1,105511188,31326208,1074462720,0
29453812,16619700,1079083353,793390221,354822675,9587,0,105441603,36044800,1418002432,13697024
30529399,20074274,1138154639,797686937,356875964,265,0,105411315,33357824,1941504000,0
29753889,18653922,1568086539,796721091,185783872,207,0,105393759,36831232,1541603328,7143424
42194007,19096857,991012350,798453290,389094745,315,0,105536802,35323904,2098397184,3342336
35804552,19903017,1516340983,775537822,254653676,855,0,105513159,32309248,1291255808,0
28671899,18147777,1467534388,757252871,212854502,810,7,105477916,29622272,1041563648,3211264
28635619,16815155,1323726501,758254135,261598073,591,0,105659534,34078720,999030784,5046272
28200140,16878448,1269019190,755908066,272936018,14982,4,105473190,37421056,872546304,0
31219783,18701166,986556045,759677405,338561032,4160,0,105790527,36241408,1656946688,25165824
28567907,19599833,1186132965,743358260,283063439,163,0,105353940,33030144,1727791104,0
27552852,18331710,1549890954,717920895,167722282,325,0,105687493,35782656,1535115264,10878976
42224376,18955324,964124014,717668208,328504220,1345,0,105603696,35586048,2076049408,4063232
33743927,19672781,1538837227,718558320,182126957,250,0,105475454,31588352,1195311104,0
29256541,17187170,1214916158,719390729,235531206,801,1,105534668,30932992,1022885888,0
27628366,15899172,1257173955,717948292,214821364,545,0,105600282,35323904,881459200,14680064
26267516,16778945,1109256952,717883896,262967119,15777,0,105525828,31260672,920190976,0
30824283,18415556,1020700149,730911665,307361900,5870,0,105444019,36044800,1481310208,16056320
