l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2465308,85371,1519055109,711840372,81656534,353295,0,1155078612,10027008,53739520,1507328
2191473,115521,1198965500,533628626,51396062,284854,0,105588115,14221312,9895936,0
3109369,64832,1529713440,707697174,71116129,404372,0,105350085,12582912,655360,0
2629356,79224,1403306083,579820557,47542998,323026,0,104853552,14090240,9502720,131072
2838986,72745,1497889562,696332985,74300664,320846,0,105281340,11141120,1507328,0
2531538,140424,1302975186,518322169,51599020,271634,0,105520224,15925248,12189696,262144
2815774,57277,1542487201,702172880,70732944,352996,0,105296652,13434880,1376256,0
2480891,40517,1238636672,547497294,52245870,245466,0,104913768,13828096,10289152,196608
3439674,131565,1635259173,717456805,71915660,403073,0,105262556,12386304,1966080,196608
3498436,103297,1429479414,650999806,72005602,436923,0,105202043,11206656,3276800,0
2796820,100270,1497480268,614300594,58179098,327184,2,105309966,14286848,10092544,131072
3146270,76071,1488231113,697631271,75972898,363806,0,105197961,13107200,589824,327680
2166441,146542,1215154622,525717361,51697004,256673,0,105300612,14876672,12648448,0
2421262,66514,1515400995,706374417,72785361,351389,0,105281997,14024704,262144,65536
3299079,140413,1307172728,564559101,48921426,326172,0,105344175,19595264,9043968,131072
4061266,78072,1478976889,700007127,76581072,374715,0,105235314,19464192,0,0
2989377,154772,1226773029,538157366,46007378,297710,0,105272073,23265280,7012352,65536
2992331,34706,1620489298,732708996,72027898,410428,0,105171834,23265280,0,0
2351974,93256,1335262382,591780974,58135358,301525,0,105237960,28442624,11468800,0
2520527,52049,1644783291,745154540,76642780,356623,0,105281589,28114944,393216,0
2328333,136823,1298625895,582424003,60152914,349740,0,105223719,28442624,3014656,720896
2315787,63188,1456390692,653610793,62272684,376741,0,105244005,29491200,6815744,0
2601971,34673,1556192414,710127014,70828707,405532,0,105227358,28835840,851968,458752
2484601,188123,1331051917,577608712,53228769,342893,0,105276354,29097984,8060928,0
2736090,46375,1540771659,712799918,76298332,439280,0,105261969,28770304,262144,0
2798086,158193,1227328984,534119388,52677617,342863,0,105293664,30015488,10027008,0
2946129,75323,1533936362,714935806,81617854,434323,0,105267495,29229056,327680,196608
2379434,125908,1262219782,536083031,49300112,304165,0,105275130,29818880,6684672,0
2564485,52720,1545933751,712998073,73434185,383462,0,105287490,29097984,262144,0
3697010,103751,1302458685,565318118,52325057,334900,0,105187590,30539776,8126464,0
7064717,77119,1508253375,721358921,82334068,422854,0,105280026,30408704,196608,131072
3917933,99318,1228118844,536811429,50186465,305474,0,105290145,31653888,9371648,131072
3063017,57139,1513386045,706612352,78673166,409722,0,105245715,31457280,327680,0
2603462,120578,1256452037,528454455,49720063,324340,0,105257307,31260672,10289152,0
4306056,47688,1506091391,701846287,80790212,372359,0,105287760,31064064,131072,0
3444122,121323,1287392699,547868880,52010249,270332,0,105310635,31326208,8781824,786432
4062725,78539,1590088245,724125783,78349703,398621,0,105290280,30932992,1048576,0
3254244,115561,1286956259,581559896,61206850,313648,0,105226854,30998528,3801088,262144
3110252,133647,1511412467,646180303,68871186,360564,0,105250599,30474240,6881280,0
3591899,54142,1520569109,698706273,70310476,389544,0,105269922,29622272,1572864,327680
2954922,192689,1396462707,575726439,56650975,315312,0,105221463,29949952,9633792,0
4037531,47578,1503728659,703671230,77919463,420608,0,105281064,29491200,327680,0
3214399,226610,1248873504,524916306,51891342,287567,0,105282954,30146560,11272192,0
4416830,37844,1502416845,706773120,79355663,345724,0,105289635,30146560,0,65536
3218423,202927,1352039877,572267184,51552462,330748,0,105220200,31195136,7667712,0
2572690,47214,1488837823,697376521,78395008,332605,0,105284148,31064064,65536,0
2649276,218263,1245593542,534389996,51278202,318257,0,105285243,31588352,8323072,196608
3698248,44805,1501393976,701718568,79363452,370740,0,105271245,31260672,131072,0
3474624,164074,1294660048,535125564,47293877,373166,0,105211161,32178176,11075584,0
3158969,52192,1583014688,740898226,80686507,365698,0,105247065,31850496,131072,0
2809433,139882,1150473107,528898294,56094219,270219,0,105284622,26148864,10485760,1179648
3195763,86562,1600664658,707076478,74254949,398192,0,105288660,17301504,9437184,0
3207133,81592,1406851070,635291282,66727834,374196,0,105205680,13762560,5177344,0
3083049,254500,1394520191,603616064,60174091,380476,0,105249162,9175040,13893632,131072
3685377,33321,1623143262,741328081,84442658,431151,0,105337083,5898240,2621440,0
2853870,323859,1242118951,517441658,50137044,304224,0,105343299,12976128,13369344,131072
3681328,35987,1509545041,706460464,75545002,364374,0,105174576,10354688,524288,0
2309872,282697,1251931881,517304427,51762951,271421,0,105320274,13369344,13762560,196608
2272596,30316,1595501533,721700380,75842442,398236,0,105269970,7274496,3342336,0
2103008,192564,1274081515,543989849,52644304,329378,0,105331398,12713984,15532032,262144
3013905,54970,1492773447,698704349,76179214,375235,0,105260673,12255232,327680,0
