l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
27390877,20288108,1388239125,837761023,330281433,270,1,1108991128,37355520,12227641344,61079552
39529950,19122136,1496880345,837477645,280817240,387,0,104891592,39387136,1879572480,34930688
36035174,20200120,1091885149,836740799,400612716,1516,0,105787620,35913728,1875181568,0
38321744,19869882,1626200379,839305589,217185846,226,0,105201880,35323904,884211712,0
33590846,16641172,1482551928,837880306,247815125,635,0,105227972,35258368,582746112,9437184
30462460,16807434,1467812847,837060830,313442682,10209,0,105823964,36306944,881393664,0
34410219,18368407,1201163632,837374552,367236889,7679,3,105035176,38928384,1405419520,66387968
30361569,20652739,1240869942,836513425,412160937,700,0,105625748,36962304,1911291904,0
33979622,19276599,1614561179,838247048,188896187,404,0,105710858,38928384,1658519552,25559040
38764796,18746280,952295240,837804741,426672225,738,0,104936678,37748736,2036400128,19791872
27210470,14074696,997770502,560998260,196666210,534,0,4698022994,20447232,749928448,0
35288631,17063461,1376604739,862879319,312008948,650,0,105409416,30277632,907935744,1966080
33016550,18365071,1584684245,1020358346,408384867,715,1,105390558,33947648,973864960,11665408
31083958,19185835,1403049126,1031678650,474138410,16013,0,105395889,35782656,999948288,0
34086238,19474372,898111028,997750212,571902638,4298,0,105407550,35913728,1877082112,27394048
32388043,20775538,1734812819,1007238244,406252952,242,1,105456273,30801920,1802305536,0
37435322,18140001,1340952992,816649298,281167018,249,0,105529053,33619968,1786642432,8519680
36118539,19741916,995932444,793321749,404122661,1033,1,105332487,29556736,2007891968,0
36563963,21006853,1637023708,798002923,211521829,311,0,105445797,31457280,1000800256,2424832
26211760,17940051,1286337994,797912586,301214049,866,1,105543135,28377088,1111818240,851968
28204027,17834033,1267798338,797231031,319757310,4637,0,105411021,24903680,1093926912,262144
27361603,17500144,1177831468,767811853,294356897,14537,0,105495957,30539776,949288960,0
31269127,19451907,901316154,757328021,392864170,3624,0,105428292,36306944,1938817024,27262976
27875630,19050901,1441761380,757898055,214664447,281,0,105443139,26279936,1570635776,0
34019032,18577294,1383127606,758234435,226406538,343,0,105510567,34340864,1752629248,11010048
37472520,19049978,940556922,758851996,375130098,1165,0,105524877,32636928,2061631488,720896
34141055,20570917,1512545716,757599920,208004918,371,0,105430305,28835840,1054932992,0
24139643,14800807,1030602095,630775821,239905325,466,2,105454244,30277632,938278912,589824
27871866,16450698,1313442795,718278344,220006547,346,0,105504787,35848192,843579392,12058624
26353301,17946710,1031867965,717670890,295187509,14950,1,105563954,31260672,1055981568,0
28684981,17297092,1102011822,717316959,287086566,9012,0,105427738,35586048,1261568000,20381696
26908973,18347330,775489528,650260979,310199689,794,0,105449529,29360128,1877016576,0
23632687,18901372,1748052990,718509428,101341219,275,0,105486192,34799616,1279131648,0
42314165,18282695,969652014,712310669,297875936,528,0,105511179,33947648,2049048576,10878976
29799309,20476732,1093119872,681678420,260781080,1129,1,105446667,29884416,1581318144,0
30195945,19534464,1435088686,677608604,181137603,385,0,105450306,31719424,1106575360,15007744
24819932,16106243,1205145315,677175417,208185600,662,0,105420717,30998528,858456064,0
24846626,15946040,1178669925,678252356,229492550,5286,0,105432048,30539776,977797120,3866624
25916423,16161333,1095489381,673227728,238064935,13220,0,105476361,32636928,869466112,0
30290977,19786315,887039527,644183283,282595324,3594,0,105417048,36700160,1825964032,25821184
23961360,19066077,1138286675,637553664,195298081,341,0,105379254,25952256,1542848512,0
25613788,17789029,1326597147,637402292,132114215,368,0,105474114,33488896,1446641664,10944512
39492283,19592099,919768921,638265735,272317473,724,0,105437178,29294592,2006056960,1638400
29587035,18943294,1269873931,633457907,196519281,799,1,105484179,30736384,1293680640,0
26597966,17361278,1224509853,622866245,182981634,712,0,105547854,28246016,1084030976,2359296
23933508,15077150,1102859487,597958661,163627405,365,0,105318198,30474240,793575424,0
22819454,15296339,1076738755,597666217,193555848,5386,0,105422742,30932992,977862656,8650752
24403562,15180744,1023149492,598215924,187325444,14115,0,105571959,32178176,776142848,0
28838049,20501149,813910423,597933624,247955172,5701,0,105394425,35192832,1771700224,20512768
23743383,18616482,1186207053,608252421,192959193,205,0,105460776,29097984,1533476864,0
23919679,17008972,1441957428,637000778,129618810,279,0,105408885,32964608,1374814208,11010048
40523146,18806465,890423210,637111411,268984996,876,0,105390510,32702464,2011365376,0
29105598,20117485,1282828847,638296450,188141596,822,0,105548349,28704768,1362231296,0
26606707,18144200,1318235288,638628725,181206542,767,0,105450801,28901376,1092354048,2293760
24547293,14824016,1184128822,637039862,182554245,332,0,105393726,29622272,787546112,0
22030549,16264100,1024206163,608483934,199558375,7677,0,105423837,26869760,1109196800,4128768
23762331,15533174,1034746966,597920753,190791770,15303,0,105695226,28901376,833093632,0
27854693,19803140,803778333,599998673,262540331,5186,0,105580890,36306944,1770913792,19988480
24582140,17478032,1177879792,598376800,171707065,165,0,105466518,30670848,1545469952,0
25298998,16794224,1480476883,597865970,86641849,425,0,105498330,33423360,1274609664,8585216
34242631,18482367,775154861,498689243,177882316,785,0,105441519,31064064,1831731200,0
21752203,16933273,945308009,483914867,148418472,677,0,105460947,27656192,1303969792,0
27044956,17428706,1227575942,557881090,126301247,272,0,105485064,27656192,958464000,2686976
21759789,15832207,1044733835,557558921,169199307,750,1,105427728,27983872,1069940736,0
22425451,14222658,1072191972,557570649,139317008,300,0,105375957,32833536,716898304,0
22173867,16110399,979547700,572768443,182552168,5671,0,105559302,33226752,982188032,1441792
23863425,15272299,1048371499,598902972,183386628,2160,0,105608601,34996224,851968000,10944512
30358115,20847986,677876512,595288079,302009635,748,0,105439323,35913728,2167668736,4587520
21147229,16765812,1369841222,597813306,93375434,299,0,105395766,25690112,1151008768,0
30171435,17936883,1207440114,597696707,136741119,346,0,105435162,34603008,1600520192,7340032
34879309,20042111,919784093,595979334,250348384,662,0,105505491,32768000,1985806336,0
27925819,17361933,1248943374,565044779,134668940,581,0,105421581,27721728,1022885888,0
24990985,16478903,1135814716,558130540,145382714,790,0,105491340,25624576,994770944,327680
22330625,14353628,1053670142,558432547,146035365,307,0,105447891,27983872,758841344,0
21711170,14889095,1003917627,557744463,164456731,6980,0,105464541,29622272,973144064,0
22767066,14886668,998558778,557106001,169876156,14167,0,105397947,30277632,785776640,0
26345163,19138821,825794112,527449283,196504209,3905,0,105486687,39649280,1638400000,20185088
23454670,17549595,949586210,518324285,152399885,223,0,105478446,27787264,1557725184,0
17480413,14845123,1338159263,518437028,46507133,134,0,105465513,31391744,968949760,3538944
33523065,20197663,898545705,517531534,161632112,520,0,105439359,33357824,1902575616,12386304
21134216,14492948,638924434,383756923,149926984,850,0,105413262,22020096,1319632896,0
22034318,14337199,986724246,453626290,108186783,397,0,105548550,26935296,819134464,0
20073339,13211086,947162511,430514883,100239701,185,3,105145907,5111808,680722432,0
18322812,13677997,846095640,470203179,134316214,536,0,105513490,28901376,952238080,10223616
21538153,13407839,1002461092,517878002,126094779,237,0,105433212,32243712,718995456,1572864
20624100,14532727,884029541,517397524,163634249,11729,0,105637425,30670848,920780800,0
21457676,14125321,951426385,517459714,145534314,13163,0,105335490,30277632,751370240,0
26625990,20412066,712634744,509888857,211670885,4374,0,105453399,34799616,1887502336,16056320
22341570,16810336,1192210239,549632622,131028418,270,0,105394614,34930688,1366097920,0
