l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
28568324,19999836,1455696314,839543733,258880584,306,0,1132423220,36569088,12373590016,68026368
39241969,19194853,1390124590,836967622,335509361,621,0,104904222,39845888,1933901824,39256064
39146187,20185570,1297864121,836935996,366174119,903,0,105596770,35520512,1754071040,0
34222306,19482197,1599494273,838310869,189102103,435,0,105453552,35127296,856096768,0
33137482,16897312,1583489074,838546065,228634606,341,0,105703772,34537472,535560192,38076416
32886149,17848103,1289261895,837433506,326119203,11462,0,105368780,37027840,886767616,0
34178638,19111538,1134845453,837538237,381301405,5803,0,105459696,38404096,1600258048,61865984
28849072,20185187,1242042663,838082446,369227693,762,0,105371305,36962304,1815871488,0
36444303,19335409,1646334456,837984621,230108007,475,0,105099212,39190528,1731067904,24576000
19915507,8079378,423819360,367203501,174510781,276,0,4675419966,29818880,888668160,0
37698328,19842494,1282260613,1028403957,474116114,959,0,105403998,32833536,1734606848,0
29442448,18093292,1478346545,850455977,282585846,445,1,105432063,31391744,939393024,8454144
33936282,18329695,1532963305,1010456885,423008365,404,0,105413541,40304640,933167104,0
31214964,19652928,1297924039,1033268726,523590420,14303,0,105295707,27394048,1265041408,3932160
35007733,19547246,1198389072,1001385656,519768204,8161,3,105429894,34209792,1571160064,19464192
28211095,20627858,1199757220,810454446,374416299,632,0,105400728,29032448,1882980352,0
31623834,18809914,1515472657,797795728,190147261,344,0,105479970,33816576,1616969728,14745600
40180356,19095167,945588451,798165679,405336659,430,0,105591150,32440320,2117402624,5046272
34670260,20751271,1440147381,798072362,285779225,870,15,105368382,28639232,1355874304,0
27538957,19385932,1443301223,796274557,264340960,873,1,105400356,29556736,1164312576,6225920
27177346,17439618,1290687774,766525156,261019444,865,1,105552090,31588352,1032388608,6029312
25038309,17599852,1130280480,757768064,319428879,14311,0,105436791,31784960,1166082048,0
30747042,18458696,1072593580,758417255,323043688,12741,0,105473355,33095680,1430716416,24379392
29164616,20251630,797550259,757260441,388913988,793,0,105320820,27721728,2045509632,0
