l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5219228,742,446280955,813292511,526594098,3775800,0,1112351412,9306112,71303168,0
4972042,616,447097668,812336175,525533525,3670734,0,105377246,7208960,6422528,131072
5081275,996,447433117,811974044,524966416,3709404,0,105036638,9306112,8257536,0
5088700,486,447450902,812396475,526154468,3767860,0,105239908,12582912,8650752,196608
5023567,556,448842669,812551017,524747223,3587746,0,105561120,11272192,3866624,0
5024829,783,446742852,812025800,525127315,3719962,0,105198124,10027008,3473408,0
4952906,674,448665131,811893147,524359777,3594729,0,105250224,8847360,3342336,0
5050790,607,447869064,811741090,524801184,3705246,0,105497521,10682368,7733248,589824
5008925,626,448257434,812620858,525273383,3655420,0,104677173,12713984,8650752,0
5021039,548,448630716,812455872,525128694,3645811,0,105263220,11337728,720896,0
5146786,526,446345076,812072624,525731384,3827495,0,105294984,12451840,4587520,0
5157965,623,447610144,811707791,524710195,3675665,0,105203673,14221312,4194304,393216
5133693,743,446969463,812241367,525596239,3749883,0,105305769,15728640,3997696,0
5075001,641,448625023,812379280,525199241,3768074,0,105262395,16187392,3211264,196608
5038070,581,447741287,811891272,526251239,3703930,0,105283842,15007744,5832704,0
5302006,716,446936396,811722885,526123260,3805353,0,105272226,19595264,8192000,0
5087402,530,448041142,811768317,526187703,3701307,0,105256950,21692416,5308416,0
5064113,666,447800685,811795389,525823190,3775358,0,105279843,23527424,4128768,65536
5089279,726,447217121,812453111,526367834,3718910,0,105287427,25362432,5767168,0
5156220,702,447834242,812002688,525924034,3776726,0,105256401,27525120,5242880,458752
5250315,514,448410857,811714062,525621143,3760893,0,105194355,28835840,4653056,0
5139790,565,448782615,811550201,524925270,3751028,0,105297951,30146560,5439488,0
5152221,570,449117076,812157735,525637742,3749061,0,105190878,31195136,6225920,0
5081437,545,449843150,812217195,525119997,3755179,0,105341580,32505856,8388608,262144
5029888,413,448773203,812166475,525400225,3666458,0,105280614,33161216,8388608,0
5147349,720,447436759,812032744,525648337,3795863,0,105188460,33685504,4521984,0
5052727,515,448534541,811737294,525394362,3704198,0,105249300,32636928,4259840,131072
5034673,530,450013201,812227107,525092104,3717611,0,105322557,33292288,5898240,0
5093264,622,448188180,812166974,525545373,3680803,0,105246021,33030144,4063232,0
5140642,684,448536053,811560497,525094380,3756816,1,105232764,32964608,6094848,0
5105200,933,448355470,811843888,525547697,3725327,0,105252729,31457280,7274496,262144
5108559,565,448908457,812100358,525422505,3626519,0,105275496,31653888,9895936,0
5055632,526,448197767,812348409,525961198,3672803,0,105274596,31916032,6094848,0
5208517,776,447339797,810989068,525558906,3807203,0,105275601,31981568,4653056,65536
4999166,700,449801157,811850518,524332266,3625042,0,105232785,31391744,3407872,131072
5144696,580,448155410,811932845,525360937,3738627,0,105246396,28049408,6356992,65536
5128319,552,449303903,811658842,525396146,3706182,0,105248952,28180480,6291456,0
5122817,610,448606279,812339877,525633868,3794388,0,105260382,19988480,1966080,65536
5055425,407,448993002,812311287,525969600,3736278,0,105262515,19922944,1310720,65536
5135646,861,448977283,811772961,525439780,3770175,0,105235236,20578304,5439488,196608
5210121,728,447713395,812027590,525675721,3800985,0,105271425,22151168,6946816,0
5090063,528,449079753,812169999,525562810,3674307,0,105270537,25493504,8781824,0
4984776,572,450155471,812059788,525250360,3594095,0,105269526,27000832,9175040,0
5203571,479,449215536,812414425,525542823,3788957,0,105288885,28311552,7667712,0
5062647,612,448438266,811768717,525153185,3701617,0,105213399,30736384,8257536,262144
5172690,789,447970486,811862543,525909425,3849552,0,105257115,31719424,6946816,0
5198906,555,447938765,812403106,525722581,3765043,0,105272160,31653888,9175040,65536
5029975,666,449242619,812703788,525447646,3669820,0,105284784,33292288,8781824,65536
4985314,454,449775391,812125550,525193239,3658807,0,105276876,33226752,9306112,131072
5139732,857,447855060,812040635,525298155,3743912,0,105290898,33947648,8585216,0
5125187,611,447452391,811899051,525323592,3661459,0,105247632,27066368,7929856,65536
5007898,563,449663322,811929708,524974041,3646220,0,105275016,21889024,7536640,0
5172299,716,447160659,812726558,526014005,3771869,0,105246489,10878976,7864320,0
5084912,795,448462333,812276520,525439636,3703724,0,105307581,9043968,8060928,0
5175692,622,447334607,812068019,525498565,3823066,0,105174180,8650752,5177344,0
5147861,722,448016399,812061504,525831168,3812113,0,105316056,8650752,4521984,0
5081717,649,448908999,812355653,525352709,3772803,0,105276765,10747904,8519680,393216
5074882,768,447780641,812274475,525119677,3733710,0,105235251,9371648,9175040,0
5150245,724,446935597,812339718,525446844,3743884,0,105333690,7798784,5898240,0
5019821,874,449280221,812020357,524743272,3600405,0,105281166,10223616,6225920,0
5131006,1086,448073586,812244665,525767374,3681970,0,105374289,5111808,6815744,196608
5049963,889,447349279,811978008,525012834,3669877,0,105171939,6029312,6619136,0
4993766,880,448334403,812701293,525618301,3678789,0,105299685,8454144,7012352,0
4604558,1290,408141210,748830444,477690928,3038949,0,105297300,7143424,6356992,65536
4834364,544,450048563,812023472,524742346,3523535,0,105299373,8716288,5832704,131072
5106638,466,449158440,812123754,525374358,3768688,0,105210537,11730944,7340032,0
