category,swaptions,canneal,CG,SP
runtime,61.70595693588257,63.0809211730957,117.31497502326965,162.26307559013367
l2miss,5795067.601659751,66944236.23529412,631237371.1585366,637034698.4968152
l3miss,17100.39834024896,44919445.84873949,119647822.70905924,360518385.83439493
instructions,25359531776.84647,2151389771.680672,6560328532.743902,25551151037.210194
cycles,16186071832.630707,9529298517.663864,15942796865.705576,15709788368.076435
stall_cycles,3947094717.4937763,8016379174.470588,11991056138.25784,5826469806.694268
intra_coh,4485479.850622407,339637.32773109246,285123.0226480836,44584.5923566879
inter_coh,0.08298755186721991,0.26890756302521013,0.2961672473867596,0.2802547770700637
wall_cycles,2122394947.1369293,2197054422.470588,2118160893.205575,2147447455.0254776
llc_size,28953315.319502074,368880665.81512606,181279540.6271777,713368543.388535
local_mem,262144.0,3615440482.957983,7716515197.770035,26226426899.56688
remote_mem,31544.298755186723,12883606.588235294,24730706.06271777,149083129.477707
