l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
36925225,20456851,1980018157,840029880,200048904,674,0,1166461528,37945344,14464253952,0
32429843,16519491,1572169373,837765916,227485004,233,0,105323764,37748736,585039872,1441792
30864433,18279914,1267342395,837097424,300123025,9805,0,105194831,36175872,852951040,655360
34521234,18949925,1182435646,838211205,358426288,6540,0,105875221,39845888,1488453632,101515264
30683317,19243733,1090507210,837550614,390473654,553,0,105421792,38797312,1852899328,0
31602051,19094933,1721735703,836527106,232807892,381,0,105367145,40042496,1720188928,26607616
46510941,19269659,1015346289,836579262,426075782,1139,0,105644659,39911424,2004615168,4980736
39543785,20512089,1927664603,837867845,176685976,424,0,104951196,36896768,832897024,0
22201894,12456251,1193120167,725956600,241473444,346,0,104825460,36831232,741146624,0
25153258,13512387,1182840661,708216892,251336269,2609,0,4773543286,16384000,788070400,0
34158686,18566241,1417704808,1011633575,432574419,11453,0,105433686,33030144,859242496,7208960
30124073,17660445,788856324,899375738,534394998,3047,0,105493536,37158912,1753939968,23986176
31787809,20672212,1554268156,1026028114,442747567,323,0,105364926,33685504,1775304704,0
38074591,17212626,1360873256,949670570,420941467,283,0,105344877,36503552,1768292352,0
38935371,18603511,1062765237,978480874,555038600,1150,0,105429855,35258368,1886322688,2621440
35972124,19881995,1761707085,824901218,185535390,249,0,105551736,36896768,863502336,13959168
28061412,17542645,1253206104,796950477,280648335,470,0,105399636,32243712,904331264,0
26932161,16795311,1281786576,796503595,295861961,6329,0,105355002,32112640,1007288320,3604480
29459264,17218646,1287060913,790226183,291762990,13356,0,105465420,27852800,826802176,0
31253686,18654816,666385300,746160295,445895127,656,0,105493269,35389440,2114912256,16252928
31053968,20153123,1775482550,933589480,262467742,363,0,105439191,35061760,1553661952,1703936
43558060,16408722,1154352613,1014428079,539803913,807,0,105439674,38207488,1966145536,5111808
42099051,21171606,1495587586,1037253155,502424785,937,0,105426471,37027840,1671036928,0
39396873,21186981,1828021372,1036999056,390327269,635,0,105452547,33816576,1078460416,0
31349867,19062891,1480840340,1038484839,414109010,1553,0,105473178,33423360,1060438016,0
34825080,19328007,1488432739,1036226186,446475153,13617,0,105375561,33751040,875298816,9568256
34508228,19869748,913790473,1036554873,653923140,1775,0,105418818,38469632,2106720256,10551296
33042781,20848746,2014563448,1037185678,311703341,260,0,105441690,35192832,1662582784,0
45941070,16780719,1032957613,1037835962,527034543,495,0,105449910,37814272,2026176512,0
24883937,14254532,866966788,826995601,460230137,552,0,105412377,32047104,1445396480,0
34709326,15256439,1572430309,731296600,157444755,138,0,105279471,12124160,529334272,0
25473841,13023688,1062788587,744849530,310800967,448,0,105300624,31522816,669515776,8781824
22006536,10054701,991754237,593633253,199706975,217,0,105402492,34209792,426442752,27525120
27039386,16425428,1283337264,893781978,387212737,2631,0,105363456,32702464,821297152,0
29757588,15556834,1010977632,859497961,438515373,2083,0,105470235,37683200,1258356736,12386304
33241018,20831958,1294678176,1037677665,546732540,474,0,105493122,33685504,2046230528,0
39146191,19412961,1717340975,1036973337,363301328,386,0,105412560,39256064,1817903104,19398656
40373312,18477068,989096788,1037188490,605619349,982,0,105499185,37421056,2076508160,0
40019272,19525522,1761465917,885645345,244848968,512,0,105317214,14286848,776536064,0
20639654,11462278,1003250405,723308020,276746233,298,0,105397788,29229056,645201920,4259840
21757053,9994358,1038505734,600120778,181453750,78,0,105165816,9043968,349437952,0
25380771,14235316,1038162780,793296114,347286190,5078,0,105389052,32636928,719060992,5505024
22388720,10740967,935038964,590573692,222275927,2007,0,105503499,37224448,531955712,20381696
35033502,19191717,736710140,1030004584,691110856,781,0,105449502,29425664,2251096064,0
