l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
70229,2415,1459381479,841521115,177984241,19752,0,1148361552,393216,1310720,65536
70251,1585,1454547271,839744786,177935744,26054,0,106082968,458752,196608,196608
70966,1763,1454239537,839974636,177475620,25320,0,105314027,720896,327680,0
59365,1413,1454168516,839682216,178019102,19962,0,104916713,655360,65536,0
63380,1616,1454191849,839519189,177931071,23570,0,105377400,458752,131072,0
64683,1531,1453037830,839140902,177862022,23258,0,104904869,393216,65536,0
63409,1471,1453450523,839197407,177766458,22693,0,105006775,458752,196608,0
65533,1534,1453125520,839390606,178043002,23713,0,105434160,393216,65536,0
66410,1401,1454801728,840019183,178097956,24849,0,104653388,262144,131072,0
66734,1655,1449538208,839258496,178266593,21977,0,105169128,524288,196608,0
67026,1471,1442013658,839196438,178575495,22914,0,105273996,524288,0,0
62548,1234,1441164494,839083703,178592731,22364,0,105248763,458752,0,0
68042,1398,1442133260,839570880,178762408,24693,0,105212592,524288,65536,0
63153,1067,1441697541,839729149,178844023,24473,0,105303195,524288,0,0
69164,1448,1442084601,839879045,178892419,27573,0,105281880,327680,0,0
65949,1236,1441744876,839205533,178619845,24902,0,105238572,327680,0,0
71171,1318,1441397714,839236470,178640812,26262,0,105272118,393216,65536,0
63549,1061,1442009804,839551566,178672338,24892,0,105349950,458752,65536,0
67169,1317,1443283591,840107573,178854906,23358,0,105290787,458752,0,0
74299,1264,1442225003,839578049,178715062,27958,0,105284886,458752,0,0
82616,1400,1441613487,839310256,178666931,28954,0,105259959,458752,0,0
65754,1300,1441432965,839353284,178681973,23441,0,105261948,458752,0,0
70104,1254,1442269846,839440659,178725614,26094,0,105287577,458752,0,0
65334,1208,1445496547,840027041,178663378,23376,0,105210648,458752,0,0
67441,1385,1454267801,839467489,177783063,25042,0,105279255,458752,0,0
62803,1237,1453985807,839152515,177757199,22285,0,105287634,524288,65536,0
71399,1265,1452783417,838791143,177813093,28215,0,105245100,524288,0,0
67023,1285,1454813109,839934932,177984240,24500,0,105288435,524288,0,0
80237,1343,1454244452,839743081,177890649,26854,0,105285258,589824,65536,0
64224,1510,1453255327,838985514,177718051,22199,0,105236538,589824,0,0
63690,1065,1454538671,839398647,177741248,23196,0,105254622,589824,0,0
62516,1159,1445730711,839141950,179509501,22367,0,105260187,589824,0,0
