l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
40612860,19006193,1436476743,839149891,258499977,261,0,1097861164,36831232,14450294784,0
36517154,19755426,1005124984,837815827,405952991,6545,0,105810624,35782656,1932591104,0
40952529,20027991,1633125834,838016462,240924201,484,0,105899612,37289984,992804864,12124160
32869061,16442906,1548005434,837534735,239808510,289,0,105061332,35454976,696188928,0
29125803,17807072,1458321581,838093036,284642572,8679,0,105712024,35061760,983171072,9043968
33555994,18170233,1207707247,837731193,360898957,5300,0,104846628,37683200,1568931840,58589184
30807179,20058196,1212996838,837074075,367925978,101,0,105614408,36962304,1873608704,0
31961976,18908604,1497749322,837222211,219015956,368,0,105140855,39190528,1686241280,29687808
33578198,13523686,689363446,610361511,314390273,169,0,4733706353,34209792,2221408256,4718592
36927630,21232753,1369485311,987592633,442506098,639,0,74611311,32047104,962920448,0
38150012,19507443,1453481461,1024347529,449892833,759,0,109442169,27983872,1665531904,345047040
30051151,19365581,1495516699,1036475098,452346032,1702,0,102470152,36306944,923336704,0
33622935,19607625,1462198775,1036670945,465683735,15208,0,104125108,28049408,1021247488,0
27362564,16818560,849988519,840750869,466892725,3582,0,105568911,33488896,1781071872,844038144
29250300,18302438,1154462523,775738033,313538818,206,1,115210557,29622272,2395602944,0
28533895,17781404,1529856971,752441576,190426346,263,0,100681270,34996224,1122107392,0
38985944,15999206,823320302,715058255,354493782,16346,0,100726223,18481152,1772748800,54198272
32423195,20601145,1393217816,786980591,291546351,5865,0,108963607,31719424,1725038592,334823424
31236273,19876812,1370256363,796475415,264801567,626,0,108584364,30212096,1336213504,0
27583282,17269080,1276125223,764327965,265711977,437,0,101197248,34930688,1469513728,0
25279917,18000907,1062044594,756843855,311467065,12042,0,104828988,36438016,341311488,0
29368305,18393441,1076119786,758717675,301587379,12870,0,104879972,34668544,2326659072,148570112
29737866,21174441,828881562,757428542,424764398,923,0,110746384,30474240,1689255936,240582656
24585192,19467305,1818555656,757149436,115389637,218,0,106487082,34340864,1762983936,281870336
42341615,18040150,910280588,724992929,330715213,398,0,126461104,33554432,2274230272,0
33018995,20105594,1229780683,717818158,282898441,727,0,91851428,31391744,846266368,0
29770933,19668375,1315096439,718207479,210744641,507,0,89395807,31260672,1031077888,0
26420159,17161851,1234297997,717828166,234600196,591,0,105420141,30801920,1031864320,327680
24555822,17876864,1082971422,717958537,273086556,7765,0,105453435,29491200,1249509376,0
25686645,16207434,1085486205,709941209,270255360,4777,0,105400440,28246016,1004470272,9240576
26100157,17583804,743975392,696198990,361309299,1406,0,105448356,38076416,1773338624,13500416
24132538,17979018,1164575465,690525335,236866801,251,0,105428619,28573696,1595015168,0
30174525,18740829,1569944072,757411258,192818363,325,0,105456024,35258368,1635647488,17563648
41121921,18463120,937097882,756791624,369894364,1253,1,105714771,32243712,2136080384,0
33179993,20705336,1453559988,746910869,228875436,415,0,105276600,31064064,1388314624,0
29503583,18338461,1268159669,722187883,236666764,846,1,105491439,30867456,1134493696,4915200
26814188,16094152,1252369463,718418500,232781649,453,1,105514929,30474240,1015742464,8388608
26078369,17880563,1071753324,718293352,286876382,15481,0,105482967,29032448,1190789120,0
27605867,18091326,1067207396,718077368,292014607,11230,1,105534636,32964608,1459945472,18874368
30192019,19931998,925867317,720444212,351118370,721,1,106204596,28377088,2055733248,0
22929120,18865406,1723583837,692774348,87815172,144,0,105632454,27983872,1282080768,3342336
41882708,18527909,950149546,678168321,276879976,492,4,105717972,37814272,2124742656,12451840
34180561,22174057,1253450903,723433322,263646114,1035,4,112504036,35258368,2553741312,685506560
30087288,19837336,1405095873,700055816,207819553,803,0,134878558,27066368,822149120,0
26317830,17016108,1203369610,697943778,222313774,566,0,104235566,27787264,1370554368,169869312
24804007,17473854,1125217891,693832507,256739349,6424,0,104708192,30736384,1408892928,0
25400881,16355577,1115815508,658274068,219097923,7963,1,96438276,37683200,1404502016,2513567744
31281579,21442279,817145104,670103589,308937234,2501,3,255058324,28180480,2955018240,0
23820685,18635920,1397023822,658977561,177807874,321,1,31368435,33685504,522649600,11534336
29959770,18468938,1319958677,642913162,149149357,223,3,38437640,34340864,2708602880,60817408
37917453,18885976,913119069,637890410,279569652,851,3,137337249,33685504,542441472,0
29954207,19155522,1347065344,630933537,148920213,407,1,81263956,29818880,1401880576,94240768
25348341,16340249,1160401811,606485338,183963251,664,0,96716144,21626880,1115881472,0
24924025,16694933,1142590556,642784387,201017064,432,1,117289170,30670848,1191772160,19660800
22238111,16450166,957933565,598097049,203626633,8369,4,97615938,35389440,343539712,0
23525618,15825061,1027801527,597632960,198320427,13766,3,108009552,32636928,2934702080,588578816
28601515,19013536,795117036,594852247,267826393,2303,7,144528715,15728640,713424896,0
21203705,15318562,1026740013,500856921,113538333,265,3,77248405,24444928,1029898240,0
15831359,13950350,1259055839,488040842,53324378,228,0,97446067,10092544,459735040,0
36329220,16899100,839728096,567956913,209442050,339,4,112241573,33554432,3458007040,195821568
31326884,20870312,1084923307,665323760,274034605,1052,14,112170010,30605312,316801024,0
30280081,18798435,1378713719,633553110,148792009,219,6,107965804,25952256,1104543744,0
20578243,15625124,937344769,611714037,229401003,810,0,107248982,31064064,1174405120,5308416
24256568,15451840,1121979989,652066619,208579541,368,6,112110518,28442624,1342046208,14680064
24110751,17010672,1081835195,679351288,249687262,11088,0,113467868,33947648,1139539968,0
25833119,16999435,990003512,644526930,239132783,11191,10,108960734,33423360,1605959680,369950720
28466723,20796694,809319799,675466334,344267491,892,6,108959298,28966912,2318794752,1115029504
23240406,18692635,1723923048,699927173,93362482,401,3,184418376,11599872,2280194048,0
36753924,16846852,890882852,620025856,244678688,248,1,52303846,32047104,572456960,0
24777895,14705515,783550389,540999767,239042810,1087,3,90152658,30146560,1507328000,0
32335109,19281308,1477929231,630222287,123908512,162,6,108863142,19136512,671678464,0
20680541,14435741,944469588,548382659,168883188,546,1,97284047,30343168,835190784,12386304
25900237,15885873,1194051149,636955901,173706009,368,0,105196611,37421056,884473856,0
23180370,16808390,973164107,626096427,236798754,4783,0,105464754,32047104,1215627264,4653056
24488802,16053213,1028767595,625628773,217491943,3481,1,105379155,34668544,1147994112,14090240
31653717,20215290,685224382,642143466,339542425,635,1,105525804,34537472,2219311104,0
22593187,17968783,1569107167,674633420,104957313,258,0,105490080,29097984,1255276544,4849664
35995893,18349466,1244724673,676164657,207715293,671,0,105291687,33423360,1852833792,2752512
33429425,19919242,962831113,676685943,306134095,20408,0,105417888,29818880,2028011520,0
31678642,19325258,1451954023,677163689,164617333,205,0,105432954,30932992,1109917696,262144
23870956,16986847,1138002822,672341999,224885126,795,0,105478515,29687808,1280835584,1507328
