l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
116754,39687,231491725,97265266,3053574,0,0,1019744092,26738688,103743488,458752
127413,45810,231844609,97515272,3218163,0,0,104647846,27066368,10158080,720896
116038,44076,230932629,97370022,3307448,0,0,105208390,28246016,11796480,0
104686,40238,231886017,97474356,3185942,0,0,104998300,28901376,9699328,0
134559,49645,231780800,97481992,3318451,0,0,105233512,29556736,12255232,393216
130762,53304,231054943,97313602,3252809,0,0,105050100,30932992,12386304,0
112360,38120,231871761,97371959,3075657,0,0,105092020,31391744,11272192,65536
29662,11824,67521953,28570830,1048514,0,0,4670026786,2949120,22740992,0
133933,60301,279809456,120805074,7307949,0,0,104728143,6619136,7864320,131072
138721,58929,281945291,119948262,5194908,0,0,106582161,13172736,10420224,65536
145443,64341,283580056,120040564,4702503,0,0,103761574,20250624,12713984,131072
137746,50654,283953775,119928402,4355726,0,0,110640812,27000832,16908288,589824
131010,50354,284139029,120051507,4372463,0,0,101048464,30146560,9306112,0
156730,64287,283911175,120298940,4650318,0,0,103600876,24313856,14221312,393216
150847,62075,266719032,111848944,5949348,0,1,121742671,21495808,29163520,262144
159384,61005,283190162,120553763,4937478,0,0,92555921,24510464,12517376,851968
146044,56025,283001901,119959909,5001173,0,0,108552373,27197440,20250624,0
132010,49733,284304565,119958355,4600304,0,0,108836915,28377088,15728640,6815744
127750,53052,281730236,119982471,5016935,0,0,102126100,23789568,10878976,0
158724,50038,284126497,120240825,5347224,0,0,99590488,21037056,19791872,6684672
140352,58433,282363606,119980939,4936679,0,0,125913004,24444928,14942208,0
160628,62885,283431827,120067423,4656978,0,0,83444736,25493504,16187392,2424832
148617,48376,284164861,119997061,4607523,0,0,113636104,26673152,13500416,3080192
151144,62300,283035778,120085703,5026581,0,0,108683906,22216704,10092544,0
140215,59689,283196691,120213426,5145935,0,0,96489188,19136512,20119552,2031616
131892,55531,281215996,119920612,5370292,0,0,103673184,22151168,13107200,262144
141706,61972,280680583,119996391,5380198,0,0,100162020,17104896,8388608,0
163428,60979,281209390,120108157,5401840,0,0,105155694,21168128,14090240,65536
157062,57830,281271490,120075551,5859750,0,0,105044835,19988480,14155776,0
130167,50272,282326711,120522047,5783563,0,0,105032466,15859712,18415616,196608
160670,64087,279878201,120075712,5839213,0,0,105087996,18677760,15466496,0
154944,58569,281157693,120095247,6344465,0,0,105106647,20447232,19660800,262144
242054,152913,242769065,110991570,5972024,0,0,105070263,23199744,34799616,3145728
1030428,610115,339658050,120290819,23306728,0,0,105111681,22609920,34406400,0
3874680,1623500,728881997,816791901,324357911,11757,2,105180720,21954560,184614912,1245184
4152529,2085084,755895887,783677938,299502291,8096,13,105196449,23461888,192806912,10027008
4365622,5852749,344442809,529613089,292527344,24194,21,105220926,24051712,1089470464,0
7608401,7521839,420475287,909771916,733987534,3270,0,105171300,23920640,605487104,0
2904461,2647996,195672532,393038589,307332184,821,8,105092637,23134208,218234880,0
