l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
28801778,20347327,1697145409,806032766,136147289,194236,0,1283211268,39387136,18919718912,30015488
27858749,20694823,1716984837,811778046,140872022,211023,0,105055348,36372480,1716060160,11730944
27857938,20220161,1704866487,810465055,135800561,190631,0,105666832,35192832,1725562880,0
15453841,13814469,787225194,533162096,280384343,36733,3,105323124,37158912,1424818176,91553792
21957382,20105691,956826124,769815298,518426895,344,0,105733604,38207488,2166816768,0
22794237,20197325,1188316185,838831238,440501057,345,0,105786892,38010880,2218721280,65470464
22613488,20629704,1949450079,837901480,216638916,749,0,105435148,31981568,1743388672,0
23382408,21082442,1404439213,805823998,478596189,2427,0,104894104,39387136,2036727808,0
19907730,16885262,1272705088,679581299,228046689,115232,0,4765141273,25493504,1496121344,0
32277110,20869737,1887602056,1004134846,241168576,217915,0,105433746,37027840,1930100736,0
32176596,20660047,1873623779,1005394150,246333784,210146,0,105482094,36175872,1897136128,7798784
25048383,16478814,1519857922,813196968,192102796,126729,0,105268554,25165824,1498284032,0
11859351,10486986,1209804671,778040103,177662433,198,0,105390090,30539776,764149760,3735552
21975275,13987966,1593206994,1038105702,288824344,6043,3,105646029,37814272,1205272576,17956864
34184233,19815081,1574346373,1000640768,377919131,96001,0,105621096,36896768,1712979968,1769472
19569738,14491021,1922760991,756603322,97173768,3795,0,105511491,34209792,1180106752,0
19455618,19625197,1592105756,748239727,244722956,1704,0,105553869,36503552,1891565568,12451840
10141441,9177838,751997084,353021374,114159037,14820,0,105448335,35782656,854327296,0
28001633,20703972,1731901303,797022545,128676686,145039,0,105401961,36962304,1799094272,1507328
27906091,20603374,1729742487,797342714,128960510,191325,0,105617566,36503552,1758593024,2031616
28040819,20991311,1738364701,798250774,128465118,186252,0,105509603,35848192,1762656256,0
24898843,18867188,1575024887,767272258,150551123,194390,0,105518637,34734080,1612709888,0
21877018,18440598,1809201727,758317549,93902050,241448,0,105555675,34734080,1517158400,720896
21849036,18455711,1813126789,757555679,91402040,215415,0,105521945,35061760,1484652544,0
21902956,18308631,1801777923,757481244,95458654,265213,0,105547568,32899072,1511718912,3211264
24038826,19815810,1588040353,758485709,118274128,224196,0,105427943,31981568,1642135552,5373952
26828413,20752772,1682099980,757649706,112336256,222573,0,105458229,35520512,1722286080,2555904
26293805,20249296,1656832674,748352394,110020592,213699,0,105554178,35454976,1677393920,0
25468388,20368031,1622149899,719569175,101500081,197989,0,105352905,36700160,1673003008,1900544
27521931,19598247,1242285847,718019183,181553565,46550,0,105622578,34603008,1642725376,0
24810473,15963627,1589742756,718263961,192904063,93517,0,105497118,39190528,1440743424,196608
20509421,14824460,1883383188,718737604,93012876,5044,0,105598143,35848192,1340997632,11927552
19393894,20945990,1647889467,717645185,224253991,3335,0,105452253,34144256,1951399936,0
25528908,20382217,1622965499,716196311,96604674,191044,0,105480825,34340864,1698103296,1114112
24516429,20106057,1581953977,687073826,88047178,180449,0,105614690,32636928,1612120064,4063232
24113051,19896323,1556715063,678668963,87634548,171734,0,105477982,36765696,1572864000,0
23335170,19466826,1528267632,666332951,83956469,167815,0,105457029,25559040,1552089088,0
18488244,16027226,1470562977,665106544,100321196,243681,0,105422220,33685504,1371340800,16187392
19686213,17311216,1652632644,677757716,76499564,234227,0,105436338,38535168,1373634560,0
