l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
13983,3093,307790216,100754554,6420339,0,0,1261928992,8454144,71041024,0
13426,3068,308319545,100886346,6422436,0,0,104626316,8519680,5046272,327680
13615,3080,308553800,100930979,6474792,0,0,105088836,8323072,6160384,0
13574,2944,307794649,100754133,6474152,0,0,105288080,9633792,6422528,393216
13932,2835,307986368,100810713,6430247,0,0,105075214,11075584,7602176,0
13825,2972,308240777,100932277,6467068,0,3,105473554,3080192,13172736,0
13406,3005,308258910,100977447,6458190,0,0,105101968,4456448,8126464,196608
13654,2945,308448005,100874169,6393419,0,0,104723050,4521984,6422528,0
13566,2897,307515659,100844519,6458710,0,0,105077475,4128768,6881280,0
13408,2907,307285893,100746975,6430164,0,0,105053232,6094848,4980736,131072
13835,3066,307911786,100889830,6433312,0,0,105091605,9109504,5046272,0
14119,3123,308346607,100942080,6452101,0,0,105118023,12124160,4325376,131072
13910,3071,309166205,100987778,6377294,0,0,105118227,16252928,6881280,0
14194,2969,308743222,100880757,6413499,0,0,105137106,18153472,5570560,262144
13956,2862,293735656,97287372,6200413,0,0,105108729,17039360,8978432,0
14038,3140,307440863,100524705,6282785,0,0,105119676,20054016,7340032,0
13954,2892,308293968,100889460,6418151,0,0,105111138,22609920,5832704,131072
14035,3100,308647685,100953659,6384536,0,0,105175719,24707072,6881280,0
13504,2722,308516015,100944879,6419848,0,0,105058800,26673152,5832704,196608
13663,2804,307794909,100694264,6428979,0,0,105157308,28180480,7012352,0
13444,2961,307683875,100762411,6405080,0,0,105118932,29687808,5505024,0
13538,2786,308495592,100874196,6408374,0,0,105111861,30867456,6881280,0
13651,2922,308936104,100952405,6410902,0,0,105120411,31588352,5832704,0
13820,2987,309077702,100856038,6378592,0,0,105115560,28901376,6684672,262144
13611,3044,307860004,100712792,6423354,0,0,105124944,29097984,5046272,0
13612,2816,308376932,100843349,6402557,0,0,105112017,29753344,5701632,65536
13389,2843,309443347,100796010,6330361,0,0,105108483,30212096,6881280,0
14036,2904,308881273,100793667,6416915,0,0,105118914,31064064,5832704,65536
13706,2964,309610316,100809395,6410297,0,0,105199200,31129600,5963776,0
13487,2932,308200727,100768143,6440618,0,0,105055869,31522816,6291456,65536
13690,3020,308791797,100855266,6393001,0,0,105111066,31457280,6619136,131072
13285,2750,308351944,100778916,6413713,0,0,105097641,31850496,7143424,0
13787,2932,308646888,100901038,6420943,0,0,105122526,31981568,5636096,262144
13777,2902,307813986,100821693,6435293,0,0,105113226,32702464,8060928,0
13647,2747,289077328,96000357,6188831,0,0,105112977,33488896,7405568,393216
13774,2931,309192711,100947808,6407974,0,0,105132393,25755648,11010048,0
13432,2895,309210293,100916251,6428803,0,0,105110538,25231360,7012352,0
13732,2905,308928266,100963468,6451375,0,0,105112875,25296896,4456448,0
14037,2650,308727265,100850006,6420266,0,0,105123462,26345472,6684672,131072
14174,3101,308437769,100845064,6446986,0,0,105118617,27262976,5505024,0
13244,2772,307938584,100780864,6410243,0,0,105113364,28246016,6684672,0
13587,2762,308845931,100992827,6408378,0,0,105123036,29229056,7077888,196608
14045,2832,309371195,100903050,6449678,0,0,105124419,29753344,5767168,0
13694,2780,309306616,100784263,6352704,0,0,105113832,30081024,7012352,196608
