l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
119609,43876,231274722,97149862,3279120,0,0,1242439246,21168128,127729664,0
125728,42915,230671606,97479582,3644652,0,0,104965146,21233664,11075584,1376256
117832,54690,230749733,97526475,3480794,0,0,104970888,22347776,12976128,0
127624,50724,231155277,97392986,3533376,0,1,105371600,20709376,10289152,1114112
130744,53248,230486238,97315496,3463355,0,0,105087541,20578304,13631488,0
113325,41661,230277147,97460605,3869582,0,0,105337059,5308416,17956864,0
108081,45787,228889314,97419769,4309522,0,0,105096684,6291456,12255232,65536
45366,18781,101281850,42822421,1985319,0,0,4707875949,262144,10878976,0
142768,59907,276498872,119328468,8272689,0,0,104938653,9502720,10354688,0
168111,61009,287631436,123487782,6335197,0,0,105107349,13762560,11534336,0
147394,50452,293778337,124337584,5370861,0,0,105174066,17629184,15073280,327680
150723,54345,299338332,127818698,5441736,0,0,105176619,23592960,16777216,0
148606,63253,298557393,126261279,5340523,0,0,105006150,26476544,13238272,65536
173810,66511,290213809,123698941,5539392,0,0,105047652,21954560,22347776,1966080
138381,74020,210641355,95975218,4518841,0,0,105100329,20119552,19136512,0
121848,42746,221334854,93225246,3153474,0,0,105236061,16515072,14614528,0
104538,40193,220191921,93123850,3506613,0,0,105116768,15269888,9568256,65536
103702,40210,220368465,92934414,3473005,0,0,105091162,16646144,11796480,65536
107573,41337,218842333,92655918,3849188,0,0,105272848,19464192,9240576,0
107083,39195,219003989,92728491,3639584,0,0,105064247,20381696,8388608,131072
128932,61206,218666570,92818660,3491344,0,0,105132555,16056320,13434880,0
110931,42723,210222611,88628455,3155731,0,0,105123366,11862016,9633792,196608
129756,50993,209494183,88591057,3272433,0,0,105207702,13434880,12648448,0
109341,38177,209172425,88310318,3579986,0,0,105134656,15794176,9764864,0
109237,38259,209098772,88299620,3314978,0,0,104988905,19136512,8454144,131072
121358,43655,208832345,85592103,3218065,0,0,105158406,22020096,11862016,0
102599,40888,210005632,88379142,3337711,0,0,105216593,16711680,11862016,65536
101784,38707,201639583,85195483,3274069,0,0,105027709,14221312,10813440,0
96908,39018,197607652,83904565,3349471,0,0,105130186,13107200,9306112,196608
106714,38490,196417907,83665541,3664150,0,0,105086741,15073280,8978432,0
112908,44490,196849165,83775960,3393661,0,0,105112527,11599872,11272192,65536
102654,42355,197631031,83813619,3531750,0,0,105120174,16121856,8454144,0
105424,46840,195216800,83804366,3874941,0,0,105233928,19726336,9175040,65536
89215,37814,194507066,83145050,3676836,0,0,105048961,15663104,11993088,524288
88971,33980,186424680,79364221,3187011,0,0,105091334,14286848,12976128,0
115004,44688,186950853,79392922,3207881,0,0,105201462,13500416,10158080,131072
