l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4279873,3964075,265729903,688388726,533999603,15485,0,1301522686,1835008,2275213312,0
4288708,4005305,262881386,672679264,526774611,10259,0,105685032,5963776,282198016,15073280
4336871,4046948,266459499,652232972,502093311,11109,0,105447116,5898240,265814016,8978432
5650650,4528064,318200079,759718929,577955234,13233,0,105551360,4718592,312344576,0
3654667,3155891,227069174,762266242,629861526,14391,0,105632508,3735552,223084544,0
3535412,3275827,211539820,737470130,621736693,11862,0,105839960,3407872,205848576,0
4657026,4124524,292494352,706898931,543741064,20160,11,105479848,9830400,294387712,13631488
4408336,3849867,259283475,735261504,593389081,96562,0,107081084,4128768,234029056,0
5932454,4832698,330235660,747456125,559627771,519882,3,103917137,40108032,316669952,1769472
8992627,6825855,501519130,793253943,512906834,1003498,0,105350715,40960000,443744256,0
8769406,7161032,511506689,757737012,479342685,471095,0,105365274,41353216,468189184,0
9583365,7006564,506439797,779144867,500740653,1160900,0,105398580,41025536,463011840,0
10162808,7159390,515361768,784357256,503607874,1528743,0,105412674,41156608,456327168,5308416
10222815,7011686,514416745,772813891,490513648,1530093,0,105392994,41353216,463142912,2555904
8918430,6363931,451886799,725234323,466841163,1177183,0,105394104,40960000,393805824,0
10640920,7593820,535834067,762747854,472764101,1458642,0,105379754,41287680,479592448,851968
9404812,6567503,487258531,762260370,495850412,1492857,0,105372996,40894464,430505984,3801088
10068705,7126163,516887937,773371176,491777979,1490000,0,105434083,41091072,457572352,0
9979688,6995833,514600652,780414139,499137326,1394261,0,105433041,41091072,457113600,655360
9793632,6950889,508254601,804089227,522910087,1482383,0,105191934,41091072,442171392,1638400
10061864,6987201,511952503,786948124,507029956,1415471,0,105341040,41287680,459866112,0
9949740,6974333,514978270,809613898,526146875,1580243,0,105448141,41025536,452657152,0
9665331,6994774,514666343,807034100,525123334,1352665,0,105363801,41156608,445317120,1507328
10297999,7205140,518159948,753267098,471914633,1374827,0,105376523,40894464,471465984,196608
9674514,6977549,512593837,760343000,482281155,1348384,0,105440370,40960000,442564608,0
9754730,7181741,519056362,792338045,505249771,1228623,0,105365929,40960000,454361088,851968
9841896,7241526,520166296,753008055,469304318,1214502,0,105414607,41025536,468123648,196608
9844710,7086458,511513105,763243332,487143514,1463900,0,105373836,40894464,446038016,0
9975160,7091740,510595193,741795334,462200257,1338304,0,105383589,41156608,459538432,1441792
9816908,6937014,505151895,766883677,494901643,1535627,0,105395958,41156608,437583872,0
10196772,7160668,517176288,800300923,516377501,1543822,0,105449293,41287680,457965568,0
10227272,7536862,530585352,747600355,465037801,1434083,0,105389376,40894464,472186880,6684672
9804572,6925688,512223355,797036379,515820223,1488796,0,105409480,41222144,448069632,196608
9908625,7169805,519393561,761805436,480086317,1363935,0,105348023,41091072,457179136,0
10232231,6941545,507504020,766073120,485773837,1567728,0,105451809,41222144,463601664,1966080
9970261,6974322,506223219,769004303,493945063,1470267,0,105319487,40960000,446431232,1114112
10125480,7037431,509208281,791070393,505406434,1443505,0,105460724,41222144,462290944,0
10405101,7194632,522390222,771612625,485562762,1418764,0,105392824,41418752,469106688,3604480
9524031,6771851,498908844,785839842,509866113,1394466,0,105354051,41156608,436273152,1114112
10005232,7005654,514597997,791050458,510532693,1554578,0,105393976,41222144,450428928,2424832
9670528,7031650,507615781,758055896,481271394,1276003,0,105383725,41222144,447938560,0
10010174,6890087,506076095,758517642,473196153,1372326,0,105322463,41353216,460718080,1310720
10060142,7010144,514612539,784200484,503917329,1475171,0,105384200,41484288,462553088,655360
9704301,7144741,517520127,768320498,487432490,1290947,0,105359721,41156608,454819840,0
9391408,6967791,511860924,806162931,522701534,1176762,0,105455432,40763392,448987136,1966080
9898464,6917919,509631367,795388680,516288682,1511495,0,105334676,41287680,451936256,0
9896688,6896840,506039374,755721003,477324972,1381868,0,105401052,41156608,448724992,196608
10430398,7274094,522022485,785062561,500239050,1525931,0,105350826,41549824,460783616,0
10028128,7150213,516373940,757817648,482934888,1416464,0,105389252,41484288,456982528,3735552
10039753,7024988,517485209,794718115,512743158,1518540,0,105395774,41091072,451674112,1114112
9705231,6862189,506643666,783939387,508340210,1470882,0,105422291,41222144,443416576,0
9714377,6857959,502904747,759975967,484927660,1332817,1,105446637,41222144,448462848,2752512
10585267,7528293,526669167,758384425,475574079,1544614,0,105248958,41222144,462028800,0
5533088,4049437,316057868,737104972,558732399,880787,0,105503754,4980736,274333696,2359296
5374186,3908732,291049171,761160646,597423972,860527,0,105532518,6684672,256638976,1507328
5819426,4419652,294545704,723728190,559016356,829056,0,105346824,17825792,284426240,1310720
8549076,6332473,453113133,773094290,522287427,1209013,0,105425286,13500416,408616960,0
8375268,6009269,427161080,778341718,540149682,1371627,0,105688166,3866624,383909888,0
5382677,3960205,291752213,703588852,538315434,890248,0,105499397,11141120,279379968,3080192
7685671,5779467,374518953,713224701,505449487,992356,0,105364459,5111808,351993856,0
5566390,4164904,297427358,715267012,549622418,897815,0,105594748,5701632,271581184,2490368
7675142,5496962,381908271,746256089,529304392,1095162,0,105244350,19070976,359727104,2359296
6232767,4482154,324541573,775301415,593836688,949341,0,105668583,8192000,293273600,0
5936176,4483597,304759359,755844515,584966133,841202,0,105542094,8650752,284098560,0
5825355,4339919,302376189,719749498,549884939,887575,0,105655887,5373952,282329088,0
6152030,4381980,318784329,749639897,571984864,987258,0,105445803,6356992,285081600,851968
6596814,4996890,348874084,778924352,580949623,984189,0,105373203,7667712,320536576,458752
6381011,4799164,343851173,761852262,566945307,926185,0,105531615,6881280,308609024,196608
6802647,5054204,361608724,769313318,570506300,1014150,0,105489675,6488064,325255168,0
6328316,4637214,323279283,712142364,528121524,869506,0,105512367,8716288,306053120,2031616
6213157,4544237,319267208,774594162,592283830,884660,0,105694268,5701632,301268992,851968
