l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
27946125,21074577,1736650759,812419059,132313240,267101,0,1248900024,35848192,18767872000,38207488
27908583,20304205,1709394852,812965815,138158883,241137,0,104786448,34996224,1750138880,0
17223834,13207013,1096712422,514469823,98564068,126622,0,105574616,28966912,1075511296,0
22502940,20619572,994990899,791154267,534317225,1161,0,105340744,30605312,2162360320,17891328
22193026,20702462,992300306,806361186,564208602,404,0,105118740,35717120,2264334336,0
22282286,20356430,1441977442,837051845,266439583,716,0,105491420,32702464,2140405760,0
23096274,20786079,2059770688,838174672,300189250,4158,0,105356235,38666240,1637351424,34471936
8201922,6982095,342861904,280239727,202521757,139,0,4670125890,29622272,801046528,0
26363233,20731729,1527489681,933212795,423247766,122176,0,105411348,33685504,1883766784,0
32663676,20798558,1892974014,1004311748,236779784,238671,0,105401217,36765696,1919811584,393216
32506964,20473873,1880853864,1006791826,236579128,201537,0,105494163,40894464,1980956672,3211264
23175768,15382839,1417520923,747167826,176105943,125029,0,105342537,21823488,1376845824,0
11347249,11141687,1414927064,859532495,197357798,641,1,105445905,29687808,794427392,4063232
15183396,10664419,1247805087,782305462,186104335,6124,1,105397362,37289984,951779328,11796480
32389110,19806608,1385504775,796495688,225018702,99932,0,105487530,30605312,1587478528,0
20836882,14399237,1672205552,737872469,150471503,6560,0,105474525,34799616,1298530304,5373952
19932585,19131549,1696394016,756032526,201752053,2381,0,105549528,34996224,1789001728,12779520
8688582,9970509,803674041,368638848,118953224,80,0,105426531,18743296,901316608,0
26433313,19921271,1656026253,749200555,111508897,201995,1,105379356,38797312,1729822720,17760256
26898024,20661139,1688615976,758345133,109664336,193275,0,105582300,33751040,1725104128,4390912
26836726,20696722,1684570064,758033057,108822779,180697,0,105538416,36503552,1759576064,1376256
24435611,20009649,1661296895,757726455,134559190,149539,0,105470574,35454976,1636696064,0
21857735,18511364,1820335519,757820582,89554201,110144,0,105509739,35454976,1509556224,458752
21848784,18322192,1812196436,758216740,90377395,112206,0,105517710,34799616,1528233984,786432
21916077,18523371,1824087394,758139950,88663261,111267,0,105527517,40763392,1519583232,3211264
23986038,19131811,1610892429,757746943,129037022,175290,0,105543831,34930688,1618149376,0
26832762,20623534,1680300186,757519906,108372162,250603,0,105516036,35520512,1709899776,458752
25741390,20061274,1627208225,726122306,100497981,163802,0,105488355,34537472,1688928256,4063232
23670881,19059448,1518031906,662761154,84219570,178132,1,105449310,34406400,1578172416,0
9603191,6683526,608700018,426833270,126884092,40393,0,105437019,23199744,647757824,0
28533445,18282538,1203656955,662829356,160531285,11867,0,105458937,36241408,1524695040,0
10311807,4860482,421560337,380950124,150762726,1223,0,105312957,13041664,379060224,0
609330,444436,300357764,571237870,321718327,8601,1,105513612,131072,31195136,0
4476,1928,271414576,562771550,320630277,1347,6,105408980,131072,1245184,0
4804,1557,271495656,562671385,320516579,1740,4,105363745,262144,1048576,131072
22971,14881,270368832,558111202,317714212,5601,3,105433671,524288,1507328,327680
