category,MG,nn,streamcluster,canneal
runtime,66.69983720779419,76.68404364585876,120.22563815116882,137.4560148715973
l2miss,188820298.64610112,103177203.2145259,158537020.98942918,33226619.326103795
l3miss,146354347.2150814,12247.585743106927,126342265.97885835,24855669.70565453
instructions,9200892879.108826,9341471414.351042,9240731986.993658,991486205.228505
cycles,9521697765.329906,16268497138.466711,15143586721.107822,5669166569.783114
stall_cycles,5214832328.517567,10280936326.886349,10168269138.706131,4938810693.810999
intra_coh,340514.618680377,75697843.0800269,11007992.312896404,1172056.5298218436
inter_coh,49.22022279348758,0.6724949562878278,1.9112050739957718,286.6305189775368
wall_cycles,2349605203.7532134,2121213348.5675857,2117008578.2579281,2209021598.5824943
llc_size,78423061.93658954,647045257.7269671,754027565.4630022,154337026.18125483
local_mem,6068722329.117394,143638869.56287828,8191609277.970402,752322314.1130906
remote_mem,7609929127.814911,1061268.9172831203,25595895.34038055,1148227777.5367932
