l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
702403,207857,92645658,101162689,49473292,0,0,1034844794,26017792,169279488,393216
702688,212255,92028337,101516679,50126033,0,0,104598120,25231360,21037056,0
705732,216811,91165487,101472942,50511319,0,0,105113004,24772608,24641536,0
710182,220026,90173390,101455104,50960566,0,0,105098772,27852800,19202048,0
715648,224494,89744815,101584697,51414619,0,0,105161732,29949952,17170432,0
654311,200454,83451154,93458183,47046709,0,0,4767892300,458752,40763392,0
715402,339830,92801851,125999545,72781207,0,1,104865876,19529728,19529728,0
804755,267854,102547473,125797855,68379440,0,0,105021831,27787264,20709376,0
822148,262491,102885418,125825804,68095760,0,0,105097878,29229056,20316160,262144
828379,259791,102494098,125923977,68170394,0,0,105108138,27328512,24838144,262144
820707,268847,101126271,125975485,69184400,0,0,105097728,23592960,31981568,0
706934,251856,91645865,117882433,70312332,0,0,105080277,21561344,35913728,0
795342,300342,96805821,126626801,72230903,0,0,105061200,16056320,30998528,131072
795319,302626,95402333,126248227,72684231,0,0,105135771,19202048,30408704,0
807806,294831,97170216,126263620,72101277,0,0,105027135,20054016,27066368,262144
813640,291590,97442977,126261483,71937232,0,0,105167232,19988480,26869760,0
821356,295796,97073655,126298300,72257564,0,0,105088848,20185088,26869760,0
800615,313774,93964442,126386912,73909525,0,0,105074457,11534336,34471936,0
795994,322012,92879211,126434070,74648800,0,0,105071835,15204352,27000832,786432
809530,307884,94467227,126417214,73782690,0,0,105100041,19070976,24903680,196608
818999,303510,94706320,126463447,73562150,0,0,105177459,20054016,31195136,0
712100,257467,82468983,112905502,67878787,0,0,105030744,20316160,33882112,0
802026,319581,91613305,126674668,75308485,0,0,105124809,11403264,33030144,0
793588,326631,89648162,126708560,76287868,0,0,105109734,14876672,29294592,0
816942,317211,91502123,126596065,75425810,0,0,105021483,18219008,29622272,0
823942,311787,92177246,126661234,74983178,0,0,105120663,19726336,28049408,589824
831011,310923,91839794,126644548,75124778,0,0,105076941,20185088,26214400,0
824831,318055,90793190,126802226,75681407,0,0,105140700,15597568,33751040,0
824658,321092,90108832,126722360,76258896,0,0,105154740,18612224,23920640,655360
834683,313345,90770977,126746482,75834496,0,0,105048756,19464192,29294592,0
838334,314390,90698985,126768602,75872163,0,0,105146031,19660800,28966912,262144
808962,261654,77746124,111297645,66864759,0,0,105073971,13762560,36044800,65536
811426,341422,86618333,127089767,78429902,0,0,105093234,13238272,25559040,0
829238,327010,88328588,126873351,77317224,0,0,105125853,17498112,27852800,0
834149,323657,88759430,126879323,77108591,0,0,105131739,18153472,27328512,393216
838405,321705,88429800,126762545,77151374,0,0,104978046,18219008,28770304,0
836209,324785,87881583,126858710,77563496,0,0,105103428,16121856,28049408,131072
843083,326501,87768550,126913328,77615624,0,0,105091635,18153472,28180480,0
843162,327352,87850149,126937016,77594001,0,0,105107238,17563648,28770304,0
845946,325336,87722407,126984654,77737076,0,0,105099018,17563648,27459584,262144
847012,325939,86992325,126913568,77847364,0,0,105080148,17891328,25427968,0
847800,327421,86940172,126986698,78081955,0,0,105156963,18219008,29753344,65536
851549,328176,86837100,126968621,78082186,0,0,105054114,17891328,28704768,0
853811,327289,86150854,126986812,78313122,0,0,105148857,18612224,28311552,327680
707472,288203,76429063,116554406,78996769,0,0,104994879,17301504,37814272,0
848709,332348,84637284,126967523,79243677,0,0,105050811,15269888,29229056,327680
853488,334963,84802528,127139212,79273598,0,0,105099621,16187392,31129600,0
852222,334016,84442284,127076938,79177095,0,0,105116133,14680064,31129600,131072
843083,341448,83479762,127087884,79929229,0,0,105034449,15466496,26935296,0
854353,335709,83968969,127172210,79581614,0,0,105111300,16121856,27852800,65536
856169,335947,83695704,127169527,79728581,0,0,105137130,16318464,26804224,0
859339,337315,83447626,127066645,79689708,0,0,105005046,16056320,30539776,0
863229,338482,82799598,127141879,80080480,0,0,105097083,16318464,29687808,131072
864369,338902,83080113,127222744,80116551,0,0,105098241,16580608,31784960,65536
863622,337345,82804391,127178782,80298384,0,0,105089781,14614528,29229056,0
859093,342935,81807898,127241118,80843427,0,0,105088833,15204352,28377088,393216
865029,344942,81812722,127242947,80712583,0,0,105098580,15138816,28835840,0
741367,351314,80928456,123138264,70632406,0,0,105102447,15073280,36306944,393216
864673,344726,81024262,127308099,81169718,0,0,105086721,14417920,31326208,0
662729,265921,62188851,97548165,62182930,0,0,380038905,11010048,20185088,1179648
421806,357785,37379842,88018316,66045591,0,15531,104856837,10485760,524288,27852800
398865,345085,36282343,88132245,66783598,0,4513,105030942,9437184,786432,26935296
411324,351838,36266169,88055586,66625210,0,2455,105069528,9240576,1048576,28377088
404745,350216,36105287,88109164,66749333,0,1532,105141282,8388608,1245184,29818880
400449,342038,35726514,88105772,67016384,0,1398,105102159,8126464,655360,27066368
405332,343719,35265123,88162541,67222055,0,1301,105063852,7798784,917504,27262976
403801,353325,35633857,88144730,66998297,0,965,105077007,7733248,1048576,25165824
404367,350948,35761828,88054638,67096234,0,897,105045723,7208960,1179648,26542080
401767,348337,35564671,88168736,67274936,0,703,105197847,1376256,3407872,25559040
399316,344722,35017867,84819054,64758024,0,84,105109326,1507328,524288,27066368
155656,186155,13756205,38269417,28160843,0,10,105334610,786432,393216,17563648
151729,146972,12334102,43910827,33352241,0,15,105087480,983040,524288,18743296
205687,197172,16823422,52447314,39623887,0,18,105065211,655360,393216,20250624
254406,231360,21248186,59459855,44832283,0,9,105191721,851968,655360,19529728
292372,253054,23384674,61821942,46315521,0,7,105127398,589824,655360,20185088
321968,276470,26195751,66906130,50371539,0,6,105061152,655360,655360,23068672
340406,296615,28599210,70507858,53026591,0,0,105191239,589824,917504,25624576
354539,315789,29930032,73130610,54770902,0,0,105082232,589824,589824,23855104
359096,305331,30126789,70644488,52849037,0,1,105178986,589824,917504,24379392
363434,308904,30779584,70500204,51993969,0,0,105144044,589824,720896,22806528
365880,312232,30915320,71028353,52634829,0,0,105119418,655360,720896,23134208
370988,316552,31266590,71669477,52986531,0,0,104987536,196608,851968,23527424
364112,319147,31067919,72157100,53582812,0,1,105235892,458752,131072,23658496
361220,309303,30566873,68615838,50747565,0,0,105071803,589824,589824,22937600
362597,301342,30013370,67543340,49581373,0,0,105234201,524288,655360,22937600
360052,309503,30857853,67648625,49491936,0,0,105019491,851968,458752,21757952
359693,316283,30857464,67939910,49692279,0,0,105111338,393216,786432,23789568
355008,309240,30600851,66619869,48612336,0,0,105169237,262144,327680,22020096
353296,301892,30201827,63218500,45273032,0,0,105046437,589824,458752,22085632
352397,302702,30486389,63273672,45364608,0,0,105066207,589824,655360,22544384
353224,303335,30309457,63252102,45413987,0,0,105097736,589824,655360,22085632
351493,307572,30319876,63344026,45532226,0,0,105173998,589824,393216,23658496
273302,219991,22627977,51855568,42770461,0,0,105026064,655360,196608,26279936
267318,236285,21951858,48474292,34604149,0,0,105077517,393216,458752,17629184
273616,239425,22499447,49222333,35069927,0,0,105132069,524288,458752,16777216
283448,252919,23110921,50375284,35871551,0,0,105118608,458752,655360,19529728
286104,254382,24144289,51440793,36309268,0,0,105204716,720896,524288,21299200
296013,258167,24664127,52420110,37217735,0,0,105037336,524288,458752,19464192
302449,264445,25134088,53299897,37936025,0,0,105132886,393216,458752,19202048
308436,265444,25545941,53952820,38519166,0,0,104997860,327680,589824,21299200
311494,272549,25910938,54573687,38905525,0,0,105261482,393216,393216,22544384
318615,271906,27008377,55192289,39061347,0,0,105052020,1703936,0,19398656
400818,208955,34660505,55310325,35402474,0,0,104773090,7995392,131072,14680064
422505,198144,37119243,55851475,34248336,0,0,105064500,10027008,0,15466496
431535,196448,38217248,56460125,34415176,0,0,105065514,10420224,0,13893632
443910,200858,39155548,56947936,34446371,0,0,105183840,8978432,0,15532032
436248,212685,37971655,57247938,35384687,0,0,105161084,6160384,0,15466496
444761,206935,38978202,57422555,35179406,0,0,104876185,9175040,0,12910592
460104,203350,40245199,57621738,34715400,0,0,105260361,10747904,0,15073280
463223,205987,40765097,57874396,34689828,0,0,105016035,9437184,0,15466496
463114,200845,40637323,57954296,34829920,0,0,105100971,8454144,0,16187392
447832,218993,38878193,58137546,35915936,0,0,105165243,6422528,0,19267584
454406,214526,39545722,58129327,35758061,0,0,105004455,9306112,0,14221312
466885,205224,40797536,58293598,35122303,0,0,105141230,11862016,0,15728640
468281,201990,40995202,58300540,34961485,0,0,105009001,12910592,0,15204352
473622,200360,41448827,58255177,34865020,0,0,105160741,12845056,0,16842752
468650,208673,40438114,58262972,35378816,0,0,105018272,9895936,0,17235968
472214,206117,41008711,58371433,35228012,0,0,105217482,11599872,0,15400960
477601,203014,41470178,58398147,34899968,0,0,105138420,12779520,0,15925248
480530,202795,41896774,58378864,34783621,0,0,105011334,12976128,0,17170432
472368,205637,40749375,58389994,35300755,0,0,105143838,7929856,0,16384000
466023,208566,40309269,58391653,35899956,0,0,105093426,10616832,0,12189696
476714,204387,40929441,58406850,35185345,0,0,104993259,12386304,0,13893632
474031,198604,40658723,58431388,35445320,0,0,105057933,12845056,0,14286848
476769,201592,41229515,58292677,34979595,0,0,105085563,10551296,0,15007744
465552,215611,39659533,58416596,35958433,0,0,105130956,7274496,0,19988480
458914,219730,39303822,58483464,36283515,0,0,105117096,6291456,0,15138816
465585,218011,39360936,58498893,36166080,0,0,105090411,8519680,0,11075584
479082,207664,40812308,58494187,35282668,0,0,105051441,12713984,0,14811136
487503,203856,41580212,58469698,34988027,0,0,105110943,13434880,0,17039360
488514,202135,41626275,58441489,34856966,0,0,105236990,13828096,0,12976128
469290,210184,40007680,58488024,35665078,0,0,105089371,7077888,0,20447232
462294,217836,39267594,58443240,36161221,0,0,104976549,6684672,0,15663104
466312,217780,39512930,58488600,36056564,0,0,105014757,9764864,0,14745600
479062,207492,40764784,58499686,35432119,0,0,105093669,12713984,0,13959168
266401,84899,13767296,28556827,17719805,0,1,105087258,13107200,0,12386304
124919,64853,9753233,25281621,16258623,0,0,105072021,12976128,0,4325376
168448,85844,13053200,29817589,19455730,0,0,105066045,7471104,0,10420224
214430,112675,17561440,35278659,22815661,0,0,105039918,9699328,0,9830400
283184,137208,23776842,41529611,26074562,0,0,105112071,11599872,0,11403264
355855,160564,29794869,47259251,29099577,0,0,105128097,12910592,0,11665408
398135,172719,33172780,51197553,31617274,0,0,105120318,9764864,0,13631488
419251,200640,34755099,54444865,34183100,0,0,105067962,7471104,0,17432576
449677,204908,37186446,56341924,34819600,0,0,105091803,11141120,0,14024704
465882,200133,38931271,57441370,35097221,0,0,105181813,12845056,0,16449536
480650,201681,39950557,57891630,35078968,0,0,105086141,12845056,0,14745600
477909,204108,40188261,58161277,35289142,0,0,105142809,8519680,0,16187392
462704,221677,38333362,58340220,36507378,0,0,105097908,8454144,0,17367040
475236,213165,39573873,58410136,35775654,0,0,105175016,11403264,0,16384000
482054,208873,40395258,58464238,35514754,0,0,105035878,11927552,0,14024704
486300,208660,40547150,58501849,35507047,0,0,105233280,11993088,0,16187392
477853,211916,39605636,58530748,35997476,0,0,105176325,6422528,0,19136512
192494,97324,15801465,24744738,15902537,0,215,308538399,2555904,2359296,9306112
657817,498357,53568304,127510397,96124925,0,5525,104347905,3473408,36831232,131072
670689,500202,53545906,127553851,96244712,0,189,105058014,3407872,39911424,1638400
671160,500993,53193101,127650293,96326811,0,140,105091011,3407872,38076416,262144
671627,500427,52917936,127629224,96454086,0,115,105095253,3407872,41746432,1441792
669390,499018,53028767,127665168,96579424,0,59,105348258,2097152,41484288,1310720
671143,500249,52791792,127678854,96596348,0,1,105132733,2097152,36831232,851968
669661,502134,52885485,127666978,96589234,0,0,105053746,2097152,38535168,851968
673881,505884,52208004,127653267,96869637,0,0,105072805,2097152,36241408,786432
671561,503431,51960144,127704395,96981114,0,0,105142605,2097152,38404096,1441792
668964,500347,52712568,127687405,96801883,0,0,105048885,2097152,37224448,196608
671177,500179,53019406,127611409,96613824,0,0,105176991,2031616,40828928,983040
670999,501455,53165957,127667922,96619703,0,0,105077283,2097152,37617664,1441792
671759,498965,52685905,127681009,96698788,0,0,105047874,2097152,38338560,524288
669221,498307,52518820,127737806,96937890,0,0,105203043,2097152,39911424,1376256
671138,501198,52615434,127741435,96736895,0,0,104986635,2097152,38928384,262144
672696,501603,52545109,127733532,96806029,0,0,105127686,2097152,38010880,1376256
674729,503917,52606792,127720355,96908358,0,0,105129679,2097152,41156608,1703936
673931,501581,51962082,127747937,97038643,0,0,105086780,2097152,38862848,1114112
670089,500827,52103782,127745630,97040816,0,0,105146568,2097152,41156608,655360
668905,501405,52401084,127723217,96998139,0,0,105106886,2097152,34340864,1179648
672189,502424,51877861,127750944,97083585,0,0,105024637,2097152,41025536,589824
673360,503040,51750865,127817565,97161897,0,0,105180701,2097152,39714816,196608
672252,501165,51674085,127790262,97358425,0,0,105009409,2097152,38600704,1441792
672278,501786,51842177,127763430,97183534,0,3,105178306,2097152,36372480,458752
673954,503803,51919059,127809956,97245718,0,0,105025595,2097152,40435712,851968
673493,504745,49617459,117810950,89910840,0,0,105169646,2097152,42401792,655360
674717,502910,51587243,127837399,97453295,0,0,105027691,2097152,36569088,1114112
674533,503807,51743980,127735035,97429016,0,0,105142509,2097152,39321600,720896
673643,501804,51431452,127835818,97413314,0,0,105137092,2031616,38207488,655360
