l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
18033442,17191410,881317487,657681778,423369897,309,0,1027015736,37421056,14805893120,53608448
22889174,20555177,1135758164,837436815,525201201,696,0,105172212,38535168,2243166208,28901376
22857229,20207486,1632744214,837209093,248158766,668,0,105584196,32440320,1969094656,0
24060371,21481020,1704241826,837136622,369009820,1978,0,105338312,38141952,1911947264,37748736
25753376,20569352,1376126444,819484432,355542771,111918,34,105382352,34406400,1940127744,0
27419567,20268160,1701746312,810853731,139328202,255016,0,105369296,32636928,1750663168,10878976
27772431,20547475,1715419442,812136307,139884588,262490,0,105625716,36306944,1750663168,2621440
27889054,20313445,1699465293,809358047,139700140,288178,0,105006392,32243712,1695154176,0
7182961,5650895,476167243,278018074,78706290,10396,0,4717420524,9437184,518520832,0
13281746,13255834,1687085995,1037479354,218832304,157,1,105452154,25493504,725483520,0
35453759,20213643,1526442987,1035435280,353212857,267141,1,105406146,37355520,1736966144,15400960
28888751,18897019,1778455495,1036274073,327010496,127176,1,105365580,34996224,1606090752,0
22488209,17937043,1865701406,906007597,296276355,3282,0,105415119,35389440,1628372992,8060928
13518855,13298138,1104373177,623930298,263429132,124,0,105241977,18415616,1273954304,0
28504676,20106548,1710211301,807021346,142450506,160072,3,105431658,32833536,1825243136,0
27760314,20707640,1718116044,793516047,126254828,225259,0,105367482,37945344,1753481216,3407872
27969909,21082544,1736653563,797379917,125169690,248107,0,105395541,38273024,1796669440,1048576
25402245,19549309,1644719001,795458691,148221074,188287,0,105470739,33685504,1649606656,0
22734560,18748913,1868243765,795344462,105410577,101925,0,105328887,34799616,1560018944,458752
21936111,18357062,1787956838,755213986,95226664,112130,0,105405516,34668544,1496907776,0
21733336,18478128,1815550080,757691208,90935111,98133,0,105494310,35323904,1519976448,2097152
23031926,18477053,1574852981,736460916,126258685,161806,10,105270009,35127296,1554579456,5111808
26133684,20282979,1642186504,744726392,110473679,223388,0,105372294,36503552,1710358528,0
25217996,20075924,1623242266,737879411,107937057,198411,0,105526767,34471936,1643053056,327680
25254418,19829252,1610115649,735321707,111688057,211496,0,105487506,35848192,1664417792,6225920
6726139,5444842,460301582,227582671,40065375,54203,0,105196409,12976128,402587648,0
29263761,18806011,1190621318,698950740,197617476,343774,0,105475777,40501248,1630339072,19070976
22496309,15757787,1363907594,648930927,159953379,120161,0,105526002,33619968,1325989888,0
20800628,15478029,1805066056,717335449,119218129,6298,0,105421878,35258368,1344208896,17235968
19875161,20093753,1608121697,716139394,222156044,13483,0,105406938,34668544,1961295872,0
23196740,19698568,1529689021,679268561,93809088,264926,0,105342495,30932992,1556480000,0
23042425,18973574,1481630001,663745659,92337833,295076,1,105456774,29425664,1529741312,983040
22250178,18864222,1456845528,640522924,80317095,287178,0,105502287,39256064,1504706560,0
22271830,18631113,1439877042,631149895,83703669,235688,1,105365067,27328512,1447428096,0
11967530,10926700,913882044,387912451,61799457,26362,4,105499182,32178176,864681984,6029312
19526928,17423577,1666011328,674546708,67782314,101422,0,105462591,34275328,1393360896,1769472
19621129,17474508,1673602010,677981943,68551507,95590,0,105646311,34209792,1395523584,5111808
19559839,17541632,1672231273,677896860,70666151,90773,0,105335584,33816576,1401028608,0
19519869,17568317,1503927791,651594953,99170790,137156,6,105469027,34537472,1382481920,851968
22072445,19111445,1453741598,619843331,68739931,299042,0,105634040,28114944,1518469120,5177344
21991288,19149646,1458196646,618762525,67353060,271646,0,105482135,34865152,1484652544,262144
21798342,19196270,1452769988,615056382,67960795,278161,0,105509989,31391744,1481506816,4456448
19005072,16293466,1255222953,556181545,70349183,223024,0,105240887,23986176,1277427712,0
9398639,7036552,476285210,264005734,72803904,75081,0,105541350,36044800,631504896,146472960
