l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4733335,5120367,319838365,801231182,652462418,244671,0,1051504712,4653056,2822569984,983040
3905162,3045927,206487348,783605229,663228641,513069,0,105243120,3211264,192217088,0
5183177,4073894,258337390,778900724,635123016,495479,1,105583908,9306112,255852544,12845056
3789872,3060627,220621750,589684471,451418918,436512,0,105301420,3997696,199950336,0
4254153,3840238,264633476,761094714,613583431,286026,0,105389668,7733248,252575744,5767168
5378542,4474467,305233043,743394703,572645981,123856,0,105393188,8716288,300744704,0
6217981,4490320,313060735,758949571,581323673,857458,3,105650388,5767168,292880384,5177344
5881692,4357506,308583708,756414784,576118171,977498,3,105029187,9175040,277676032,7077888
7420417,5233328,363621628,615660318,407976197,1041915,2,104928807,40435712,335740928,0
10190609,7001083,507819901,787169327,507105309,1565534,0,105295551,41877504,463273984,0
10215693,7088051,511635659,799329109,515921063,1503584,0,105730572,41746432,461176832,1507328
9791846,6929977,509676165,792044621,507832562,1490217,0,105340119,41877504,459603968,0
10068318,7115685,522614865,800369321,516165562,1625225,0,105131703,41353216,452395008,6553600
10103766,7169556,518644654,799367791,517182889,1559585,0,105350643,41680896,456458240,786432
9932159,7005530,513634887,802547821,516925623,1440375,0,105317562,41549824,456982528,0
9875725,7044425,520762179,802521722,517067683,1524411,0,105767613,41943040,462487552,0
10061286,7251953,524671674,792946548,510855363,1510760,0,105032952,41943040,456785920,786432
10284231,7100532,513269627,800663298,517746675,1489606,0,105466323,41746432,457637888,2818048
9970695,7000831,512361162,784516053,498853061,1471652,0,105162999,41680896,464650240,0
10062440,7234761,526827778,779264313,493466248,1384359,0,105376143,40697856,462094336,4980736
9837746,7089011,513576000,759053293,477351348,1323307,0,105782055,41615360,461045760,2752512
10009239,7432585,523742061,762747408,478370961,1232914,0,105182088,41615360,465371136,458752
10019957,7074192,516496075,759257222,472324951,1344498,0,105354981,41877504,467664896,0
10149150,7332515,525683626,764379593,478933696,1502092,0,105413412,41877504,465305600,2228224
10529181,7320257,516647060,751566790,471806157,1573594,0,105008586,41680896,467664896,0
10264093,7202578,519133804,775180305,491594126,1597818,0,105307155,41877504,463077376,0
10045485,7434294,534282336,746580835,458976798,1424071,0,105496035,41418752,472776704,5177344
10064350,6976024,514164549,798798588,518794003,1607379,0,105268827,41615360,446365696,65536
9988293,7209847,519497224,758756534,474095768,1425192,0,105493536,41549824,463470592,720896
10423142,7320033,523282427,756001380,471034781,1456926,0,105370860,41746432,469827584,131072
10365249,7204604,517979287,755624761,470444495,1580305,0,105274896,41615360,472121344,1507328
10084388,7223035,522843007,776608749,492532149,1552548,0,106041105,41222144,457834496,0
10113852,7205847,518108147,786968464,501963001,1392035,0,104728617,41484288,463798272,0
9689985,7128834,520409235,777574539,492832917,1478132,0,106001658,41484288,457703424,5898240
10154349,7163734,518556498,803812141,518964667,1556093,0,104746194,41746432,459669504,2490368
9778234,6964659,534456044,774344326,489802321,1441598,0,105787716,41484288,455016448,0
9842061,7165261,517943382,782538639,498574242,1421888,0,105664815,41287680,457965568,851968
10120797,7162135,516045986,758335396,473245972,1369443,0,105216192,41091072,464715776,0
10103232,7324771,527780167,748989448,462417719,1375041,0,104863521,41353216,467140608,2818048
10039497,7400240,522008861,764571760,477101186,1215544,0,105370269,41222144,467927040,0
9965307,7184309,524948467,771394172,481965165,1357401,0,105142845,41353216,469565440,4521984
9969428,7062093,514098401,792505316,512405138,1477814,0,105342930,41418752,453836800,2883584
10016248,7056633,519420819,810975258,528133843,1636450,0,105356052,41418752,455606272,0
10071242,7022737,517135914,807227989,522865080,1648237,0,105462027,40828928,458293248,1703936
10360689,7449540,528093517,752248201,467027997,1453242,0,105208500,41549824,473169920,655360
10071860,7115144,518798613,786781103,505186046,1586211,0,105329781,41222144,453050368,0
9817767,7062417,518095590,811556961,526200606,1420840,0,105252537,41287680,448004096,851968
10164251,7461142,533728526,772406690,485901020,1539835,0,105269703,41287680,473497600,0
9940549,6918220,513523484,799644125,516897696,1535992,0,105385353,41287680,452329472,2555904
10032604,7106974,522411823,791925847,508487140,1529424,0,105326613,41287680,456982528,655360
9892498,7084129,521845569,791076386,504512839,1380385,7,105352326,41353216,460259328,1114112
9926725,6958657,512743882,781227514,500323522,1566705,0,105358725,41353216,449773568,65536
8751939,6470787,475200141,729240431,464028647,1337714,0,105413979,12386304,436862976,0
8236866,6156407,435392135,734845599,493852043,1273870,0,105061251,5242880,383451136,0
6200121,4549592,321670052,751803884,567989989,940059,0,105311376,7602176,304283648,6815744
6365693,4856631,345152280,770700617,579607038,950623,0,105293013,6356992,310444032,655360
6067551,4819775,323287900,719027120,545649384,861448,0,105424503,4849664,283508736,3145728
7212749,5410078,379217613,771877711,559057132,1134101,4,105351174,5177344,346095616,65536
5973948,4329467,305806755,734938641,560542528,907185,0,105365028,9830400,285278208,5963776
6032017,4648837,313259721,739169092,562705298,734661,0,105403410,5308416,296681472,2686976
5027495,3864013,271581369,665966931,512093987,712471,0,105408990,4915200,249430016,1048576
6394745,4696236,328675365,737506575,549095759,947652,0,105313506,2752512,308871168,0
6392549,4734625,352885075,772307570,576835536,977195,0,105395415,6291456,311296000,6488064
6541567,5029849,343544206,710386105,516945884,945419,1,105287889,2424832,318832640,0
7142618,5101399,364380753,804526368,600196042,1253028,0,105376248,7536640,331677696,4784128
5927498,4469799,326511718,715862811,531176648,759746,0,105348465,7602176,298188800,1048576
6535128,4772939,329166517,753672669,566624984,1090922,0,105412932,9961472,309788672,3538944
6118399,4604403,322618596,746782223,563583546,860931,0,105424350,6356992,299171840,0
6707763,5164661,346381666,723671298,528228919,937452,3,105420585,18939904,332726272,5767168
8826031,6432188,451875777,770242396,516425549,1374506,0,105544920,4980736,410451968,0
6904719,5373835,362770065,719462270,519887891,910883,0,105372339,6946816,332660736,4128768
6373321,4790252,350186763,652768727,458366432,768474,0,105327331,5308416,296288256,0
6301264,4601253,306969044,657705969,486585576,1026244,0,105415955,5046272,300023808,6815744
5200225,3786235,275118755,733200454,583006230,782445,0,105527142,5701632,248643584,4849664
6571079,4997222,359351219,741709108,538930062,961366,1,105307008,11337728,313065472,2490368
6025820,4444970,318806326,693686574,512832195,957473,0,105395658,6160384,287506432,1441792
6228919,4677197,332170432,701593115,518866000,857776,0,105361953,7798784,302645248,4718592
6605901,5072091,353132845,668697749,473538822,942981,7,105398046,8519680,321847296,4980736
7761661,5966380,407749133,707292201,484402903,1195759,0,105288267,1376256,363266048,0
6780574,4840334,342736915,701105284,509611347,1028931,24,105355548,9371648,324665344,7208960
