category,swaptions,canneal,MG,streamcluster
runtime,58.825798749923706,80.6683497428894,107.38191819190979,117.98004007339478
l2miss,7503744.063047286,55634630.519217804,114863214.65832028,161642170.3841174
l3miss,17102.206654991245,36164806.56776804,93611645.13302034,128841541.76089771
instructions,26653931179.071804,1724333759.0424814,5572004131.747522,9412982217.358654
cycles,15584646654.535902,7778643320.876602,5758406523.693271,15162479534.889944
stall_cycles,3394277501.190893,6544792985.502359,3123926367.845592,10096750578.713854
intra_coh,5916127.425569177,924977.1679028996,367985.696400626,11148001.19119551
inter_coh,0.19264448336252188,2304.935940660823,801.3249869587899,1.3724643936124297
wall_cycles,2121945517.6882663,2189549143.66824,2311545206.1137195,2117165407.777298
llc_size,51027408.47635727,332648892.67700607,71282108.96191967,753777139.4044023
local_mem,150354.04553415062,2651279870.9642615,3727435381.7840376,8231693262.94346
remote_mem,26398.03852889667,133955937.53202967,4597657055.14867,23455495.623651274
