l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
15369203,14693039,788517830,592770547,367468585,286,0,1087981628,38469632,15232401408,19005440
21379382,20001633,996328931,817844854,567781691,331,0,104853580,38600704,2202664960,32112640
22802892,20165910,1226314524,836099639,367403464,706,0,105376276,37879808,2243100672,0
23144490,20097734,2156748518,829644886,177736937,667,0,105298016,32702464,1556676608,0
21604383,19640481,986250867,777999729,500876472,5396,0,105598456,39321600,2121203712,78053376
27225332,20313187,1502465478,812507443,214660611,178592,9,105345328,32047104,1773010944,0
27869499,20401035,1710676281,809655258,137419113,222127,0,105302132,36831232,1770520576,9895936
27869687,20362053,1704597220,809931370,139543101,214102,0,105296744,36896768,1729101824,0
13760361,10081867,848294051,401935636,68050533,101512,0,4729912655,17039360,807272448,0
11072081,9366336,985019948,544414330,131158587,25911,0,105379923,28114944,803733504,0
13227296,13184909,1681284111,1029459011,211905881,100,0,105438978,25624576,852623360,7995392
32381330,19452498,1504088842,1001092573,362261484,15362,0,105342270,35848192,1814495232,14024704
25828446,15695649,1873462353,955452678,335668205,51540,0,105424035,33423360,1400045568,0
23491720,18157729,1819103761,962121241,337734602,2040,3,105467070,35192832,1766785024,19726336
11442987,11469896,944710148,483088732,178852343,103,1,105180153,16973824,1131741184,0
25530837,18945906,1591177349,725559183,116248985,121046,0,105413832,33292288,1692467200,18350080
27984752,20963376,1738678470,796715932,124941919,147023,0,105387051,36503552,1787625472,5177344
27844654,20754941,1730823476,797009050,124678922,136367,0,105466734,37945344,1792868352,1835008
25257527,19152112,1642360998,789920792,142419100,117353,0,105420444,35979264,1666908160,1048576
22101853,18561544,1829759688,757913008,90395399,66317,0,105464187,32047104,1549664256,2162688
21862025,18518695,1821248745,757205940,88457658,74083,0,105439779,35651584,1508638720,393216
21887936,18577013,1827548129,757258951,87708355,72077,0,105359202,34668544,1518403584,2621440
23591461,18221757,1592252597,733964571,135741475,153707,0,105484758,36569088,1553203200,9568256
25450638,19637518,1596277261,711526911,102128720,220389,0,105324021,35717120,1683292160,5505024
24858204,19580288,1582196663,696809459,95588101,243125,0,105445104,35651584,1611071488,4718592
