l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
710777,194694,91965537,101240833,50301018,0,0,1040165900,32833536,157024256,0
703081,203269,90275162,101656677,51594100,0,0,104562296,25034752,27197440,655360
702713,214012,88565229,101529360,52221003,0,0,105156460,29294592,20840448,196608
709531,209504,88726163,101525098,52049393,0,0,105042327,31391744,17760256,0
700475,201418,90793213,101496956,51270285,0,0,105102990,33226752,20447232,655360
701008,199018,89946997,101534637,51655439,0,0,105022776,33488896,20905984,65536
703163,201010,89529286,101627114,51815099,0,0,105205356,34209792,23396352,0
732024,314614,91901572,126052715,74217631,0,1,104650290,19529728,20578304,0
787996,269453,97911177,125895561,71275937,0,0,105048513,29294592,17694720,65536
710440,221509,89040643,116006700,70300512,0,0,105101028,32636928,30081024,131072
809792,258882,99256080,125993957,70751684,0,0,105102762,33095680,24379392,0
816606,251687,99712386,125926042,70313648,0,0,105090408,33751040,22478848,0
820766,255790,98740606,126114799,70978872,0,0,105183903,25427968,30277632,131072
798743,281043,96109465,126562812,73335692,0,1,105111855,23724032,26673152,196608
800790,282257,95595450,126402364,73580635,0,0,105091212,26804224,20250624,0
811952,275469,96246706,126204810,72881258,0,0,105096480,29360128,19922944,0
815012,270606,96470496,126277344,72720512,0,0,105100197,30736384,26607616,327680
810842,280898,94701341,126342316,73809742,0,0,105105363,27197440,31129600,0
804013,288247,93588345,126698741,74568604,0,0,105049215,22282240,26345472,0
742891,258708,84922196,118492936,72746321,0,0,105171843,26411008,28442624,1441792
755792,260180,86253383,119321393,70953117,0,0,104977863,29687808,23265280,0
817502,277018,93652164,126433803,74096888,0,0,105157239,29425664,17235968,0
824067,277090,93116915,126471702,74475155,0,0,105105963,29491200,22675456,0
820134,289308,91523969,126655025,75419469,0,0,105034245,20905984,31719424,262144
812682,294487,90675632,126569586,76085497,0,0,105163803,24444928,23330816,0
826928,288853,90809930,126593388,75729973,0,0,105108939,27852800,21954560,0
833565,286716,91169275,126564710,75509421,0,0,105017421,28573696,20512768,0
835205,283984,91319996,126622251,75611446,0,0,105096708,29163520,27000832,0
831333,293014,89928502,126746244,76218570,0,0,105092214,22937600,29360128,0
819622,302658,88315090,126912790,77431896,0,0,105092583,23003136,24707072,131072
824327,297468,89102711,126766420,76800515,0,0,105092745,26476544,20709376,0
835493,289971,89449462,126611811,76558883,0,0,105011583,27787264,27131904,0
720384,294835,88881640,126714788,74214319,0,0,105129243,28311552,34144256,393216
