l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5987577,4887589,356549038,831885228,628305092,1037213,0,1109808794,3342336,3173384192,65536
3865885,3040416,224150664,734455078,610131052,621933,0,104848248,3407872,193527808,2031616
4104792,3103587,215704334,747094549,629436958,581104,0,105516920,3407872,189726720,0
7028841,4830620,354157704,776596212,569974837,1234500,0,106025292,10158080,351666176,9895936
4107166,2876969,185636322,582822549,471729451,510554,0,104732732,2686976,175112192,0
5573619,4252828,300454888,742170125,570459140,869825,0,105397380,10158080,288161792,524288
6072285,4553620,317530394,785458439,605879738,887342,0,105599456,5111808,286195712,4915200
6050076,4428397,314340574,785230828,608161495,984655,0,104961004,5177344,279707648,0
8191961,5714305,406150401,778767038,542854130,1277236,0,104965324,41811968,379256832,1769472
10272076,7201062,517123467,747937644,467152422,1451246,0,105368451,41877504,466092032,0
9752488,6987290,509703925,780796717,496947521,1335672,1,105643671,41877504,452591616,3276800
10185458,7172134,520583506,774880332,488926762,1434090,0,105118041,41877504,459276288,2162688
10099884,7256714,523080851,781673438,498767160,1475499,0,105394665,41811968,454098944,0
9855484,7149709,521697788,787728974,500826688,1389887,0,105327339,41615360,454426624,0
9935695,7080635,515931596,778811450,494496964,1401737,0,105641427,41877504,458162176,0
10188667,7324318,517412522,755101872,471897534,1344097,0,105368880,41615360,461701120,1507328
10113753,7308490,524231730,762466464,475542080,1323555,0,105130590,41549824,461242368,0
9822088,7303659,525743816,744297848,460419791,1150389,0,105256626,41811968,463994880,4456448
9977826,7118811,519917829,774795628,491730388,1292260,0,105620589,41811968,461045760,0
9863593,7105519,516580320,806341885,522639575,1504258,0,105399522,41484288,448593920,720896
10001907,7046344,516508208,796335958,512962788,1597361,0,105279756,41811968,454361088,0
10175664,7217939,519153706,743745127,460673271,1486285,0,105331623,41746432,463863808,131072
9955982,7060770,521614052,797038529,512282750,1467843,0,105244341,41811968,450560000,3276800
10337262,7339677,525342274,777782112,491759181,1484557,0,105461175,41746432,456916992,0
10187203,7521676,534925492,754090160,465793633,1287309,0,105195630,41811968,474939392,1179648
9726437,6952079,508412010,782256678,505894515,1522806,0,105604221,41811968,440795136,3866624
10018089,7058714,517475446,807038948,523191813,1550603,0,105227394,41287680,450953216,393216
9943132,7031247,513944872,780255740,498317161,1478215,0,105308325,41287680,447086592,0
9929535,7185661,517649236,779006772,495195640,1310298,0,105260193,41418752,456196096,393216
9990817,7188218,518876772,776617282,491761126,1390138,0,105333471,41484288,453902336,262144
9776786,6915133,508018051,777147626,494289987,1499231,0,105395928,41484288,452722688,0
9908321,7144444,520401768,805509429,518142902,1422641,0,105945819,40894464,445906944,2686976
10277514,7267409,518621190,749929023,468657585,1354341,0,105025413,41025536,463470592,1835008
9677807,7103737,516106580,760420174,474994102,1432298,0,105164154,41353216,456458240,0
10132208,7137576,513814588,773549532,492838485,1330859,0,106131882,40894464,457506816,196608
9559555,7037881,515610690,788480715,502546067,1214432,0,105277326,40894464,449576960,2555904
9958655,7289981,520526595,793857230,508832944,1384901,0,105392502,40632320,448135168,0
10062577,7136443,520664050,779450589,496088881,1434196,0,104841288,40763392,461045760,1048576
9928534,7096149,520342247,767134855,483512658,1463539,0,105453081,41025536,456654848,2162688
10506748,7374384,522455535,757487492,477147185,1502065,0,105308442,40960000,464125952,65536
10051138,7184597,517901373,751489871,467709746,1400045,0,105223941,40697856,460718080,0
10044655,7185547,520738468,781805269,499166418,1531091,0,105213681,41091072,454819840,917504
10063027,7159764,517040543,766126934,483361942,1297549,0,105644043,40632320,457965568,1179648
10051476,7040736,514026012,781598009,497797390,1574448,0,105410511,40435712,454295552,0
10018517,7055440,516825156,793844592,509632798,1510527,0,104860512,40894464,453312512,2752512
10341073,7316391,523221368,746370813,463310378,1440526,0,105359616,40894464,469499904,1572864
9719737,7106998,517097644,778147268,495704974,1331321,0,105348666,40894464,450232320,0
9759610,6940990,508201723,762272530,483828462,1509881,0,105337293,40763392,448659456,0
9409633,6809467,474179030,719037559,452046962,1268653,0,105349521,40501248,430899200,0
9612131,6819382,504443642,782620913,507710744,1534732,0,105321822,34734080,434700288,2359296
9772408,7009706,514227270,805750111,523410358,1458508,0,105342666,35651584,449118208,0
9816185,7250947,520352462,760465959,477697977,1348844,0,105360513,36306944,460062720,589824
9473454,6871395,489583162,757046880,487385004,1382362,0,105377571,5963776,430964736,0
8325338,6244162,449144592,769262992,518345053,1125188,0,105313527,14811136,408879104,1048576
8771935,6328442,449545102,756090116,504571696,1252417,0,105391332,21626880,415105024,0
6341590,4773616,327894787,742919852,559133837,881278,0,105155442,14614528,288292864,0
6658502,4934172,351302957,751383811,553559246,941453,0,105383955,4653056,331022336,2818048
5710661,4130575,284229275,713742932,551219182,932543,1,105342306,5177344,271450112,0
7459230,5731408,409002576,739932647,510127618,1045783,0,105364713,17760256,373751808,0
5852980,4230659,304117859,767657565,595239554,971093,0,105241503,3080192,265027584,0
5329554,3876096,297459493,689137661,521152906,776157,0,105181632,196608,246480896,0
5823906,4602053,307047638,721517035,551377967,724160,0,105401436,4653056,293928960,4194304
6300801,4590774,325494626,776122930,592250330,950027,1,105312477,5832704,296091648,262144
6462750,4721261,340208738,748763827,557758256,1002304,0,105403995,10878976,308609024,0
6467203,4904354,337547636,734108727,543978860,861309,0,105357615,5177344,310378496,0
6627434,5099827,353725351,744922720,544797556,834225,0,105341538,4915200,330366976,917504
6729480,4814195,338587165,784399762,594000427,1100850,0,105407892,6488064,304414720,0
5511598,4297301,328233676,660226401,479886587,720703,3,105285756,655360,272302080,2097152
6913167,5185863,355147059,760159484,561882117,1017137,0,105301875,5242880,337838080,262144
6616129,4922666,342837701,731822534,539390906,895347,0,105337947,7536640,321191936,0
9157832,6404246,463627346,779551434,523184234,1340495,0,105405258,27525120,425263104,1310720
7364643,5139340,367559083,757177866,546870437,1176711,0,105336555,4718592,345309184,0
7535551,5313487,373300998,757483219,550523154,1102265,1,105315783,8323072,348127232,1441792
8309923,6060136,423362891,754880668,520348304,1182671,0,105310005,4390912,384499712,0
5155417,3986261,271650808,733952691,580619282,793719,0,105330429,4063232,255590400,0
6793686,4929864,343445966,764170068,567462618,981175,0,105373014,10289152,319750144,0
6525833,4957591,362858638,757868598,553085196,913295,0,105276309,9568256,327024640,2097152
6888372,5016033,350564463,764494843,565631191,1043982,0,105341964,7995392,324141056,1900544
7330580,5332017,364036799,757393326,553168812,1095747,1,105297579,7143424,341639168,0
8509320,6415954,456241417,759279803,507384349,1182918,0,105304623,22609920,415891456,1769472
7658688,5799205,404774319,762161184,534018367,1075253,0,105337176,7995392,371851264,0
7580668,5549987,389540132,772640772,554536233,1090681,0,105333171,11927552,356515840,1114112
7372292,5493476,380638810,760599973,545217568,972059,0,105129609,2883584,347471872,720896
7732956,5634224,394913092,793011834,575281240,1320762,0,105882231,7536640,362283008,0
7031707,5375851,386134085,778860357,562890065,1013724,1,105046365,7471104,342884352,2293760
7463555,5542642,386879147,770437932,554879219,1136082,0,105267660,11468800,355336192,1310720
6927684,5194053,370098197,767158798,559851423,963060,0,105586134,7405568,338296832,0
6985701,5342732,375173097,767954374,553746133,1048470,0,105199623,8323072,346750976,786432
8059751,5870498,400358171,760627635,542049689,1137458,0,106156395,19464192,373358592,1572864
7684077,5860686,412960087,766699398,533476934,956645,0,104916132,7274496,373489664,0
