l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
112055,40427,234708325,98768543,3172470,0,0,1041850526,28966912,106954752,0
137598,55197,231785857,97530759,3202977,0,0,104310251,27787264,11927552,458752
116485,46733,231387758,97370539,3077235,0,0,105071485,27787264,12845056,0
129388,41868,231750027,97481195,3184058,0,0,105045413,28704768,9961472,524288
104196,38978,231666269,97459827,3255864,0,0,105024153,29032448,12451840,0
101798,38231,231723253,97391606,3188219,0,0,105087717,29556736,10354688,65536
65529,24787,145443669,61449857,2063280,0,0,4733783787,4456448,20709376,0
138424,69598,278327633,120092512,6330691,0,0,104994531,12255232,12386304,0
143128,57429,283128910,120043812,5008116,0,0,105098625,18219008,8978432,0
136149,49414,283921219,119904052,4235872,0,0,105100812,25165824,11730944,262144
132390,47952,283987762,119987938,4338888,0,0,105109884,29884416,13369344,0
146145,54842,283862436,120059070,4462823,0,0,105083310,31981568,10092544,0
164417,62249,280359348,112574782,5230472,0,0,105074493,25690112,27066368,327680
156563,54411,286803460,120739223,3924827,0,0,105063348,23003136,13697024,0
149643,54261,283984471,119977478,4611749,0,0,105069912,24117248,17563648,131072
133556,48722,285083195,119907898,4153574,0,0,105173661,26411008,12058624,0
124190,49091,283874708,119980353,4294236,0,0,105120528,27131904,12124160,131072
133988,47809,285442846,119926177,4032893,0,0,105057012,28704768,15204352,65536
162843,55565,284863434,120211960,4530993,0,0,105011151,21364736,16842752,0
162279,56761,284839936,120026580,4266986,0,0,105125520,22282240,13369344,0
151350,48993,285001325,119856828,4116856,0,0,105083475,23527424,14286848,131072
156336,57664,284121500,119854574,4387901,0,0,105085425,25886720,13697024,131072
144181,55681,284826593,119935139,4245086,0,0,105093453,27197440,18022400,0
135702,52214,283924172,120252090,4607455,0,0,105040005,19988480,15663104,1245184
156205,59486,270742206,114144776,4727672,0,0,105160113,19398656,15138816,0
164417,52204,283134491,120011394,4755692,0,0,105089655,21626880,11075584,0
153903,58224,283088270,120018659,5056733,0,0,105087645,23855104,15335424,327680
129818,48015,283141444,120039099,4772450,0,0,105084324,24838144,13238272,0
160189,56475,282650771,119971615,4784045,0,0,105080358,20840448,12582912,524288
153217,58728,281756112,120429973,5874277,0,0,105133968,18350080,17104896,0
