l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
69014,1507,1586693914,841591903,154184855,26002,0,1064012410,458752,262144,327680
63029,1144,1572170246,836340594,153804966,25961,0,105296290,589824,65536,131072
62031,735,1581434916,840036789,154320705,29678,0,105054510,589824,65536,0
61239,629,1581487711,840088802,154369931,27579,0,105596284,458752,0,65536
58311,834,1580963268,839631822,154250601,24892,0,105080616,524288,65536,0
59699,870,1580796464,839370000,154035910,27567,0,105075696,589824,0,65536
58712,544,1579425050,838907082,154066676,25903,0,105172658,524288,65536,0
59364,942,1581154025,839816759,154350865,26641,0,105232857,524288,0,65536
63299,707,1581170352,839689290,154076603,26323,0,105308115,524288,0,0
64856,680,1580507689,839240497,153898503,27123,0,105221193,589824,0,65536
58443,837,1581118540,839071613,153916663,24265,0,105195984,589824,0,0
63251,1059,1578850295,838611230,154034770,25984,0,105257376,851968,65536,196608
59908,743,1581073048,839436319,153974791,27226,0,105280875,851968,0,0
65101,944,1580842377,839416068,154030273,25259,0,105304674,851968,0,0
57179,647,1581725955,839898716,154173878,27405,0,105290538,851968,0,0
66157,930,1580881101,839114487,153997528,29349,0,105229689,851968,0,0
59609,659,1580588933,839145893,153955812,25409,0,105268083,851968,0,0
58164,639,1580908970,839476629,154017134,24004,0,105280497,851968,0,0
63825,621,1581956569,839873984,154126877,28061,0,105351399,917504,0,65536
59877,683,1580982926,839447468,153977584,26507,0,105206427,917504,0,0
61037,755,1580410035,839063390,153993677,29151,0,105331971,851968,0,0
60774,620,1580703082,839278267,154012638,25127,0,105202992,851968,0,0
64569,653,1581123382,839431674,153967957,29716,0,105279093,851968,0,0
57360,513,1582050308,840063383,154115584,25566,0,105353154,851968,0,0
58735,677,1580884819,839423686,154080974,24619,0,105289353,851968,0,0
59737,560,1581562165,839262038,153886331,26868,0,105209514,917504,65536,0
57957,601,1580684974,839282997,154021305,25696,0,105307188,917504,65536,0
58996,548,1581517097,839863031,154082252,25620,0,105285396,917504,0,0
57695,506,1581500820,839686764,154063051,24543,0,105286884,917504,0,0
