l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
8847413,6859489,486410263,829527596,560200237,805383,0,1079450596,11403264,3939827712,11534336
8305761,6708203,470969637,774296779,513287551,897280,1,104920500,10092544,414711808,7143424
7339338,6486466,454056542,778780118,529031652,305507,0,105163288,11206656,412221440,262144
8800634,6466553,457420304,763289391,507612658,1222087,0,105749448,9240576,423821312,2621440
9286532,6756872,470968839,760375647,506428438,1391070,0,105212046,16121856,427425792,0
6167365,4585354,323810323,728214175,549877354,927432,0,105498478,3276800,271253504,0
4283804,3248003,225313164,718661939,593726095,673032,0,105333964,3211264,200278016,0
4354952,3219269,215853967,773009574,648574091,693810,0,105370084,2162688,192872448,2031616
3868819,2979183,205999048,762137980,642763190,533311,0,105074540,3473408,194117632,0
3501658,2581730,180970574,678580741,575364498,574923,1,105137436,3211264,159645696,0
6293934,4709846,346473421,788559245,599500212,944112,0,106053064,40960000,296812544,2293760
8892641,6677436,482242718,747694172,479875497,1406407,0,105283353,41156608,395837440,196608
9868449,6957915,510949557,805792857,524293314,1530314,0,105424509,41091072,437387264,524288
9770279,7032881,518989531,801981678,518059110,1512523,0,104913990,41091072,435683328,2031616
9993585,7362411,520937687,745657977,464894862,1362904,0,105443796,41091072,444137472,0
10027489,7021544,517470251,795244393,510460711,1453500,0,105429204,40828928,442040320,1048576
10105902,7074937,511109968,791556273,511757882,1557685,0,105379773,41025536,438501376,0
9893914,7194618,516539885,753733279,470744823,1335037,0,105467739,41222144,452526080,2621440
9991333,6988689,514293994,789623494,506300310,1401597,0,105422781,41025536,442368000,1114112
9923259,7045487,512977548,789202511,507395939,1457276,0,105400989,41353216,441909248,1179648
9712591,6911026,509275590,788507010,506322662,1377888,0,105394881,40763392,440401920,0
9134172,6899117,513475422,798052867,515497161,1136519,0,105474177,40894464,434700288,1245184
10419440,7456938,525365346,755225123,472188383,1473232,0,105263211,40960000,451018752,0
9882022,7015045,513793440,778889088,496568898,1421802,0,105397587,40894464,446431232,6488064
9864799,6984279,512960484,808049404,529365253,1574073,0,105442917,41222144,435879936,0
9935513,6883677,509598064,797286312,512979261,1522734,0,105333495,41418752,440860672,1507328
9998895,7203110,518455435,772022978,490403041,1439767,0,105412146,41091072,445120512,1179648
9910576,7002718,511130903,790538006,510722853,1492708,0,105366954,41287680,435617792,131072
10065489,7304613,524374270,789418163,503451721,1438877,0,105319059,41222144,443940864,0
10190971,7117349,516436754,756019341,479114765,1574266,0,105376785,40894464,448331776,5832704
10073704,6980205,503316085,743396695,466071591,1459162,0,105388338,41156608,445054976,0
9971210,7248389,523757753,780470620,500168391,1474148,0,105343968,41287680,441909248,1900544
9628679,6751647,504900325,777413222,495420499,1405615,0,105405978,41091072,438501376,2949120
10031077,7079198,512465241,792709241,511659622,1455935,0,105312903,40960000,433848320,0
10685520,7369481,525773045,759500057,473137882,1515187,0,105417783,41418752,464584704,0
9320296,6735046,496779735,776927465,505652923,1325102,0,105358884,40763392,427425792,6094848
9766160,6954946,512291510,797265250,516101907,1441716,0,105368181,41156608,438239232,0
9960359,7359872,522523449,743263997,464113651,1406574,0,105390663,41156608,441384960,2949120
9791057,6940632,508856718,788738178,506044474,1390427,0,105268032,41025536,441516032,131072
9628076,6910694,504064150,791114643,509758739,1139983,0,105411918,41222144,445251584,0
9933067,6936143,511914999,792410219,508533726,1541942,0,105416919,41222144,442892288,2293760
9831471,6984670,514184055,809576378,528508171,1495270,0,105354540,41091072,440860672,0
10046616,6961586,510379917,796181797,515518647,1600920,0,105407850,41025536,440467456,1769472
10118557,7142990,510801286,715340288,439766964,1504516,0,105474330,40960000,444858368,786432
10013185,7117138,515712084,818227206,533965477,1553898,0,105264285,41222144,437780480,393216
10122873,7092321,514717400,774552871,493535786,1476328,0,105350736,41222144,452853760,0
9743151,6996178,518880606,800913300,518517436,1438890,0,105415467,40697856,437714944,1900544
10208533,7123755,514189456,750919878,470341087,1553028,0,105339294,41222144,447610880,65536
9947806,7016186,512160975,769504820,488093487,1494383,0,105394344,41287680,441974784,0
10058274,7040160,513225005,786342820,506019080,1491255,0,105436461,41222144,442368000,0
10019043,7048194,509451946,778792241,497668390,1401497,0,105391440,41418752,436142080,1310720
10126094,7066179,512726901,786370190,505509047,1569734,0,105442986,41484288,445513728,0
9806222,6917070,512298102,809064113,529203137,1495730,4,105430251,41549824,436994048,393216
