category,bfs,streamcluster,freqmine,MG
runtime,39.1982421875,134.80337572097778,193.01165652275085,376.5262234210968
l2miss,7544033.006802722,141784076.78490567,28249910.434310533,480066894.569951
l3miss,5289997.06122449,113177096.95849058,8711180.808903366,283097535.541644
instructions,5484157970.77551,8244322954.384905,13378564986.574375,28478570334.311375
cycles,2431569638.394558,15178167498.973583,7735202488.0401745,17180084391.01252
stall_cycles,531491917.4421769,10715807872.852829,2146180970.3365908,5462782882.174741
intra_coh,692203.1020408163,9939914.913207548,6957165.456026059,77624.1099618944
inter_coh,0.8979591836734693,23.79622641509434,180.3257328990228,7.416984213391399
wall_cycles,2132021846.4761903,2120194139.4037735,2188996967.62215,2139466138.7969515
llc_size,148334271.56462586,754214007.7886794,279342396.87296414,806092264.8666304
local_mem,490526706.06802726,7244463200.603773,18383523.995656896,325114392.2482308
remote_mem,5701186.176870748,18518742.460377358,457616327.2964169,28394096679.02014
