l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
21873,8579,515929071,224824392,68920291,56,0,1192774219,37683200,13159432192,5242880
21424,8465,520382850,226180619,69377945,28,0,105423705,28835840,1211695104,13303808
21829,8637,515930550,224754023,69159346,38,0,105109508,31391744,1199308800,0
3566159,1653840,472755890,263708233,94057878,279,0,105328500,38469632,1102118912,59834368
21685349,19372558,1355351188,836659739,293178711,305,0,106415760,37945344,2205220864,5898240
22400769,19977979,1394305697,837448570,281451787,313,0,105320520,39124992,2204827648,0
23194992,20638198,1434105430,837678186,270398083,285,0,105196847,39321600,2265841664,3145728
7626623,6784510,473314234,279250550,91128214,131,0,4716395544,22282240,712048640,0
23857958,20213022,1444620942,991374711,426505981,276,0,105678150,37617664,2250506240,0
23382987,19597939,1409289464,1028448496,464287131,251,0,105474108,37355520,2268921856,3276800
23393896,19602214,1406111799,1037407019,474983385,281,0,105485124,38731776,2270035968,5177344
23784088,20588932,1499150526,1064669381,463902193,309,0,109789899,36896768,2340945920,0
22693972,18483611,2194503186,856161436,201267196,338,0,105515355,32768000,1491861504,0
23003293,20142548,2392201073,800852090,137195825,143,0,105393936,31260672,1381629952,3145728
22684551,20087860,2386828975,797537945,135273878,181,0,105513063,29622272,1365311488,2162688
22649667,20091526,2385397639,796880672,136195252,203,0,105396456,32374784,1370619904,4390912
22617262,20011039,2377873456,793428985,134234378,188,0,105536613,36175872,1368391680,655360
22631284,20051765,2379677669,795983787,136231986,172,0,105475158,38600704,1364787200,0
19865767,17792785,1568217228,710566615,295621313,3967,4,105534588,37617664,1554382848,19398656
22093848,19964914,964236088,758911231,527325499,188,0,105661548,40566784,2208432128,9240576
22546592,20061002,982675447,738236513,502379133,187,0,105659586,37683200,2291531776,0
22827510,20735334,999487563,758213494,517576670,191,0,105987273,41746432,2291400704,3866624
22741221,20373318,985926708,758899302,520140419,190,0,105364578,37879808,2265448448,0
22581222,20518062,985932246,731829577,496551323,168,0,105885984,40173568,2252144640,11862016
22610174,20653122,994607507,719129071,479882115,219,0,105668562,38076416,2279866368,0
22613110,20587663,989871541,718797617,480949046,202,0,105728448,41418752,2268266496,0
13787642,13793920,927252903,682647128,295891525,1072,0,105228852,28049408,1119879168,0
9442040,9389764,1202034335,712486275,127339080,82,0,105667179,29032448,617152512,0
9275609,9263125,1182492836,700781186,126167509,21,0,105525051,38666240,590872576,1048576
9063352,9058869,1155376336,679442510,118581670,14,0,105408489,29032448,578945024,1835008
9048712,9052829,1153104852,677676876,118271691,20,0,105278490,27721728,579010560,1572864
8597360,8650652,1102321022,648920953,115799177,19,0,105429984,27721728,553517056,917504
8899851,8889784,1133262332,666941046,116928976,22,0,105244035,27459584,572588032,1179648
8873693,8907574,1134873398,668758419,118859326,17,0,105785148,29163520,566362112,917504
8552385,8558473,1091544243,640400646,110727405,10,0,105172502,27131904,548274176,2162688
8377506,8544822,1088402100,635733475,107802605,63,0,105314011,30081024,536805376,655360
8534845,8532798,1087297744,635655025,107803177,13,0,106575561,27656192,546111488,1048576
8573651,8573890,1091944797,638452773,108804522,21,0,105072324,28246016,546701312,1245184
8586257,8590295,1094044898,642505830,111615777,17,0,105079773,27656192,546570240,720896
8966766,8959475,1140675271,673206758,119448753,8,0,104886078,32899072,571277312,1900544
