l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
8772359,7028961,487266266,805820760,536240087,616836,0,1211906583,3014656,4585816064,19398656
7980066,6408027,464676426,769668194,507433933,875220,0,105391885,12976128,437190656,4784128
8127735,6796602,457310079,757849400,502716659,363093,0,105013684,10092544,428146688,0
8595142,6975712,473547817,770775750,526767552,824706,0,105338988,3604480,398786560,0
4325775,3130625,214529881,787150771,662719436,767600,0,105532592,3932160,201850880,0
4128830,3150972,219067732,775665791,649135915,599229,0,105512560,4259840,196608000,0
3953558,2953735,205964961,747399430,627064598,614210,0,104828214,2621440,181862400,0
8030748,5886358,423147235,765242803,531067666,1148638,0,105591672,41680896,377880576,1441792
9932965,7196569,520961002,777021342,489952247,1464038,0,105485409,41811968,459276288,393216
10470291,7425453,525206724,763150002,477500515,1452060,0,105041157,41746432,463732736,0
10071503,7107061,516564738,794641171,512369025,1587209,0,105257841,41680896,460783616,0
9026673,6152494,467414264,737878778,482866937,1448462,0,106249875,40697856,412680192,6356992
9959114,6939024,509296129,772951334,488619728,1402316,0,104729805,41811968,455671808,0
9911450,7078994,520684194,801097764,514240576,1500945,0,105860508,40960000,454098944,0
10085508,7246369,526519263,805596366,518627141,1499445,0,105259188,40763392,457244672,0
10026473,7077010,514964257,800926039,518082163,1594097,0,104761755,40304640,453378048,0
9754942,7292636,529454379,787727546,500242644,1349621,0,105353496,40697856,451739648,5898240
9949887,7114018,522265309,805304238,519739753,1503554,0,105319686,40304640,453836800,0
9908167,7032847,518144907,790898418,503776604,1432883,0,105337353,40566784,455016448,262144
9974304,7342362,524473090,763013575,474674693,1222934,0,105392862,40435712,466550784,0
9830717,7142008,516730591,772745607,485533065,1259215,0,105343359,39452672,456982528,0
10230255,7119271,523682217,792320725,506470763,1553697,0,105479403,40304640,459145216,0
9824329,7056575,519287345,794551253,511887796,1409303,0,105399342,40370176,448266240,0
10476016,7227616,522388305,784941984,496847489,1686551,0,105340365,40370176,458555392,0
10036411,7161514,525146774,796724509,509415740,1583644,0,105391005,40501248,461832192,0
10065363,7067615,521373344,783613594,498437957,1584424,0,105347085,40370176,456458240,1966080
9908695,6988459,516492569,791767315,506240909,1482392,0,105393387,40370176,450363392,1769472
9887486,7150626,519635995,793652769,508643226,1508977,0,105412860,40370176,452329472,1179648
10149944,6994229,516429621,792153372,507286946,1608274,0,105475239,40370176,453378048,0
10147492,7181323,524877770,804449717,518036606,1578776,0,105446778,40501248,454623232,0
9902314,7117737,523711436,803605437,517720063,1453376,0,105493374,40108032,455868416,0
10428211,7469118,520676912,726340295,442828413,1376786,0,105227379,40501248,468582400,0
10291915,7379682,530070541,779911816,490600464,1536271,0,105371736,40370176,466026496,0
10562408,7639245,542418300,768510180,476627347,1460847,0,105358398,40370176,472973312,0
9725535,6885062,516151096,794980738,512679004,1447826,0,105358392,40370176,450625536,5439488
10017164,7156152,522977867,801479316,516685329,1478805,0,105461802,40501248,452788224,0
9756527,7132032,522068486,802032314,515657076,1434029,0,105395331,40304640,453312512,0
9767233,7158830,519828413,802796108,516616814,1291559,0,105398049,40239104,451411968,131072
9779567,7052068,515601863,798324229,513734765,1310160,0,105375990,40435712,449904640,131072
9865171,7014418,520184201,768750262,481521440,1440897,0,105393174,40108032,457244672,196608
10230682,7273954,528665978,806169268,517568736,1556731,0,105241542,40108032,459800576,0
10436343,7358233,532135264,769801020,482705769,1617172,0,105330342,40370176,469499904,0
10021248,7186753,521010545,752688305,467111177,1440113,0,105399762,40304640,465240064,7012352
10344815,7290195,525052230,753084573,467015680,1504431,0,105411435,40435712,461635584,0
9907726,7141784,523425630,807886952,519699481,1447448,0,105418197,40501248,453181440,0
10455552,7391216,528113019,762646715,473156901,1537224,0,105389055,40566784,473497600,1376256
10064124,7096620,516297650,778501149,495286406,1550884,0,105392199,40370176,449904640,0
10069070,7119524,523348376,794526449,509358791,1559733,0,105414210,40173568,451674112,196608
10031459,7100887,516615763,789450624,502046471,1413842,0,105396264,35127296,458162176,0
10112658,7192939,516998993,799573938,517438795,1602236,0,105345426,34799616,454754304,0
10059621,7146786,517483655,770606198,485797446,1437371,0,105363069,35520512,463142912,0
8313402,6035598,447384357,694461488,460121976,1230969,0,105444063,3145728,374472704,0
4206224,3161165,213118881,784765483,662917865,646455,0,105433794,3866624,199622656,0
3480772,2609845,196127985,681917253,572492370,558588,0,105443256,4063232,169082880,65536
3640699,2802004,184245557,668454185,554513888,492112,0,105398100,3538944,183435264,1179648
4014198,3149642,226711700,732196856,603606571,571698,0,105510849,8454144,204079104,1572864
7862221,5759894,407913727,776844451,548258510,1270255,0,105375849,7798784,366018560,458752
8414080,5827930,404585771,733433466,501478328,1224846,0,105397500,9175040,387842048,1441792
8167189,5997570,417989895,704459968,473575581,943204,0,105320172,8847360,384172032,1048576
8183489,5979448,423267970,791641281,552896234,1239515,0,105389178,8650752,387383296,0
8035654,5758779,408049307,748336961,516861443,1162909,0,105374325,9961472,379322368,0
8085328,6024481,420625723,748649361,516416845,1178853,0,105418977,9109504,381288448,0
5812455,4252630,297213294,702599266,532826715,940263,0,105437475,4063232,274530304,0
3768986,2962526,210120913,752786696,633011835,518187,0,105325554,3342336,181141504,0
3656099,2797817,208378761,729298370,608734654,523037,0,105475389,3145728,182059008,524288
4181883,3055152,209349870,762986087,644495597,707665,0,105335808,4653056,189071360,720896
3754134,2934285,190989595,689912688,577755655,570107,0,105504060,4653056,188612608,0
3768491,2943687,206031941,761964329,644824484,497124,0,105456495,3014656,181993472,0
3724966,2791848,190286696,724050781,613215907,567884,0,105438705,3407872,183435264,589824
3822947,2911230,204596629,746322629,630637184,573472,0,105516057,2555904,181207040,0
8486425,6068941,430438994,781904884,541948777,1322076,0,105283770,13697024,399638528,4063232
8685855,6401595,453136044,742731805,484662446,1030018,0,105422622,14024704,421658624,0
5625123,4301373,317759891,505606827,332270269,935184,1,105386178,12648448,276496384,6356992
9570577,6987442,488531945,813660270,540443324,1498540,0,105341841,13762560,450560000,0
8827364,6367163,463844482,760894683,506830031,1381213,0,105430797,12713984,403439616,4849664
9368304,6865853,477309642,769539424,503858711,1329008,0,105359526,13631488,446693376,0
9109318,6555915,459701714,732251357,481749453,1419929,4,105486705,12320768,409337856,5111808
9172650,6777809,472848898,756975082,493951480,1375473,1,105476081,13434880,436535296,1048576
8996282,6422307,456046710,720676793,469030238,1301720,3,105500658,12713984,413728768,0
9272662,7110785,491232258,768639954,502938083,1379787,10,105474478,14090240,439156736,0
8721607,6417527,467362272,760137087,507260619,1266861,11,105461187,11796480,405274624,0
9698235,7367952,503106650,762071630,485711877,1452268,6,105530421,17760256,471924736,0
8372977,6072591,446547450,711810018,472329334,1334053,4,105520530,9240576,382140416,5636096
9160742,6657980,472203033,795073708,529818939,1250736,0,105536457,15400960,435748864,0
8949931,6360571,456046380,724207403,470623354,1258183,0,105517530,9240576,418643968,2293760
9543650,7056299,497262645,762045209,486657205,1315124,1,105314925,32571392,453443584,0
8703052,6150101,429944710,730950656,492202746,1350728,0,105381807,3932160,389873664,0
7942561,5897221,431258849,765934035,526909967,1161174,0,105494436,9437184,384958464,0
8754200,6180185,444029697,788377999,540928711,1436523,0,105458766,12255232,404684800,1376256
8567088,6288602,442376234,723231875,475582913,1127945,0,105530445,16580608,411238400,0
8418893,6099352,433045863,763799896,523115352,1317577,0,105526011,14548992,380305408,0
8048324,5926200,429647111,755876953,514846060,1157553,0,105440538,15597568,386334720,4915200
8275587,6279263,436804987,744873728,500079351,1067611,0,105538500,16318464,398852096,655360
8713767,6207777,445676908,787564532,539423871,1441991,1,105526584,16384000,403898368,0
8304291,6262334,441606128,745838566,498775708,1230631,0,105239451,10813440,389611520,0
8209182,6110799,440256238,759036199,517780480,1205104,0,105564072,11599872,397148160,7864320
8623570,6401250,442898832,750451709,504130861,1267717,0,105469707,12189696,404946944,0
8727621,6328541,446245740,794035282,545794071,1443743,0,105464364,11599872,404619264,0
8364758,6072886,426483750,721444788,484330858,1247259,0,105313146,4521984,385744896,0
8811692,6324083,450639797,780773328,528495401,1388154,0,105460656,14417920,413728768,3801088
8615551,6195834,436687722,752662852,508690405,1313694,0,105444447,11993088,400949248,0
8686631,6741882,456771835,736482321,488420156,1176278,0,105410751,6881280,405536768,0
7784489,5803500,406337466,728923044,496890674,1219607,0,105336702,7012352,367198208,3604480
8329219,6387045,436189776,695156975,456793037,1257137,6,105441570,11206656,403570688,0
8877576,6765510,463794231,794076860,538175838,1183086,0,105440421,15794176,425328640,2555904
8461884,6312113,443908228,762400649,515946426,1262557,0,105427926,12517376,396034048,0
8440227,6547899,458495816,727258603,479193924,1184296,0,105427224,12779520,401604608,5373952
9005685,6826238,464046872,753822388,500042690,1422363,0,105430218,14286848,423559168,786432
8476535,6447229,448696480,759178657,508208414,1201003,0,105441558,13762560,407044096,0
8397326,6253322,440475254,720158935,478572897,1187231,0,105553167,11206656,395378688,3997696
9112596,6742038,471133881,793776337,534994139,1427872,0,105483441,14090240,425590784,1966080
8364243,6401172,447485224,760208509,513478714,1133362,0,105433527,14417920,404553728,0
9173000,6406963,456190506,766121415,512970751,1590951,0,105450810,13631488,417529856,0
8641939,6046262,444960963,752948399,508143561,1479341,0,105494874,11010048,389742592,2621440
9326650,6881364,464148211,771537385,519868119,1456699,0,105536445,15532032,425066496,2621440
9144542,6629538,452755139,740769366,496866733,1410608,0,105415965,13500416,411435008,0
9090822,6679451,466563130,743098661,490719866,1368382,0,105478368,14221312,423034880,2293760
9068508,6684918,456976723,750676861,501305815,1464901,0,105456471,15204352,414384128,65536
8988122,6325001,453067238,781477430,531603416,1580245,0,105290970,10092544,395575296,0
8840481,6297193,453907000,762529179,513594825,1499301,0,105430671,15794176,413007872,3538944
9347096,6583643,462877029,773760550,520342443,1607037,0,105387987,14221312,418709504,0
8956688,6371086,455473685,706766888,462041674,1411136,0,105397719,9830400,403243008,262144
9102201,6515695,466135266,792973457,536662089,1495614,0,105536997,14680064,417333248,524288
9252052,6662272,467258361,765962702,509681579,1472001,1,105324759,10878976,411959296,0
9424333,6798915,474659023,742619855,483233918,1483629,0,105422175,19529728,444268544,6160384
8922402,6548168,459044549,737749035,488570101,1580417,0,105452361,16646144,410386432,0
9128068,6538526,466537062,732935269,480738274,1587206,0,105473103,14090240,414253056,4259840
9423347,6522327,467702408,788836561,530431487,1690488,0,105429129,18087936,423100416,1310720
9283210,6665702,480122230,761704230,499250986,1612676,0,105462147,18415616,423034880,4718592
9603465,7039813,490372849,766264480,503487939,1585105,0,105446487,19267584,440598528,0
9317168,6589797,466891053,728204532,476641759,1558521,0,105400989,15990784,414253056,2686976
10191624,7326061,499650554,758450712,487795541,1648373,0,105529047,19857408,458031104,0
6077971,4364409,352751937,532660546,347934013,977875,1,105407268,16842752,284491776,11010048
10069194,7220019,502846338,797928741,526469191,1701953,0,105350574,13762560,446889984,0
9481465,6696378,474664328,737942643,476792754,1523788,0,105436770,20774912,448462848,10878976
9206309,6486412,462676998,750977068,496064135,1531420,0,105477042,16252928,409206784,0
9489454,6789990,481979114,755822421,491980960,1496311,1,105608427,18743296,445841408,5963776
9253224,6548975,467424635,769246274,511800594,1554649,0,105294159,15663104,409403392,0
9938021,6964404,491138798,757291493,490385879,1629855,0,105500100,21168128,461635584,5111808
9221098,6531880,467790793,746733703,490800601,1503348,0,105346080,13303808,412549120,0
8683116,6165161,437354714,725671418,474270384,1505006,0,105528951,24379392,404619264,3670016
9857018,6959735,491720379,733456663,464414184,1597566,0,105394524,37552128,435224576,0
10137263,7154625,516836582,772340535,491519519,1585369,0,105410985,36503552,458293248,1441792
10286778,7318993,519546715,746727200,465259517,1561243,0,105445956,37683200,465108992,786432
9917362,6865068,509288895,793227577,516841268,1660050,0,105456300,40763392,439549952,0
10152970,6953900,512064724,759513934,483175457,1791839,0,105484137,40960000,443416576,0
10080518,7022396,513875246,746492080,471477729,1723500,0,105394710,40763392,445382656,0
9965800,6872768,506561901,757914835,480463232,1686091,0,105477042,40960000,444923904,786432
10147207,6964361,516295288,765455298,485783651,1698801,0,105523218,41091072,451215360,1310720
9870203,6776793,500209248,765450722,495003775,1675864,0,105441906,41025536,426442752,0
10116776,6968439,508037826,763824622,486617481,1769779,0,105421674,40697856,446496768,0
10507897,7241351,527320271,764037027,481663386,1718476,0,105407031,38666240,468779008,0
9512139,6650149,490515698,735574602,468853703,1588202,0,105428061,36831232,415563776,4521984
10211472,7070676,503290411,713905724,442819472,1539416,0,105578994,41353216,451608576,0
10147906,6991783,503758961,757745317,486411715,1687835,0,105468006,41418752,447414272,0
9904935,6951990,508566907,772878732,497120400,1536411,0,105525849,41025536,436731904,4259840
10254491,7164781,511858319,722636219,445223648,1569315,0,105471993,41222144,460455936,1769472
9717108,6684718,501079345,730944382,459981944,1591179,0,105481371,35979264,435093504,0
10417041,7405759,523332223,757209561,474828134,1691637,0,105542439,41549824,467533824,0
9469709,6565464,491461610,756108102,490533630,1617029,0,105471435,40566784,420020224,6225920
9888730,6878246,507231456,768221253,491888445,1690752,0,105473886,41418752,437452800,327680
10116404,7033539,506368788,752015131,477456509,1654566,0,105297540,40960000,445448192,0
10095204,6756443,500269131,767436340,494801226,1674451,0,105509304,37421056,449183744,2621440
9879668,6918628,500730069,716268287,446249886,1524647,0,105477549,40828928,440991744,0
9813576,6780425,504943595,785660876,512229577,1666917,0,105424254,41549824,434176000,0
9533681,6773476,503811802,775456991,496815365,1184984,0,105516099,41615360,446103552,1507328
7942748,6879522,505773815,765409559,496884084,28370,0,105467880,41549824,434307072,0
8016705,6850617,499402274,740560579,470019946,31795,0,105495087,35979264,444137472,0
8011278,6620016,517919684,783317474,504829279,22158,0,105488007,33685504,416874496,0
8926387,7128011,548593461,743411563,453385857,36208,0,105340014,32112640,441712640,0
8729392,6813735,534190713,752687664,467949358,34193,0,105522792,31850496,441843712,0
8128459,6498569,518807792,746075050,469262841,28990,0,105498576,31457280,417660928,5832704
8517272,6711796,525955431,749570544,469054693,31847,0,105548391,29753344,427753472,1114112
8272992,6794757,519182521,753981690,475052581,30075,0,105483693,28442624,433717248,0
8262173,6847649,522320948,765089182,487625828,27544,0,105462861,28246016,441647104,65536
7793945,6893459,492474266,724192290,462469242,44113,0,105524277,28246016,423362560,0
7968430,6609083,506442175,746127328,471916563,32188,1,105476070,28246016,435683328,3670016
8371945,6877219,521749644,772821626,493366000,27976,0,105493032,28180480,446955520,1507328
8478651,7141208,517711839,745325333,472620112,32183,0,105490320,28901376,449380352,0
8400247,7356921,535201736,772042108,485585632,29171,0,105214644,28901376,455409664,0
8320285,6641697,493655754,713197315,443870007,35462,0,105557988,28901376,462815232,4194304
7896630,6888436,512649581,764206034,491819833,26623,0,105494880,28901376,424214528,1769472
8363649,7050691,516008871,739550472,467936864,31259,0,105565437,28311552,442236928,0
8112762,6941088,509443308,754259325,480675112,34556,1,105369636,29032448,445317120,0
8710257,7416198,522996456,755097708,475277346,30098,0,105432789,29294592,466288640,0
7703072,6828388,501738280,733677616,467290904,32246,0,105468996,29294592,440336384,5832704
