l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
628748,236129,83639426,101366290,53529770,0,0,1097311309,13500416,180420608,1179648
623847,246827,81849837,101707670,54767978,0,0,104885842,16842752,21102592,0
649651,227077,84425075,101696241,53349736,0,0,105101267,23986176,16777216,262144
654432,230259,83713052,101695095,53639137,0,0,105131348,19791872,23265280,327680
666797,222548,84046761,101590533,53458141,0,0,105121204,24838144,17301504,0
672863,222505,83729396,101791498,53630657,0,0,105147956,22347776,18546688,1310720
668380,227694,82568542,101579257,54051102,0,0,105172666,21495808,21692416,0
180310,68776,21432538,27476044,15034827,0,0,4682358382,983040,21495808,0
979167,451594,88558814,126062004,74642220,0,1,104805195,19333120,21233664,0
1044168,354666,96996528,126223529,71732081,0,0,105101961,21757952,26083328,262144
1045294,339303,98138482,125483551,69607163,0,0,105084351,29425664,27787264,0
1059945,340874,97876686,126037433,69906753,0,0,105136449,22872064,28311552,131072
925168,293181,82918260,113144537,66513615,0,0,105151248,29032448,39845888,0
1049995,342053,97027573,125536005,70527185,0,0,105043938,15204352,31916032,0
1000410,377449,87698260,115814152,64876848,0,0,105233945,20512768,31195136,0
854125,321985,77598300,97020620,52849021,0,0,105096172,18087936,26607616,655360
851094,341784,76656088,97033474,53565293,0,0,104992914,19595264,26542080,0
871307,314078,77968204,96887539,52576186,0,0,105256658,23330816,26411008,196608
871973,323381,78316224,97093587,52888801,0,0,105089080,22282240,27394048,0
880085,305658,79304017,96994946,52182998,0,0,105050319,27721728,18153472,131072
876364,329034,77461048,97208713,53484645,0,0,105119694,15859712,31391744,0
848540,324397,74426129,93590147,51570741,0,0,105209553,19726336,22740992,262144
799692,256581,62239985,81431008,45080010,0,0,105154695,17104896,36831232,0
846488,330799,73723000,92316183,50506430,0,0,105011493,25034752,21102592,0
854802,309523,74835231,92215529,49824686,0,0,105108607,21757952,23789568,131072
859336,307563,75007114,92229410,49924179,0,0,105215696,26804224,23527424,65536
862726,311195,74906805,92332759,49811348,0,0,105113376,17301504,28835840,327680
840525,339696,72316721,92134495,51434937,0,0,105111447,18022400,26738688,0
815119,319132,69483065,87494897,48085856,0,0,105138176,16187392,25296896,655360
813037,339601,68598246,87621317,48588446,0,0,105172880,18415616,24510464,0
834538,311128,70545292,87465136,47584655,0,0,105041444,25100288,20381696,0
839440,317650,70163408,87641108,47901808,0,0,105094164,24313856,23592960,131072
846977,304383,70725799,87437849,47423637,0,0,105103116,27197440,20840448,131072
835817,315406,69637683,87491628,48114207,0,0,105145026,15532032,29949952,0
818124,324426,67300142,85356317,47383181,0,0,105082068,19464192,24969216,196608
687963,286087,56988859,74894880,45965201,0,0,105248041,18022400,36110336,131072
810933,307572,66843272,82683115,45028840,0,0,104967680,25034752,20578304,0
819439,298256,67161171,82797778,44766284,0,0,105277052,20971520,23068672,393216
816275,303514,66803370,82660358,44668877,0,0,104922496,25952256,21757952,0
811352,319664,65490281,82810608,45564373,0,0,105270691,11796480,29753344,65536
831720,343624,67566811,86968920,48696004,0,0,105155972,18087936,21692416,0
853514,328443,68586973,87665778,48801404,0,0,104938323,20512768,21692416,65536
852776,330441,68377562,87789251,48875467,0,0,105091983,24772608,24772608,0
860977,312594,69267227,87545390,48099017,0,0,105169236,28573696,26017792,65536
854147,333387,68158938,87801225,49010297,0,0,105246670,18677760,29294592,0
843881,331931,66968200,86531325,48878283,0,0,104991896,20512768,24576000,196608
814848,340030,64512453,82940325,46498885,0,0,105201975,17367040,26411008,0
718265,321589,65101597,80257686,40551373,0,0,105124407,30081024,31457280,131072
