category,bodytrack,streamcluster,freqmine,MG
runtime,28.778679609298706,137.55156898498535,193.66185665130615,369.83661794662476
l2miss,69564832.25688073,139177486.7980662,26672388.687856562,490307107.0109677
l3miss,2145246.4220183487,111203593.4399405,8155230.182015756,288112016.4736915
instructions,28390049401.79817,8109908794.228338,13391100051.524044,29049424087.313618
cycles,12579471717.908257,15180977370.613611,7591051609.633251,17660749275.654587
stall_cycles,1252443061.5412846,10791269061.732986,2003768876.414018,5677522234.294044
intra_coh,6919855.889908257,9585385.265898105,6630362.776419451,465294.5245036791
inter_coh,0.25688073394495414,60.29007065823726,292.8063026351535,11.436901291128695
wall_cycles,2144702249.5045872,2119720541.2867236,2163740142.0211897,2138977469.7042897
llc_size,446594771.3761468,766372475.9538863,274441836.63135016,777910227.3608218
local_mem,112346741.43119267,7174625375.202677,72877954.81662592,323003770.2957101
remote_mem,2025002.2752293576,20556223.071773894,520798087.82396084,28951745643.04873
