l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
124009,44795,230554310,97429930,3585045,0,0,1135954194,19070976,121372672,0
99467,38758,231119866,97543978,3401020,0,0,104787834,17235968,11534336,196608
119910,42488,230705584,97460814,3583020,0,0,105052047,18874368,7667712,0
105639,47676,230722843,97412872,3547943,0,0,105100854,17760256,10551296,589824
114965,42169,231370459,97412496,3427072,0,0,105090891,19267584,9437184,524288
109187,40028,230737804,97366957,3437829,0,0,105238940,20185088,9764864,0
112526,43909,230390829,97503756,3649525,0,0,104999392,16842752,11337728,0
120267,53414,230867369,97518929,3516539,0,0,105090237,19726336,10944512,720896
119359,40782,230649339,97482518,3769233,0,0,105141390,17891328,14352384,0
139075,63930,274460715,120139073,8113915,0,0,104730195,6881280,8323072,0
131074,50231,282208523,120193677,5350461,0,0,105080229,12845056,10158080,0
166576,65255,285524227,121469972,5943237,0,0,105164457,14811136,13172736,0
249757,61474,286367515,120944946,4647326,0,0,105019074,22151168,22544384,196608
147523,52862,287189806,121666901,4081276,0,0,105075960,20119552,14024704,393216
136982,55586,283565656,120117937,4737069,0,0,105085566,15269888,15400960,0
131222,51481,284081132,120309151,4937393,0,0,105199367,11206656,14614528,65536
136916,57081,282240594,120396426,5840509,0,0,104995294,12648448,12189696,393216
157025,71482,283499931,120639866,5097724,0,0,105163560,15204352,14745600,0
152808,63989,281796419,119162065,5481729,0,0,105046338,14548992,13893632,0
138393,60381,283924327,119922140,4703726,0,0,105055350,15073280,14876672,917504
161073,58963,282766401,120276197,5384719,0,0,105066945,8585216,14614528,0
158516,62212,281604325,120041494,5678074,0,0,105132843,12058624,12713984,327680
140199,58248,292501557,124155652,5663770,0,0,105092658,14942208,15532032,0
136192,53545,282099218,116591759,5271710,0,0,105057255,17170432,17694720,0
148269,57575,284772117,121267779,5310771,0,0,105149850,17563648,14942208,196608
172334,69619,280548926,120276220,5871515,0,0,105073503,11075584,17629184,131072
151800,69168,278097169,120400966,6244118,0,0,105038772,9371648,14221312,0
137109,52582,280589562,120217312,5807356,0,0,105069033,12976128,14811136,0
162380,67045,279710741,120753423,6004223,0,0,105158118,15466496,13697024,0
153627,63583,281542410,120214808,5637191,0,0,105011640,16252928,13959168,131072
307623,147330,217291027,105492022,15628127,0,0,105130590,13172736,42860544,65536
1751731,466192,311072032,262290105,102083913,9838,0,105317910,17104896,61865984,2555904
5532895,2683128,1003218116,989144002,347374356,10884,0,105232427,19726336,198639616,0
5899852,6233771,541069078,643193535,271687301,7328,0,105398238,20316160,720699392,13369344
6683552,6053650,398941366,749890924,565736066,31660,1,105258940,20447232,821690368,0
4897410,4991415,311048446,647078141,515999181,2118,0,104960082,12058624,372310016,0
2636700,1604329,382832317,389280577,228079835,274493,0,105287516,16646144,119144448,2490368
10217428,3646963,1476278513,1009322475,515767547,1118789,0,105257086,17563648,213581824,0
10391543,3711593,1540581844,1025811068,519110543,1830864,0,105225044,18350080,212336640,327680
10510672,3682822,1550418467,1035708205,533563239,1869162,0,105231248,18153472,224788480,0
10266652,3622069,1484830993,1030283636,537812162,1743549,0,105273920,18415616,225247232,720896
10375528,3658109,1459415194,1030018406,542201150,1612278,0,105191080,17563648,232062976,0
9998044,3488149,1458008111,1031635907,548724969,1784441,0,105234348,19726336,224002048,65536
10023793,3482163,1456455006,1031439252,508088686,650784,0,105177200,20119552,212926464,3342336
9302919,3634133,1419409829,1033545531,519058823,564269,0,105311604,20119552,212729856,0
8740554,3512214,1387277084,1031628577,512899533,503561,0,105239048,19726336,213909504,327680
7843459,3632348,1345657100,1034722805,518217174,253688,0,105129148,16777216,220790784,131072
7884734,3548483,1348354596,1032497172,532580130,210148,0,105290158,19726336,222756864,0
7434158,3565602,1285247946,1028870373,524865118,184297,0,105207524,19005440,244383744,0
7406539,3727817,1219358480,1033421702,525704219,134776,0,105267794,19267584,200867840,65536
