l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
21862925,19533710,1355646756,840288035,301574538,343,1,1134437904,38993920,13172801536,47906816
21774101,19443328,1358248999,836474753,294934584,220,0,104992484,38076416,2173108224,0
22414643,20283616,1395570375,837027229,282313547,303,0,105399216,38141952,2214264832,6422528
22186611,19679453,1382070172,838741577,285829108,315,0,105915724,38404096,2237792256,0
22749289,20029541,1388320054,837592909,279864816,252,0,105150534,38141952,2217345024,22675456
22342920,19803871,1380872907,834080183,277266923,276,0,105172283,37093376,2180841472,0
20988904,18897226,1311310406,787075253,264302373,276,0,4729158390,27590656,2052718592,0
25382087,21080695,2030842253,1026893375,340846120,489,1,105111232,34734080,1833172992,0
27407095,23222698,2813908439,1037017626,238066036,232,0,105408903,34799616,1616904192,0
27382667,23267406,2823261002,1036108791,233285091,246,0,105302388,33488896,1621229568,0
26726632,22588723,2763901893,1016499834,229900603,261,0,105301719,34144256,1602879488,0
27073341,22973950,2783436378,1014304699,229155586,235,0,105422370,32636928,1593573376,0
23179220,19270203,2258780241,807695124,164756322,324,0,105305160,16384000,1294794752,0
19340985,17415977,898132972,715041292,495706301,5718,6,105539676,38076416,1969553408,22282240
21730350,19455119,937076674,797607668,572022054,197,0,105448683,37748736,2154823680,0
22644419,20651721,1001669518,797200341,554657974,236,0,105501732,38404096,2290089984,6225920
22965906,20414812,985554498,772789752,537052694,255,0,105529557,38273024,2290024448,0
22736538,20935051,1001339834,767818101,531030602,154,0,105564015,41549824,2279079936,786432
22546534,20709449,1000720116,758503042,518394424,190,0,105581400,38797312,2273574912,5963776
22710559,20617740,988330768,757371870,518217512,241,0,105490743,38010880,2268790784,0
21014511,18571771,833274156,719073991,501254925,304,5,105450234,33161216,1998127104,0
10215550,9982304,1252919739,757832375,172451189,979,0,105277128,31916032,707854336,0
9673319,9669691,1235601778,733906474,134188029,16,0,105370644,26738688,618201088,0
9546063,9555755,1218019935,718583035,128822025,17,0,105343563,32243712,609550336,0
9544696,9530265,1215417347,717863992,128669242,17,0,105297003,28966912,611909632,3932160
9566204,9568761,1219215881,715664172,127595358,25,0,105466437,29491200,613089280,65536
9497070,9536351,1215800794,719053581,128826682,81,0,105362889,29949952,611188736,1441792
9280988,9270991,1185923228,701448449,125177954,18,0,105447849,28180480,596705280,655360
9068447,9065205,1155204769,678286557,117560504,18,0,105329235,29818880,577372160,524288
9071732,9071204,1155668183,678379904,117924578,19,0,105325068,26476544,578682880,0
8955639,8916791,1140543272,672508662,117953222,43,0,105426429,31326208,583073792,0
9082234,9073486,1156020708,678944122,117776543,25,0,105506277,41091072,584056832,16908288
9112942,9089104,1158230353,679022585,117072237,12,0,105427170,27656192,583401472,0
8848391,8916646,1135823617,665242999,114678694,20,6,105545010,26476544,566165504,0
8582170,8610244,1091126137,629494765,106540002,68,0,105204135,26279936,545521664,0
6602511,6748569,829792035,484535403,92363803,2033,0,105419259,29163520,449708032,9306112
12924123,11406809,995999839,448834643,60692165,32852,0,105390714,29753344,1016201216,0
13742372,11845235,1034895023,457506477,57616691,32791,0,105423705,31260672,1065287680,5570560
13630468,11681746,1018344318,449759077,56077834,35874,6,105429810,30081024,1057357824,1048576
13461301,11619280,1008178232,445286561,54276036,44638,0,105565776,31981568,1068957696,5963776
12839894,11344753,986907265,433473902,52145084,43848,0,105317136,23199744,985268224,0
12647232,11262584,963314569,425560193,52489293,38866,0,105403956,27197440,982056960,0
12694457,11377958,982565081,431688342,53217671,46396,0,105442542,23265280,990117888,655360
12750585,11285045,975805051,430407844,52906748,42509,0,105854376,28770304,990642176,1376256
12735449,11333158,980458813,431771106,51857068,43599,0,105162459,36634624,1055195136,7995392
12570853,11399450,988513190,432726718,52093578,53105,0,105845235,34144256,1016528896,10420224
12276852,11461432,986986557,429798300,50995076,62189,0,105741608,32243712,1017184256,44630016
11772193,10950083,934295215,407237313,47878050,55862,1,104668333,28835840,992804864,0
11547260,10792323,925203468,404206561,47956092,66874,0,105352708,31129600,975437824,0
11430801,10713390,922904806,405212235,48242284,58549,1,105509385,28442624,975765504,0
11405698,10796722,931226835,406006590,48023029,72649,0,105845004,28442624,948305920,1441792
11415662,10671216,920168085,401347451,47081856,65235,0,105495673,34078720,961937408,0
11538869,10911548,932865403,405319401,47602491,65194,0,105209388,33947648,977010688,2490368
11491357,10848177,927527364,403668594,47308065,63567,1,105330506,33947648,918355968,3407872
11135810,10526130,902176302,393047562,45197830,68399,4,105823680,33161216,942080000,0
10682394,10318516,878627327,378888409,42539733,47848,0,105517491,27000832,893386752,7077888
10610378,10266645,870975127,374986698,42184930,57620,3,105804912,28966912,886571008,0
10781053,10337692,877296478,377849041,42307516,64637,3,104691984,29229056,898105344,12320768
10801333,10282602,871804805,376858538,42292118,64043,3,105819804,29360128,909574144,0
10624712,10132538,864796323,374952693,42310733,68024,0,105087144,33816576,884867072,4390912
10638752,10320644,876664460,378029910,42594996,53622,0,105330332,32112640,908591104,262144
10523941,10277634,870301633,372650239,41142946,57419,1,105677420,28049408,886636544,0
10115831,9778170,822114891,352115612,38371909,58019,0,105472224,29949952,844103680,8585216
9937989,9652727,813488762,349953244,38149789,64088,0,105435443,27721728,832045056,0
9898691,9657457,816977461,350919430,37946125,63221,0,105704209,30015488,848822272,3407872
9877024,9696810,818032906,350819904,38042599,61066,3,105328748,27459584,840630272,0
9875301,9672437,814406832,347670442,37563241,51444,0,105487452,29294592,835780608,0
9916705,9709593,816153577,349566094,38151228,54993,0,105442912,26804224,842399744,786432
9941113,9635559,812551199,349755285,38268030,65244,0,105399908,29360128,840105984,4194304
9947881,9707491,818940524,350954119,37528534,54454,0,105492492,28508160,851705856,0
9879735,9707865,818862244,350746996,37980951,52617,0,105441824,29949952,842072064,0
9743684,9389218,797991957,343344404,37369468,62765,0,105410396,29229056,835125248,1835008
9977530,9707649,817660952,350627137,38204461,58686,3,105516424,34406400,839909376,0
9961642,9698855,817070047,350853132,38350948,51679,0,105589788,34668544,848297984,0
8941810,8851292,745139065,316662052,33148269,25700,0,105781029,26345472,776798208,2883584
8771551,8604131,725891851,309728514,32626863,39209,1,105299243,26738688,744226816,0
8747750,8713309,732222264,310441252,32622024,19153,0,106051155,27918336,761856000,1179648
8744971,8615297,726056850,309861746,32708848,23366,0,105327075,25690112,752025600,524288
8943674,8791099,740919391,315858076,33278889,25059,1,107523204,25821184,756482048,0
8758794,8591603,724795033,308891770,32739891,23380,0,105662466,33292288,759889920,12648448
8959099,8775829,741158706,316932323,34022628,32309,0,105764185,28246016,773783552,131072
9716025,9544652,803296661,344128812,37112308,51665,0,105325207,27590656,823984128,0
9887533,9590667,810664616,348359712,38547789,48519,0,105441930,25559040,834797568,0
9844507,9654115,814215575,350452775,38934069,60791,0,105275462,32768000,830668800,3145728
9921749,9713951,817374826,350747682,38346908,68983,0,105722443,28639232,845414400,720896
9790917,9597378,811037910,349819330,39208736,54429,0,105407999,33161216,835584000,3473408
9267185,9116165,770741644,330701383,36214047,43359,0,105602841,25165824,795541504,0
8702578,8638595,727443301,310511588,33256481,34254,0,105540621,27918336,745603072,3735552
8742716,8642907,726699754,309622302,33512752,23497,0,105578427,27656192,749207552,0
8818764,8647778,727476198,310176352,32822452,30390,0,105481341,26214400,745799680,0
5183951,5299649,457461243,214812063,32228013,1631,0,105153462,19791872,449511424,0
3385958,3344676,280966840,125033581,16231239,1306,0,105451218,16252928,292093952,1376256
3390092,3357018,281352641,125015100,16139005,1662,0,105580491,18874368,292093952,0
3204387,3069596,263809511,118909332,15392837,1476,0,105306210,16711680,286195712,1441792
3395647,3366670,281881597,125168674,15936012,2127,0,105261783,20250624,292945920,0
3376902,3346671,280934665,124875914,16155220,3273,0,105178566,16580608,292159488,196608
3614256,3613186,302595415,134868773,17519937,2126,0,122698374,16384000,349110272,10878976
3394267,3359507,281710731,124861328,15998519,2411,0,97114177,16973824,264896512,0
3374235,3347105,280656595,124983085,16225333,1398,0,105597793,12517376,290258944,0
3263901,3169437,269939434,120891992,15734028,1113,0,105687204,16580608,290586624,0
2573333,2714955,227553676,101143283,13407947,1750,0,105631813,12255232,223477760,65536
2258653,2249836,188636277,83777600,10721470,1609,0,105520975,11206656,198049792,0
2251135,2248907,188300129,83647417,10748659,1300,0,105762419,13369344,194707456,1441792
2265052,2247418,184478008,79846216,10302555,1128,0,105297591,11206656,192544768,0
2329873,2295953,193422001,85171831,10367222,1904,0,105464478,13172736,201916416,1900544
1841360,1975881,167290705,70504444,6778272,956,1,104953856,10682368,155058176,0
3386327,4432714,231875881,253122707,127201357,286,0,105551264,18874368,368508928,7274496
4895852,4895760,623656938,359127127,56769558,58,0,105700672,23658496,313655296,1572864
4721181,4695140,604437563,350379526,56583568,48,0,105571683,21168128,310575104,0
4892444,4894239,623079601,358605255,56667563,16,0,105894656,21561344,312213504,8126464
4852820,4842878,616974206,355884151,57220326,14,0,105539980,19529728,309395456,0
4635252,4628469,588000870,339918694,54582760,18,1,104772729,18087936,294256640,1835008
