l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
110679,3688,1578167404,839190913,154072236,38005,0,1118829576,851968,1114112,196608
104019,1139,1582142416,839995567,154103248,40792,0,104970976,589824,0,65536
99522,886,1581787918,839611759,154057653,38202,0,105513548,524288,65536,0
90533,936,1582616691,840203950,154081884,36475,0,105138832,524288,0,65536
97815,857,1578520406,838419302,153849942,38129,0,104918156,458752,65536,0
99509,882,1580408994,839314188,154051667,38570,0,105651292,524288,0,65536
91665,986,1581383778,839421938,153945566,37692,0,104836235,589824,131072,131072
94526,1078,1580085726,839054244,154214705,42101,0,105286179,786432,262144,0
96525,1154,1580043710,839123070,153951588,39404,0,105212943,851968,65536,0
93142,895,1581600720,839647323,153995344,40520,0,105334443,786432,0,0
102025,858,1581048923,839134037,153863296,38924,0,105154086,655360,0,0
111536,760,1580917812,839210998,153901101,43486,0,105250443,655360,0,0
96100,672,1581102636,839480114,153966234,42268,0,105289302,655360,0,0
91203,858,1581345674,839573466,153907882,32444,0,105267183,655360,0,0
97402,672,1582729907,839787365,153899120,36459,0,105295923,655360,0,0
76614,597,1581165250,839149875,153806465,38468,0,105193842,655360,0,0
89161,693,1580560771,839137792,153905111,36269,0,105252201,851968,65536,131072
98587,887,1580687839,838913154,153802179,38703,0,105214725,851968,0,0
103241,614,1581947279,839898731,154034122,41836,0,105313395,917504,65536,0
102027,715,1581950063,839815757,153962073,39191,0,105265317,917504,0,0
80952,797,1581302963,839065882,153814049,30484,0,105227103,917504,0,0
85854,594,1580995163,839173627,153799575,32023,0,105271482,917504,0,0
94069,567,1582096731,839452348,153893926,34123,0,105253782,917504,0,0
85469,723,1581547700,839439174,153905783,36688,0,105214089,917504,0,0
76879,721,1581289664,839432370,153877329,31650,0,105258483,917504,0,0
92559,579,1581490267,839078977,153794986,35782,0,105233034,983040,65536,0
96000,624,1581087186,839281263,153877169,39124,0,105245640,917504,65536,0
93973,835,1579229664,838599715,153794934,35513,0,105215610,983040,65536,0
97363,646,1582754527,840023313,153990667,36185,0,105268410,983040,0,0
98601,881,1575564667,839076494,159210297,35098,0,105256875,1245184,262144,0
88944,743,1455948015,839210958,177334437,35741,0,105284760,1245184,0,0
89111,592,1455547185,839265027,177342929,29935,0,105216285,1245184,0,0
82272,697,1455791221,839514751,177519301,33874,0,105269595,1245184,0,0
90603,699,1456573064,839639021,177549244,35592,0,105268755,1245184,0,0
83554,700,1455655950,839139313,177371243,28676,0,105219702,1245184,0,0
94559,776,1455509515,839233689,177448543,33792,0,105247614,1245184,0,0
75265,624,1455436297,839071524,177397873,28246,0,105243123,1245184,0,0
