l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4003207,5055205,646603636,356864300,114861074,243,0,1345351988,36306944,15015018496,81985536
21884841,19707142,1367065288,837624633,297361324,291,0,105588632,38010880,2187526144,0
21656970,19424255,1356713662,838021016,294279728,224,0,105432116,36634624,2163474432,0
22849757,20106059,1408089068,837854416,271796872,310,0,105886296,37158912,2281046016,0
22964055,20518244,1421033324,837707972,276852495,282,0,105096780,37814272,2255486976,11599872
22522764,20011315,1395235038,837552187,281266541,322,0,105350964,37355520,2232942592,0
22905798,20215386,1414399416,837636234,267822686,258,0,105729572,37355520,2266824704,16318464
22786565,20178652,1405581361,838265799,278877464,286,0,105769088,37617664,2247688192,0
18776375,17860445,1707885546,752331775,179800567,435,0,104998394,32833536,1615134720,0
23579053,20648804,2465627004,835834306,148771507,258,0,105329110,32440320,1405222912,0
3528048,3121617,372143479,125522636,22240481,76,0,4641472334,31981568,188874752,0
27320544,23219726,2814009762,1026851537,230546998,236,0,103771375,33095680,1593114624,262144
27403286,22936310,2797198280,1021677648,227234136,250,0,105369783,33423360,1624506368,0
27487907,23397109,2839891457,1036666086,231237433,249,0,105361500,32047104,1629749248,0
26841454,22942081,2796601039,1021743107,228325706,333,1,105306672,25427968,1587281920,6291456
22062431,19275380,951758796,1018614582,786066595,4074,0,105459558,37552128,2144993280,3604480
22130435,19954708,968163163,839781963,598901012,170,0,105453255,37421056,2208169984,0
22373488,20192496,978059265,797121715,560455098,185,0,105410772,38469632,2235301888,6356992
22529839,20348305,984486691,796745687,559447123,179,0,105468636,37945344,2252734464,0
22554637,20455463,986405250,796944371,558704523,178,0,105442245,40108032,2255028224,4915200
22883887,20782435,1005290068,793927313,550871757,173,0,105464187,35782656,2288451584,0
22645979,20483644,988080482,763443761,522582098,190,0,105401160,38141952,2269118464,0
20262171,18694279,851549690,756820794,498139699,1858,0,105441513,27459584,1947140096,0
10046442,10044592,1279966747,758530078,137039387,65,0,105346041,27721728,644874240,983040
10039560,10045293,1280751707,758668376,136703751,51,0,105447957,29163520,642121728,983040
10065319,10064640,1282527969,758374555,135784565,59,0,105371637,27197440,644218880,0
9832107,9806587,1246979628,736690764,131941405,32,0,105384921,28573696,623640576,0
9571995,9567514,1219736212,718233451,126264719,31,0,105358311,27590656,612433920,917504
9588800,9587923,1222373911,718541237,125412640,26,0,105337386,27197440,613089280,589824
9597162,9601660,1223034825,719032361,126111603,29,0,105469341,27787264,616431616,0
9598046,9600004,1223374500,719396571,126025375,25,0,105504792,34144256,613810176,1441792
9338766,9341271,1189440166,700705793,124041116,25,0,105369924,28901376,592773120,0
9042709,8941314,1143465663,672282907,115940137,77,0,105376317,28573696,585826304,0
9092181,9089371,1158581955,678800441,116365458,40,0,105364638,27852800,577503232,196608
9100219,9093598,1159024357,679019215,116374567,29,0,105429348,32112640,585564160,262144
9083417,9076217,1156947344,678304755,116601382,31,1,105358461,29884416,578617344,65536
9062715,9054122,1154173038,674128875,114278926,25,0,105366336,27000832,579796992,0
11985625,10828160,1007944675,486859311,78178381,11241,0,105436140,30605312,949616640,7143424
14114473,12186043,1069848648,465245080,54942188,18646,0,105408249,30670848,1084096512,0
13972165,12106134,1059814195,461653838,54896013,18530,0,105368934,35717120,1086455808,1179648
13990201,12105490,1059955154,461926727,55431460,18966,0,105415203,29294592,1114570752,0
13868945,12020353,1053014866,458806657,54400671,19026,0,105329532,30998528,1084686336,0
14175624,12580287,1097271213,475539773,55203638,17329,0,108570165,25886720,1109590016,3932160
13250360,11833304,1034753802,448315555,51702598,17705,0,105367677,27852800,1055916032,0
12878506,11728153,1012985239,436347132,49804658,18416,0,105411609,26017792,1012924416,0
12896476,11606805,1007810547,435376197,50431754,17562,0,105366423,29753344,1030029312,0
12726325,11667709,1009765601,435687869,49679771,15526,0,105348258,31522816,1078591488,4325376
12509171,11629219,1009425269,435792488,49790886,14107,1,105409611,29753344,1058471936,0
12425716,11662344,1014445416,436254019,49394259,9681,0,105412209,29229056,1048707072,65536
12181186,11609352,1002751035,428811000,47179931,9546,3,105373047,28966912,1035010048,0
11636344,11203527,960535592,408353182,44154512,9139,0,105361311,29425664,980221952,1572864
11581170,11028420,948617389,406904106,44699917,8761,1,105426774,30539776,983302144,0
11446913,10927231,943251206,403964383,44044922,8211,0,105349554,30801920,995426304,0
11600635,11118709,956192404,408817641,44988714,9698,0,105415452,27262976,979435520,1966080
11304070,10865510,931946751,396773614,42724846,8402,1,105356352,37421056,943783936,524288
11263919,10881212,932308238,395957855,41820529,7706,0,105412848,36503552,955645952,327680
10868157,10566262,901334785,382492120,39991652,8291,0,105364383,29491200,932642816,0
10770885,10578564,900452574,381632142,40343306,7637,0,105455574,27590656,935198720,2949120
10818807,10554420,898492465,380723852,39800262,10663,0,105375663,30343168,929169408,0
10830258,10525314,896458125,380645300,40223667,7577,0,105391374,27852800,931201024,327680
10662455,10365840,883319768,374565493,38856597,7493,1,105402810,28835840,910557184,0
10572304,10422965,889394596,374764381,38360144,7064,0,105390327,29491200,909967360,1179648
10640752,10452072,884082331,371725932,38102422,8743,0,105463614,27000832,911212544,524288
10170300,10015568,847267883,357469520,36291699,11428,0,105398352,37289984,869138432,0
9989977,9858001,834507361,353103942,35865047,8449,0,105367905,26935296,860618752,1638400
9991757,9882857,837871880,353397323,35996616,8160,0,105404412,27525120,858914816,0
10026365,9957852,841192504,353808695,36021316,6954,1,105426534,27197440,860946432,3407872
10076355,9961161,839982129,353694219,35994509,9064,0,105393411,31195136,861667328,0
9974513,9798354,827969860,349831515,35909654,6315,0,105437973,34471936,855572480,1966080
9933966,9846068,833256346,353272717,36174816,7348,0,105319842,26542080,860487680,65536
9989915,9918284,841489089,354123790,36219200,6102,3,105492702,27721728,865206272,0
10032693,9970689,841083761,353997633,36003348,6376,0,105439038,26804224,865075200,0
9429529,9519323,802226939,338401596,34215820,4671,0,105368346,24313856,825491456,1310720
8889822,8837782,745107971,312463663,30629165,3154,0,105394041,27066368,772603904,0
8880994,8850864,748027850,312574326,30336616,4165,0,105280704,31916032,767492096,2162688
8840089,8848312,747572472,312394440,31008904,2198,0,105354717,24051712,763822080,0
8540466,8599351,723825372,301239238,29303913,2369,0,105327261,30343168,735838208,0
7662917,7602910,642060016,268317442,25936085,1092,0,105368754,24969216,666828800,0
8325682,8299019,698749257,291306894,28026349,2235,0,113950170,25559040,723124224,60948480
7653265,7686620,647508948,269000287,25752563,1860,0,105341007,25690112,666107904,0
7674374,7616326,644446006,268478224,25754456,434,0,105296919,22347776,665976832,0
7624132,7653621,646734042,268912046,25810672,2162,0,105310560,26083328,659554304,917504
7639293,7633592,641712757,268183163,26327359,2054,0,105347298,24969216,665059328,0
7691754,7644898,646315686,269529019,25633682,1653,0,105337662,24117248,667877376,0
7682567,7697465,648172484,268933456,25638261,1973,0,105325686,25231360,664928256,65536
7645765,7599042,643229958,268238564,25990520,964,0,105293589,22413312,667287552,1245184
7633447,7653921,647007039,269098520,25687999,1758,0,105322137,26935296,663158784,65536
7664774,7622494,641469521,268048310,26290967,1782,0,105339642,24248320,663486464,196608
7606742,7372264,630837949,269786572,29140772,2657,0,105323052,26673152,655753216,0
7620720,7596657,640673177,267372128,25875110,3031,0,105315684,26738688,660865024,1179648
7373248,7354389,622244294,259452793,25288608,4043,0,105284046,21430272,634126336,0
4230387,4013008,356110391,166382424,26873796,7103,0,105219777,16252928,361824256,0
3657391,3566497,299651979,128078162,14116927,6341,0,105216621,19464192,309526528,1179648
3419516,3548948,300586037,127965632,13699307,6316,0,105236886,18677760,308346880,0
3578437,3585537,302932920,128232349,13740184,6100,0,105219951,18350080,314572800,393216
3546004,3539630,298073815,125826918,13988019,5683,0,105226854,18546688,303104000,524288
3679629,3586964,302032076,127922482,14149203,6348,0,105216714,17760256,310706176,589824
3664147,3549819,298668248,127870368,14295956,6538,0,105241872,15597568,313196544,0
3282716,3308129,280408732,121012011,16232420,5992,0,105206925,13893632,280297472,0
2128461,2149437,180215869,80136356,10199116,958,0,105150231,10616832,186122240,131072
2062963,2216076,185298618,82255536,10284011,920,0,105178638,13238272,192020480,0
2227904,2238536,188060935,83436860,10578537,1216,0,105174648,10551296,195297280,458752
2245461,2244547,187922187,83400451,10627918,934,0,105195513,15138816,195231744,0
2240140,2238342,187824174,83355475,10569020,939,0,105187773,13041664,195756032,65536
2183378,2030275,175259421,79262732,10181431,1148,0,105189054,9961472,197001216,0
2244978,2239544,187879180,83317406,10525673,1260,0,105187095,14155776,192151552,1048576
2223902,2232306,187756683,83337126,10597814,1069,0,105173007,16121856,192741376,0
2228994,2241571,188231180,83421782,10557171,1070,0,105217266,12648448,194969600,0
2061684,2236484,187733095,82066635,9783976,804,0,105149004,12845056,187564032,0
2231891,2247136,188164393,83430209,10627252,1245,0,105218112,15269888,192544768,0
644360,656455,55239121,24631866,3259321,429,469,453008520,6291456,54788096,12976128
3585106,2988497,186999721,201450819,108565543,3845,1807,104749884,5439488,262144,241172480
3773073,3123601,205587223,194600052,98041653,4332,0,105168855,5505024,131072,262340608
3069312,2377739,141889113,172341874,89771440,2256,0,105185676,5439488,0,217776128
10455612,9995640,1023255436,904214840,394023311,5068,486,104767761,5242880,327680,830341120
11881165,11733450,1479462285,1001097807,280915073,1542,0,105162768,5111808,65536,753991680
11969714,11754124,1477168580,1006730401,284256823,1744,0,105350883,5111808,196608,752484352
11970011,11748335,1488928339,1012593290,284359977,1619,0,106435463,4521984,524288,812384256
12171042,11992524,1514847186,1032401952,291618762,1630,0,104997074,3997696,393216,759562240
12131631,11981421,1507281070,1020151926,284391543,1406,0,104283760,5505024,655360,732823552
12634336,12463852,1596533934,1020758893,247773396,269,0,105076468,4325376,983040,803012608
12664251,12601146,1608799475,1027047805,245964529,294,0,105087479,4194304,262144,802947072
12738882,12617088,1614788051,1025481456,244802842,310,0,105162981,4194304,131072,812646400
12696288,12536715,1601894349,1020590516,244715811,278,0,105341810,4194304,131072,816447488
12727416,12578569,1613018889,1028914826,245309143,327,0,105710052,4194304,131072,807272448
12695192,9573040,974383357,755796527,279367327,5581,0,104723528,4194304,262144,816119808
26473034,14002912,895066900,906092021,492844448,13917,0,105222817,4194304,327680,1289682944
26281528,13953913,880867944,908859062,505165678,12801,0,105756294,4194304,262144,1346174976
26352033,14117973,900142207,906407127,493245303,14694,3,104670629,4194304,262144,1314848768
26098764,13822929,878197613,900059119,492609582,14910,1,105257257,4194304,262144,1325531136
26220933,13904201,883424980,906552669,498752282,14968,1,105029960,4194304,131072,1328349184
26586910,14086325,896243455,912109627,501142200,16016,0,105307020,4194304,327680,1318649856
26478944,14041848,890399660,908062028,498232876,15411,0,105518266,4194304,327680,1313996800
26449327,13913316,892602403,906807553,496396644,14292,0,105140777,4194304,262144,1330184192
26206204,13830944,869862665,908398364,503413436,14762,0,105185318,4194304,131072,1300365312
25684863,13888614,890149347,896544198,490482618,16098,0,104988919,4194304,327680,1295777792
26444538,13989222,878593286,909680499,503267345,16218,0,105314097,4194304,131072,1287782400
26339084,13995177,889925243,909897509,500795726,15571,0,105582603,4194304,196608,1342111744
20194115,10964620,723061793,700350924,363705561,7354,0,104825147,4194304,0,1059323904
26238922,13680000,949482843,897074211,471329269,3630,0,105546959,4194304,393216,1343881216
16565569,8621468,964468623,739335734,351580280,69454,0,104992727,4194304,131072,1302462464
24743163,14250755,1717185875,1013509677,381033798,2990,0,105640451,4194304,65536,1411252224
464549,500562,590087468,305549175,110890046,1170,0,105101311,4194304,0,1300299776
4891842,1836361,633696876,331739100,149564575,591,0,105170100,4194304,0,1396768768
22578913,16442456,1616261286,1023826338,515261484,1176,0,105474131,4194304,0,1930035200
21757394,13614390,1491670161,937780750,338347865,2346,1,105424494,4194304,131072,1396441088
24326234,15425541,1658556141,1025262012,362017513,2643,0,104790217,4194304,131072,1475477504
24619997,15536699,1668697964,1024965021,355102146,2757,0,105099827,4194304,0,1481506816
22739733,14933515,1600733781,958157872,331995090,2897,0,105767417,4194304,0,1263796224
18594556,12335389,1367174715,816509449,295882184,2482,0,105048503,4194304,65536,1295056896
24405130,15333019,1674350343,1014181550,356034729,2972,3,104681613,4128768,196608,1445658624
24101497,15134943,1666531134,1005580920,347540682,2744,0,105040470,4063232,196608,1429798912
23453724,14971976,1630134023,965041270,325984532,2441,0,105203892,4194304,196608,1368522752
11547812,8386554,759876814,520108728,236185795,1195,1,105418227,4194304,0,913375232
18394805,15083690,1363012200,865930813,402357732,1009,0,105808485,4128768,262144,1676541952
18017381,15453309,1403589056,877872408,396652939,880,0,105068712,4194304,983040,1720975360
18953502,15360963,1384785222,876555980,403323612,887,0,105081747,4194304,131072,1729822720
18735397,15008151,1364125863,868325511,401637293,821,0,104597358,4259840,458752,1805516800
18635543,14889757,1371070462,881907733,411219457,922,1,105968804,4259840,458752,1774780416
18542985,15397509,1397884709,891706896,417228532,757,0,104648747,4259840,393216,1722286080
18618846,15445374,1393713281,892930064,417032420,1076,0,105121345,4259840,327680,1717370880
19046897,15293467,1374323969,879029900,409668425,697,0,105362978,4259840,196608,1744896000
18057165,14053520,1301652044,859367702,404267079,1030,0,105715442,4259840,393216,1626734592
5886783,5502544,468998646,264320316,91664996,115,0,105281337,4194304,262144,516292608
5285690,4944803,414407815,224851394,77762361,139,0,104989997,4194304,196608,519700480
5282507,4941578,414452823,225327463,77967838,138,0,105248689,4194304,196608,519766016
7059681,7184590,589370925,287628585,92120222,181,0,105243131,4194304,327680,707395584
7592855,6852022,557515482,281278153,93423064,261,0,104967793,4194304,262144,660013056
3605881,3468323,285365717,153163888,51849505,157,0,105392084,4194304,262144,361037824
3629163,3472983,286793165,153065020,51329136,208,0,104671287,4194304,327680,353435648
6768231,4953210,420885327,292210444,119118008,2771,0,105737058,4194304,196608,612040704
27905305,15397549,1321194745,1029640942,456329829,20843,0,104944539,4194304,65536,1447297024
27634612,15236675,1311742046,1024036071,455551406,21756,0,104971783,4194304,65536,1425735680
27697608,15444346,1319296588,1023658920,452123315,21157,0,105368459,4194304,65536,1510670336
27675458,15239957,1314575383,1027583804,455490155,19758,0,105379736,4194304,65536,1436811264
27686683,15260468,1314211899,1028455108,456476732,21009,0,105235151,4194304,0,1435566080
27680414,15464838,1334064003,1027575664,452468529,21553,0,107160116,4194304,65536,1461649408
27302840,15227215,1303354242,1021611292,458898385,20087,0,103378219,4194304,65536,1494089728
