l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
8357119,7022343,503607753,824861925,571900502,1284691,0,1364951456,5767168,5494538240,12648448
4225171,3205770,211566157,738986311,618458435,620210,3,105562816,3997696,196608000,0
4566172,3318903,221213183,762315349,633194695,714787,0,105426136,5308416,219873280,1048576
3957927,3005140,206865521,730257750,610789126,607705,0,105337268,4718592,192544768,0
3398086,2773130,189741699,690819949,572059531,518967,0,105284132,4063232,181075968,1376256
4458225,3208854,226360677,794046710,666310977,714756,0,105903148,4521984,213385216,1507328
3554509,2660600,183055817,641864157,538258452,524406,0,105030948,4587520,175636480,524288
3965499,3045868,215902942,734387868,613234662,585805,0,105649676,4194304,201129984,1966080
6428077,4905426,347509808,806660751,614741890,963357,0,105173082,8978432,324403200,6750208
8416330,6058745,430237794,792128630,551479181,1297430,0,105316354,9502720,389677056,327680
9738888,6998122,512972974,807171228,523881078,1522771,0,105294098,41943040,455147520,0
10339056,7313685,530220830,762425389,473927674,1505524,0,105093615,41680896,474742784,1966080
10044093,7105856,523729090,799995501,509512971,1442847,0,105319521,41943040,466026496,0
10189116,7278669,534073831,805310224,515247007,1494940,0,105806928,41549824,468516864,2162688
9749476,7161507,525618996,794135913,503546411,1429457,0,105063051,41811968,461701120,0
9922241,7138950,522407575,789485098,499032594,1275962,1,105321267,41746432,468123648,131072
10176006,7545238,530469476,736659714,447990680,1229839,0,105308628,41746432,482869248,131072
10407882,7256863,522463212,769864853,483638598,1477019,0,105593367,41811968,478937088,327680
10228213,7273961,527578388,781920782,495689749,1552761,0,105329259,41680896,467337216,0
10310163,7176004,529120212,809915239,521656974,1673202,0,105259599,41811968,464453632,1179648
10379093,7234808,520988742,797621019,510507499,1507928,0,105165336,41746432,467599360,720896
10630316,7573731,537477763,754326366,462494324,1506708,0,105379581,41484288,480903168,2686976
9866009,7102642,519146721,787034952,499829474,1396608,0,105393786,41353216,471072768,0
10180785,7317323,532127717,786746580,499913274,1589351,0,105464814,41811968,469368832,3145728
10304116,7444493,530994648,766903691,480795548,1520014,0,105280338,41615360,474873856,524288
10774171,7602587,536864297,747372151,456807961,1490017,0,105144252,41484288,489553920,0
9908792,7144568,524886675,799636370,513899289,1455427,0,105609312,41680896,459800576,65536
10135553,7401570,532990492,804916337,513256896,1501586,0,105338055,41746432,467402752,1638400
9987285,7172071,522783583,791017556,505986312,1568903,0,105038268,41811968,457441280,0
9888059,7149835,526339732,783498171,494218375,1407473,0,105511266,41484288,468647936,458752
9977976,7462940,536797870,742787942,453477427,1385524,0,105230619,41615360,475791360,917504
10143121,7208210,527401864,809604677,520759880,1558437,0,105882561,41549824,464650240,0
10166190,7146132,522044328,787675191,499467214,1377080,0,105609150,41484288,467664896,458752
9605646,7219435,523579142,811151247,521091259,1199971,0,104502969,41615360,461635584,262144
10344116,7485767,539388949,787066823,498781648,1592871,0,105224829,41615360,467927040,0
