category,bfs,canneal,streamcluster,SP
runtime,39.182857275009155,73.62246084213257,118.21114873886108,238.27590799331665
l2miss,7707742.219215156,58620420.90236686,161272598.28252468,444960926.4287278
l3miss,3192922.246278755,33810307.92899408,128866757.07170458,235735016.14188746
instructions,5453760814.316645,1900415938.4171596,9400664485.702017,17569706921.699146
cycles,2446595490.9066305,7589053136.242603,15134370806.44912,11464163782.491789
stall_cycles,547774069.255751,6253247729.038462,10081118682.035208,4610607252.791767
intra_coh,587460.8389715832,166129.8520710059,10959121.279519107,28755.165316400264
inter_coh,0.21650879566982412,308.6538461538462,7.058823529411765,0.4379242391066346
wall_cycles,2126217804.6549392,2265605158.1656804,2116933465.1953628,2175334648.675279
llc_size,419292056.07577807,470510670.7692308,765960793.473594,458890046.05211294
local_mem,317208429.12043303,2617230572.307692,8605804265.246887,18424692886.673965
remote_mem,2383772.2327469555,23227470.769230768,27012988.09789609,186520019.2686665
