l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5749103,5188618,352736382,820434084,619806478,14213,0,1062781072,5570560,3157065728,16646144
3748666,3122401,216707255,725667812,607573733,21607,0,105310180,4128768,219742208,0
4855957,3991413,263829845,726163360,575458443,18618,0,105051328,7667712,315883520,7012352
5759122,5175254,367241668,749448019,541883227,19270,0,105319660,7340032,388431872,2228224
6938216,5946660,422600744,757482168,535748713,29105,0,105951576,3080192,423428096,0
6702668,5441631,380519064,802661550,586256419,555595,0,105408736,8912896,404160512,11206656
5700550,4430915,314713126,792963500,614228931,657430,0,105381544,3866624,291504128,0
4878402,3770227,268187775,758646777,601435803,528857,0,105121388,6029312,283115520,7798784
5370263,4621317,297378724,755216650,596535913,274520,0,105929982,2883584,296157184,0
3591649,3145388,220206027,771828235,650180384,130767,0,105480568,3670016,213909504,0
7704074,6201601,441962365,797700207,571390741,953434,0,104448741,41156608,420282368,0
9784117,6836090,501704970,780336058,500627851,1543341,0,105855609,41025536,485556224,1572864
8636491,6604916,486234167,760366965,487652065,1336115,0,105598470,41091072,453902336,2490368
9932039,6999761,514241306,801283284,516234527,1470127,0,105025704,40828928,489226240,0
9899930,7013598,514714682,761690424,479049940,1362955,0,105609012,41091072,504627200,786432
9988347,6902057,508183322,793031238,513735259,1592809,0,104991645,41091072,483393536,0
10007709,7211602,519901955,781966134,497260505,1492110,0,105401646,41025536,496041984,0
9983014,7085590,509743080,754270681,480858714,1343115,0,105370398,41418752,493289472,6750208
9937070,7122561,516407626,774261756,490994798,1418503,0,105444234,41287680,499712000,720896
9914965,7139817,516205621,774708210,497259740,1361202,0,105485106,41025536,490078208,327680
9884929,6948886,512196231,806319881,525456040,1560922,0,105331548,40828928,485687296,0
9669696,7021923,511779828,794151493,511585142,1344121,0,105291315,40697856,482738176,0
10258236,7509194,532874101,767111594,482512872,1343351,0,105393930,41484288,512491520,655360
10004948,7156151,513221049,760478211,482303385,1421913,0,105357558,41222144,500432896,2293760
9583902,6749073,501086922,768030881,493735451,1263317,0,105355272,41418752,473956352,0
9238980,7422086,528693104,736258010,451182577,1053249,0,105415194,40894464,501284864,1703936
9882831,6725922,496191241,773356704,492675203,1485748,0,105230469,41091072,488243200,262144
10283007,7008845,506726497,783558536,504481012,1446621,0,105441207,41418752,505675776,0
10081932,6918659,515974431,788992479,504649608,1453459,0,105394167,40763392,489095168,4718592
9796652,6856319,508658263,794474625,517061397,1538775,0,105340515,41156608,479068160,524288
9897502,7244249,522030424,761799742,480833302,1465780,0,105375960,41615360,491126784,0
9747421,6828824,505519813,757414708,480380906,1407768,0,105367620,41353216,485556224,2228224
10538175,7264049,511743442,753852466,476380678,1405795,0,105398463,41484288,510197760,0
10017295,6948359,512454851,797515133,515765322,1606047,0,105295356,41222144,491913216,6750208
10286356,7181639,513847573,758339977,479348410,1443659,0,105359217,41156608,497811456,65536
