category,bodytrack,canneal,streamcluster,SP
runtime,28.410414934158325,64.25556516647339,129.93658256530762,234.0641896724701
l2miss,61927772.8440367,67188146.83760685,147703348.33988985,453103749.705365
l3miss,2182917.5045871558,38195482.68376068,116278705.46026751,246663556.33245382
instructions,28493365161.61468,2192400465.213675,8598069563.233675,17630326194.758137
cycles,12610482115.559633,8784303004.427351,15226122511.683714,12349841068.377308
stall_cycles,1268008742.238532,7244061698.478632,10587037929.756098,5409155788.271769
intra_coh,7112379.302752294,190962.8205128205,10393867.797010228,29107.946350043974
inter_coh,0.5137614678899083,42.034188034188034,14.948859166011015,20.43975373790677
wall_cycles,2140033804.917431,2249860348.205128,2117266695.1848938,2137041637.0668426
llc_size,370587441.3211009,540395292.4444444,582827993.3280882,436242660.75637645
local_mem,127882982.16513762,2923927289.4358974,6380425116.097561,19512063828.883026
remote_mem,3167372.9174311925,29291791.316239316,18417626.93941778,167258881.1257696
