l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
41785560,18014109,971896123,839942051,432216968,1134,0,1035125148,37814272,13970767872,11141120
38117253,20517601,1740985308,837691676,183952191,154,0,104848404,34209792,789839872,0
28885305,18043665,1324935412,837870039,275128857,666,0,105773976,33947648,921108480,0
31127559,17407197,1347601205,837578055,325523697,7118,0,105485916,32374784,965017600,0
31690897,17586148,1319619194,838103125,294294591,8861,0,106148668,39190528,947060736,90505216
32440545,20463956,693853140,837111538,518579546,1086,0,104660996,38797312,2202730496,0
26948610,19846815,1924247535,837100610,154436082,205,0,105058219,34275328,1386938368,2818048
42876493,18027489,950508615,836676624,391031488,364,1,105744198,36503552,2044657664,33488896
36879810,20710657,1367088449,838169838,366764728,1023,0,105476187,34340864,1576009728,0
27223895,16437536,1460333617,699067074,191592052,433,0,105185697,31588352,862781440,2228224
29738438,15427568,1399551650,784140522,244114673,289,0,4908458817,16515072,628686848,0
29296303,16474721,1130116138,928132441,418465152,7184,0,105417917,36044800,925564928,8585216
36554873,19338958,1381494275,1020391061,471928685,6649,1,105485677,40108032,1361379328,20774912
33170393,19638105,1064483940,1018801666,537773368,512,0,105336870,35061760,2042691584,0
31226859,17041314,1524315783,950851337,325943857,158,0,105433761,38600704,1603207168,8585216
43734855,17899599,1004998658,1027307955,601474046,385,1,105514611,34996224,2066350080,0
43475582,22554987,1866530790,1034317217,415479492,773,0,105524298,32571392,1244790784,0
33810930,20244767,1612775492,1034281041,445926280,882,0,105310023,30408704,1091305472,0
30756065,19379241,1430467569,1035911963,443919808,6884,0,105374400,28835840,1144127488,8388608
33423354,19486726,1327881501,1036614558,498351359,11404,0,105512205,31784960,1182269440,13369344
31470909,18393310,744168333,965125792,627098882,771,0,105599385,29622272,2188115968,0
29849113,22845652,2020949528,1039336696,309537718,273,0,105514779,22675456,1804468224,4063232
45907939,16303340,946478302,1038560490,613492642,511,0,105514167,24248320,2118975488,4325376
35174690,19645934,1105428156,1038670643,602361408,920,1,105573030,21430272,1992753152,0
31364037,21482996,1262498355,1039257750,576028980,296,0,105475311,22609920,1617100800,3014656
25451865,18650969,1117042532,1038249594,581151834,1023,0,105461295,17235968,1519779840,5570560
25544565,19057277,1104874508,1038951443,571330898,1650,0,105455100,21889024,1568604160,0
26386157,18871604,1047128051,1033605813,589996736,12018,0,105732717,21299200,1433862144,983040
28848693,18209384,935685132,1016153385,602200277,8365,2,105246558,22282240,1688076288,19398656
31891251,20870930,1142147863,1039254807,626186893,588,0,105480648,19595264,2148990976,0
37206126,21581127,1822524978,1038888063,355242372,438,0,105528702,20578304,1930952704,2424832
42118308,16993786,892209164,1038244577,631298369,676,0,105618789,20840448,2137653248,12517376
30007239,21282365,1189954864,1038178506,592350368,586,0,105362631,21168128,1828651008,0
29596461,20765217,1096327882,1038049882,597822324,673,0,105401409,22020096,1744044032,0
26651093,18900998,1139343197,1032749707,562370254,744,0,105360378,18546688,1408368640,14811136
26353440,19078720,1036727438,1037990090,602861172,5490,0,105515988,21299200,1600389120,0
26857641,19248618,1057358675,1037701683,590013875,13744,0,105360657,19529728,1393754112,0
31526513,19297595,933785865,1008279919,617782398,5854,1,105484089,24379392,1869348864,11403264
31931396,20587175,1345624747,1037983084,506824760,410,0,105479790,22872064,2003107840,0
38436631,19369155,1511664046,1039364680,441058729,381,0,105518106,24379392,1948385280,3145728
38942753,18003705,929083454,1038850438,633582925,1111,0,105539565,25690112,2198470656,6881280
33298688,22131638,1351743443,1038029303,528705948,425,0,105408864,25362432,1512833024,0
27995293,20702874,1265343169,1037148116,558560486,921,0,105356406,21889024,1539571712,0
28733469,19290718,1228467183,1038309616,530686646,490,0,105594147,24379392,1335164928,15073280
26258894,18958036,1074348750,1039383111,591567175,13309,0,105372363,19333120,1471086592,0
31807435,19527919,1088733726,1038092993,572389716,13254,0,105509790,27328512,1574633472,9043968
32990862,20092887,824255127,1035860443,635817958,854,0,105277410,24444928,2176385024,0
32812685,20746810,1872078069,1032998063,354565911,349,0,105524367,27066368,1769340928,8847360
46371491,16686501,923981475,1038175257,621169372,810,1,105397533,24313856,2122514432,2949120
32893132,21895821,1341481082,1038398820,547813040,822,0,105452400,25427968,1710489600,0
33439790,21995521,1407026178,1038239238,517537466,986,0,105504138,25559040,1422000128,1376256
30293154,19171936,1324793758,1038242377,492407611,575,0,105451227,28246016,1148846080,0
28941276,19710839,1112680809,1037437060,572611587,16743,0,105325323,27852800,1365114880,2490368
32375640,19635844,1087061557,1037351902,567696558,11694,0,105389457,29425664,1546846208,17694720
27847317,16419400,707665906,801280634,507810890,629,3,105517047,24641536,1866072064,0
29110312,20591153,1955938106,955791795,245628889,229,0,105431244,29491200,1574699008,6684672
47281274,16874829,925704972,1037562575,616068412,437,0,105538713,28508160,2137915392,0
34505784,21643478,1314915996,1037936740,549566541,853,0,105402099,27066368,1769013248,0
32482405,21505271,1458100567,1039038782,490709203,814,0,105486141,27721728,1433075712,0
30603616,19296989,1337358330,1038867599,497617712,534,0,105513297,27197440,1148911616,196608
28632656,19648676,1191921695,1037492574,556334040,13625,0,105389043,25493504,1375928320,11927552
31106860,19406906,1132222667,1038214453,561729361,12278,0,105448164,29163520,1454571520,12648448
34500703,20391311,1085953115,1037713771,610960744,905,0,105468102,26148864,2205876224,0
35836589,20122197,1842187603,1039474536,314462504,346,0,105684825,30277632,1785987072,3997696
