l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
663313,223443,91921640,101167827,49961705,0,0,992968247,21561344,147259392,524288
678716,218640,92509353,101466279,50042694,0,0,104702544,19267584,21823488,0
678569,220868,91700212,101391344,50330058,0,0,105026551,24379392,16580608,0
695108,219044,91848290,101471308,50097917,0,0,105272364,20905984,20185088,0
690560,229577,90039484,101596551,51400383,0,0,105069049,24903680,19202048,262144
347242,110740,44840566,50493821,25417751,0,0,4730858020,786432,27000832,0
714022,344173,92715359,126187423,73309986,0,0,104718612,16908288,17301504,0
800845,291549,102586554,131239315,73628931,0,0,105159576,20905984,19595264,0
815877,269816,102498228,125649814,68267700,0,0,105100479,27197440,17825792,65536
830805,267532,108807287,131870493,70891031,0,0,105123411,22151168,30605312,196608
779065,266711,97064508,116932675,61491881,0,0,105111345,19660800,28180480,0
655595,237517,82874848,97035038,50820092,0,0,105149841,16384000,23134208,0
655626,244388,82050192,96911631,51027457,0,0,104801167,20250624,17498112,0
672375,232229,83841085,96907780,50181011,0,0,105179928,24444928,16842752,393216
665669,236259,78689006,84921368,45421907,0,0,105044856,24969216,31981568,0
670216,239515,82982242,97031613,50755725,0,0,105096090,26738688,18087936,524288
666962,236220,82182759,97091775,51238846,0,0,105117492,18612224,24051712,0
727068,275484,88464790,112330273,62849586,0,0,105088692,18939904,22675456,196608
783307,313114,94171835,126482931,73788744,0,0,105141114,17956864,28114944,0
807468,297001,97343331,126499379,72543495,0,0,104980626,25690112,21889024,196608
837414,288467,98268794,126788405,73576217,0,0,105112632,23789568,29425664,0
819243,287454,97709561,126258456,72100415,0,0,105087192,23461888,26279936,0
798594,312747,93633155,126471718,74287584,0,0,105198261,12124160,31588352,65536
663026,279267,79873551,100671656,56603914,0,0,105079293,16908288,19726336,0
668308,266667,78315582,97301191,53969925,0,0,105093309,15007744,21233664,458752
678475,260378,79083850,97249420,53182330,0,0,105282220,22347776,20185088,0
694260,246012,80487150,97294757,52606273,0,0,104969942,22609920,20971520,0
657028,203843,64663076,84688871,46705843,0,0,105171644,20447232,30081024,0
801132,303322,87642407,117158569,66978058,0,0,105143293,18153472,26083328,65536
806464,315521,90582908,126446580,76057284,0,0,105056694,20316160,26542080,0
834306,299594,93466882,126465655,74190137,0,0,105098721,27787264,23855104,458752
834613,302610,92544268,126608963,75068690,0,0,105158814,23199744,26804224,0
847921,296481,93185718,126419716,74403511,0,0,104978763,27656192,24510464,65536
804088,328015,88935313,126794763,77134788,0,0,105207429,14417920,37355520,0
820020,325774,89111382,126671772,76627523,0,0,105033951,23986176,22413312,262144
845068,312117,91089741,128978204,79186137,0,0,105064842,22216704,25690112,0
845099,302328,91835204,126603278,75318857,0,0,105097284,28246016,23658496,131072
844300,309128,90847010,127823552,76943193,0,0,105064137,15335424,33357824,458752
827176,326410,88164944,126939421,77584108,0,0,105147114,20512768,21757952,0
849250,314669,91281806,129713292,79009387,0,0,105071625,22609920,24707072,0
712155,278470,78245395,115269952,77726522,0,0,105151812,20119552,35389440,65536
852353,311363,90033083,128192470,77495248,0,0,105123186,26083328,23134208,0
839138,325298,87422225,127113489,78027908,0,0,105168579,18219008,30539776,0
846294,322434,88060909,126951681,77705772,0,0,105079542,25362432,26279936,196608
846522,321093,87586238,127618374,78681052,0,0,105078261,16646144,28770304,0
848608,324297,87499664,126925594,77890811,0,0,105143553,23330816,24510464,0
856977,319762,87899517,128577766,79576810,0,0,105092427,18677760,27459584,458752
850429,328222,86318925,127093153,78588145,0,0,105091563,22544384,26017792,0
862039,322095,86895523,128362531,78995038,0,0,105100743,21233664,29097984,0
863945,317869,86920167,127067535,78162648,0,0,105096765,27721728,23003136,0
893203,316211,88506511,129686570,78880312,0,0,105053856,21430272,27656192,393216
860427,322231,86007864,127205586,78775040,0,0,105117705,20250624,26935296,65536
745876,325345,86065796,123865093,68599539,0,0,105070929,25165824,32243712,0
855327,327853,84687108,127161136,79348058,0,0,105107793,23920640,24838144,0
879913,312841,86933020,126977227,77961974,0,0,105017304,28246016,23986176,0
873748,323347,85028128,126932139,78891804,0,0,105116139,19202048,34078720,0
860768,333944,83445972,127192272,80066752,0,0,105084591,20709376,29229056,0
858076,337597,82926927,127271237,80460579,0,0,105112017,20250624,26738688,0
877931,322529,84478943,127102890,79259834,0,0,105082410,27328512,22872064,0
881833,319523,84825941,128264232,80486241,0,0,105109077,24313856,26214400,0
875455,332770,82976333,127264704,80282068,0,0,105117306,20905984,26083328,196608
875341,331321,83934157,130337389,82921824,0,1,105101730,18677760,21823488,0
872623,330869,82402665,127082620,80526161,0,1,105082671,20250624,24903680,393216
883534,338371,83642079,130768670,83360819,0,0,105054012,19726336,27197440,0
870718,336035,81840212,127194699,80891093,0,0,105153312,14024704,26673152,0
856375,344204,65189558,112269291,72017504,0,0,105082860,13172736,33488896,262144
864372,346548,79576322,127279661,82105982,0,0,105075444,16580608,24051712,0
853436,349009,79262245,127618250,82720466,0,1,105057882,12779520,30343168,0
854761,348388,79869401,127241315,82027357,0,0,105087837,15335424,26935296,720896
862777,348378,79476975,127319878,82414126,0,0,105104217,11599872,30932992,0
848117,360344,77734273,127459725,83378846,0,0,105119310,14221312,29163520,0
874802,346211,79701243,127390829,82083041,0,0,105107178,19529728,26017792,262144
878380,341258,80946679,128817470,83088331,0,0,105114099,19922944,27197440,0
879935,337113,80744678,127320675,81533662,0,0,105052410,19529728,24772608,327680
869899,346069,79312197,127745531,82576002,0,0,105048546,12582912,28901376,196608
867711,350774,79117111,127488023,82772029,0,0,105121974,17235968,22413312,0
886870,341797,80571311,128503580,82580645,0,0,105652791,19857408,21954560,65536
884718,339231,80269557,127336822,81864654,0,0,104949606,20185088,26411008,0
704305,276868,65741106,110750271,73699034,0,0,104676042,14024704,35127296,262144
