l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3491360,3210496,213150644,769292213,643183931,21630,1,1056424204,0,0,0
5460271,4823951,327201164,630340651,450268655,25446,8,105300160,0,0,0
6778157,5825681,400200185,768851844,551538840,85397,0,105783268,0,0,0
7216383,5970636,410222186,770154020,548937787,785630,0,105065448,0,0,0
7475094,5896092,402192076,732501793,503815990,766350,0,105967204,0,0,0
3467170,2932241,195398092,747067907,634943776,257415,0,105233160,0,0,0
5513296,4975493,352101221,765162470,574785293,129036,0,105021682,0,0,0
4077827,3256690,221516159,755687229,631223407,504678,0,105728859,0,0,0
6020881,4375180,307919553,793696796,621259696,999157,0,105169506,0,0,0
8495891,6203317,430063628,773676960,536689839,1263246,0,105576072,0,0,0
7325098,5662087,402879138,720699203,485079974,1154731,0,104999727,0,0,0
9848918,7002513,516798492,807258472,525459576,1524272,0,105791912,0,0,0
9897838,7139130,520800109,798770209,515238047,1455565,0,104909604,0,0,0
10074925,7155624,521344753,786404184,501576769,1635790,0,105734085,0,0,0
10192013,7346782,523349421,781599637,498819833,1492349,0,105093546,0,0,0
10200329,7138099,518837246,778071030,492376441,1433382,0,105244002,0,0,0
9915265,7131133,514181012,785940232,506189286,1442555,0,105616329,0,0,0
9896174,7053890,521893829,814684365,528094175,1484388,0,105275859,0,0,0
10241342,7096858,519083508,779040066,495849355,1547302,0,105777666,0,0,0
9764735,6871084,506301535,766953514,483430457,1327618,0,105483381,0,0,0
9761010,7237885,522452625,757714798,473411787,1391788,0,105070254,0,0,0
10231815,7318255,521051133,774897886,492832942,1455306,0,105257349,0,0,0
9942671,7291095,527257550,785523979,497447408,1284151,0,105342189,0,0,0
9478308,6980988,516375419,748458831,469117238,1187788,0,105615135,0,0,0
9967339,7069685,516344948,810481812,526559821,1587835,0,105510159,0,0,0
9722219,6986254,515500338,775753915,494844678,1416708,0,105328977,0,0,0
10295439,7275283,523078912,782257392,500489852,1593302,0,105130071,0,0,0
9895376,7023442,510162477,762871570,484398182,1520732,0,105477267,0,0,0
9907733,7024088,513638283,805579153,523010018,1552610,0,105371274,0,0,0
9805784,6813027,512608919,772252376,486983670,1456675,0,105377520,0,0,0
9746745,6979123,512425813,802519598,521799485,1462861,0,105487731,0,0,0
10030488,7024157,514720416,807904657,526136348,1647246,0,105456888,0,0,0
10143285,6993200,508472004,767263198,487022175,1461144,0,105151653,0,0,0
9970936,7056615,512959496,773414040,487559725,1415118,0,105366051,0,0,0
10000670,7233548,519315990,786789773,504367939,1460241,0,105479361,0,0,0
9750450,7043543,525199093,799716232,514036908,1460078,0,105436983,0,0,0
10030292,7132249,519881893,803853684,521593403,1582674,0,105331893,0,0,0
9991371,7262023,519492895,789436603,507856509,1349934,0,105316953,0,0,0
10036621,7046966,512393321,755935757,473458930,1437009,0,105207519,0,0,0
10087755,7025463,509918790,788730296,507705927,1438555,0,105544836,0,0,0
9631261,7208201,516638729,800666489,515939204,1315996,0,106870479,0,0,0
10305013,7530832,534067630,756582146,465868235,1167712,0,105380361,0,0,0
9754809,6870156,503580171,765532926,486992955,1467024,0,105155946,0,0,0
9803374,6940140,508829784,798857687,518374650,1452150,0,105344580,0,0,0
10096900,7103895,520036605,762196684,480250856,1494810,0,105187077,0,0,0
10141382,7122319,515077543,788780215,505859557,1529248,1,105196242,0,0,0
10048994,7092497,513682905,812089122,528409194,1581971,0,105183699,0,0,0
9969973,7071130,515393430,763621648,483796790,1406393,0,105320826,0,0,0
9954779,7138869,513916574,746192523,465269092,1376494,0,105061827,0,0,0
9745707,6884869,502226694,790869800,515126553,1585658,0,104722965,0,0,0
9635087,6821251,503989494,787618432,512227446,1512465,0,105443607,0,0,0
10213666,7252478,517331033,756366589,472205612,1371064,0,105291252,0,0,0
9844160,7199120,518008103,741155908,460981252,1410065,0,105404517,0,0,0
9948867,7089569,514679342,764177974,483561697,1435761,0,105343485,0,0,0
8056215,5795154,421828630,663292911,429201946,1170497,0,105375594,0,0,0
9709563,6919112,506055274,797307402,520132469,1506138,0,105462057,0,0,0
8689723,6235956,452889285,785374448,533856349,1295192,0,105485900,0,0,0
7685440,5670730,398246026,762859908,540565620,1200128,0,105490388,0,0,0
4785256,3533753,246437257,760738101,622196070,727840,0,105423049,0,0,0
5733127,4018847,312649290,725044244,555612350,867994,0,105401449,0,0,0
4047378,3000917,211325172,673839075,554593246,514361,0,105475637,0,0,0
4200581,3181956,220632732,755822455,626307926,583773,0,105216044,0,0,0
7400571,5169409,364988136,763883346,553006883,1088344,0,105388509,0,0,0
7470126,5305502,391197867,753248436,533257356,1148709,0,105438765,0,0,0
7114668,4949583,370726994,743415278,534942900,987600,0,105402471,0,0,0
5696456,4116649,298664034,741151631,581465569,969836,0,105423189,0,0,0
6078487,4330021,305210180,814003398,647261711,867369,0,105324069,0,0,0
5261207,3442687,269240725,726944582,579940965,659459,0,105438560,0,0,0
4008464,2626873,219692101,709950728,591473588,678657,0,105541014,0,0,0
6037523,3768045,296639743,796819685,630277720,831745,0,105410823,0,0,0
5699128,3878754,302362660,725231482,558195244,771200,0,105502959,0,0,0
6356290,4290297,342962001,722849407,536955362,917160,0,105488500,0,0,0
6192137,4053586,323337362,767970179,588964083,925170,0,105467550,0,0,0
6024667,4036003,323886231,771614296,587873787,789995,0,105447975,0,0,0
4787444,3136159,255407139,760465709,620841734,604277,0,105492291,0,0,0
5688421,3477984,288644096,718800541,555816409,1013451,0,105405162,0,0,0
4989076,3175851,250902850,729683414,591724292,673500,0,105507786,0,0,0
4494567,2825600,238986826,772161262,637008775,647947,0,105480391,0,0,0
5831347,3741800,294220496,772229053,608162892,872501,0,105315269,0,0,0
5685082,3746844,303036210,711366102,543595788,791834,0,105316857,0,0,0
5873518,3687712,306372233,723846478,551916473,841060,0,105426324,0,0,0
5812014,3778310,296662328,725642325,558787276,880715,3,105454980,0,0,0
6662911,4285974,336511582,792642999,603595163,1033538,0,105304971,0,0,0
4041251,2666792,208994274,733855545,616007258,647992,0,105505548,0,0,0
6316999,4069470,330383246,744886234,555788360,844554,0,105296343,0,0,0
4258727,2726188,214520598,764625063,642116067,667152,0,105450126,0,0,0
4621222,3070693,250972600,751174752,616126739,718336,0,105443841,0,0,0
6043884,3873197,305132044,782324909,607714103,904028,0,105459009,0,0,0
5970962,4051334,317560816,744380652,565199950,866096,0,105217971,0,0,0
6029572,3859697,312859598,762416114,590266422,959265,0,105363126,0,0,0
6490140,4039159,317153241,742185055,559366436,932278,0,105377232,0,0,0
4870980,3127910,256517465,761038598,615604607,828579,1,105463683,0,0,0
5224483,3529754,272700206,709743284,552871274,687559,0,105370029,0,0,0
4662091,2967379,247327226,738780146,593400519,651145,0,105399183,0,0,0
4225114,2832585,223647669,720356069,594779080,597213,0,105473052,0,0,0
6455696,4363118,328018481,818451890,631641132,992095,0,105421794,0,0,0
6489240,4612565,364665657,802092952,606199495,966462,0,105461556,0,0,0
7010577,4842517,358809014,795328598,593960306,1136111,0,105414861,0,0,0
6292462,4220439,329444122,734222465,548606374,1042749,0,105398460,0,0,0
4412009,3338644,251987036,742030676,599855879,583308,0,105451797,0,0,0
6624453,4688290,350636528,750725213,552742448,1106968,0,105466653,0,0,0
4966216,3222303,257226970,735248409,587746183,713634,0,105438117,0,0,0
3711127,2539011,206426049,702659629,587611139,529319,0,105414651,0,0,0
6064401,4322393,311305974,750199743,576330364,877953,1,105439317,0,0,0
6788381,4588813,346755259,781965620,589048750,1026725,0,105202947,0,0,0
5957534,4202235,326749054,722338090,539156259,848316,1,105412980,0,0,0
6646435,4636257,344751420,747278944,550767290,791012,0,105319461,0,0,0
5155281,3397208,252129804,765422827,624612451,872592,0,105481248,0,0,0
5645127,3971136,292642347,733529500,572348058,804077,4,105281385,0,0,0
4385868,3182295,238253153,747597166,613846282,658741,0,105445236,0,0,0
4112006,2874793,218833925,708287187,585292648,673450,0,105430932,0,0,0
6426544,4564984,341193022,775810691,583863159,972435,1,105427158,0,0,0
6601636,4659165,363182694,761017830,562959365,1007110,0,105452415,0,0,0
6603034,4541444,331319051,687982743,503810160,1009353,1,105438954,0,0,0
6719659,4726081,351533174,754629550,559850816,1043261,3,105454641,0,0,0
4243465,2990597,214094862,779091059,658627021,664207,0,105396378,0,0,0
5728078,4097826,307031153,737251135,566778555,851059,0,105550599,0,0,0
4296441,3051137,212031285,794379434,673030245,713133,0,105467952,0,0,0
5165627,3691686,272453692,694516001,539891521,825625,0,105425466,0,0,0
6882663,4821323,356455092,771665724,572598779,1058671,0,105486222,0,0,0
6681577,4800334,347565211,754473965,556630652,915932,0,105221178,0,0,0
7287403,5171052,376859895,761718474,554354068,1137464,0,105456264,0,0,0
5137692,3445136,251118733,731876366,589089991,758860,0,105475689,0,0,0
