category,bodytrack,freqmine,streamcluster,SP
runtime,28.818008422851562,92.44123530387878,117.89852452278137,233.60988688468933
l2miss,55969480.8014572,63600565.543859646,163159853.46070343,459041308.7017386
l3miss,2255703.6065573767,14436529.122807018,130232154.60703431,243749261.81530818
instructions,28157374204.335155,28807807696.654972,9510110739.591837,18103891858.853012
cycles,12495262895.628414,16656218446.97076,15161579697.29049,11773997666.701286
stall_cycles,1274745818.7978144,4583521310.11696,10049438471.32436,4705975179.896139
intra_coh,6877421.712204007,16203133.684210526,11066070.134607034,19141.995935877174
inter_coh,6.156648451730419,986.6783625730994,5.801128962223188,674.116053285166
wall_cycles,2158877702.513661,2235254191.48538,2121583704.246635,2190567840.4470534
llc_size,355243319.4899818,507999046.36257315,745122408.2674772,469534884.15443665
local_mem,128548446.19307832,626147040.5614035,8963939523.195831,17806806535.97652
remote_mem,3812786.5938069215,63096987.69590643,33960908.86669561,826297242.5016934
