l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
6240521,6290715,414377845,807564657,595525157,19134,0,1393268500,11993088,2629763072,22675456
5073680,4443301,314937444,594454923,419338106,20887,0,105795360,12713984,329646080,0
5879660,5250767,351352979,720989542,527123305,17387,0,105096456,11927552,354484224,7340032
5043193,4788598,334369884,776262555,588532956,15965,0,106233016,4063232,322109440,0
3785862,3140118,217243629,736224460,606143834,16991,0,105438560,7077888,256049152,11993088
6060722,5302054,333930223,777881623,602165709,12309,3,105257520,2621440,325320704,0
3292333,3303172,204104985,681441210,568214407,26795,3,104970421,21364736,221184000,5505024
8690732,6881998,501342110,747988188,471447504,488028,0,105446109,41549824,506003456,0
9432049,7399208,522130207,778647446,492932328,984896,0,105546582,41680896,490864640,0
8611109,6963662,512112288,784823787,501408887,526502,0,105415278,41287680,502005760,0
9399099,6957122,505586944,767566707,490939902,1072770,0,105277128,41025536,493223936,5242880
9782262,6938394,510542794,800044117,520615049,1537357,0,105414270,41549824,482607104,0
9871783,7017061,517820538,791713995,508080793,1520298,0,105524661,41287680,492568576,0
9630093,7183478,522550152,733957002,447596023,1369859,0,105155364,41680896,495583232,0
9497815,6723697,469489351,738259299,471775752,1334998,0,105592122,41418752,456130560,5439488
10045308,7023375,517974891,811116346,528520845,1581385,0,105208086,41484288,487522304,0
10033177,6989367,516301137,789191470,504449684,1446252,0,105464055,41549824,494796800,0
10122318,7096303,512142413,774122978,498556550,1325915,0,105367518,41746432,485490688,0
9996159,7027173,515910995,765784459,483623907,1379664,0,105657165,41680896,502333440,3276800
9901643,7107518,516539449,798676024,514700672,1433535,0,105100464,41484288,479920128,917504
9941105,7108513,521022366,793214957,507343192,1533033,0,105586437,41746432,491716608,0
9854194,7248574,524364700,778561116,494087163,1261304,0,105522834,41680896,493682688,0
9640555,6958673,510855693,776785054,496999885,1422487,0,105224988,41746432,486014976,983040
10129819,7086962,515518749,753741079,473446418,1328821,0,105469638,41746432,491520000,2555904
9506763,6914772,511863768,787380042,506405786,1242119,1,105518331,41353216,482672640,0
9794068,7096235,511649090,765391970,479355028,1231184,0,105475350,41418752,490405888,0
9765540,7070325,521228071,789917651,507668833,1448485,0,105309456,41353216,485228544,2162688
9953547,7136903,519600258,787098748,503742143,1391390,0,105135336,41156608,490799104,0
10016972,7019708,517077982,809408936,527358888,1585219,0,105397761,40960000,487063552,0
10040837,7010293,517004546,795056724,510378156,1510881,0,105914253,41156608,489816064,0
9866377,6951747,513414199,803843433,522456782,1526897,0,105176721,41353216,481296384,327680
10021444,7016336,512121670,797971882,515362625,1461542,0,105496194,41025536,484114432,3473408
10313197,7275284,524264478,763329358,477097464,1362743,0,105167187,41091072,505675776,0
9755402,6860976,505563953,784917128,507251094,1487998,0,105231204,41156608,481755136,3670016
10186990,7074625,515839570,782032281,500327710,1487394,0,105435162,41091072,493223936,0
9938619,7283040,523395628,748286123,461924875,1340741,0,105343935,40960000,505348096,983040
9769435,6902383,509513092,785950433,506074584,1428248,0,105418962,41156608,481558528,0
9843232,6973859,515500004,808064627,522904834,1446231,0,105365829,40763392,488833024,786432
10084470,7011116,512248682,791008483,506196342,1527636,0,105449538,41156608,492044288,0
10019254,7181715,525124965,753521581,462472052,1279208,0,105375516,41025536,513343488,0
9685319,6858805,505042712,789265631,512457256,1415028,0,105375708,40763392,475004928,3211264
9794520,7028862,516622437,810889884,527750919,1440228,0,105387762,40828928,487587840,0
9640171,7062868,517755933,780628981,495517514,1212388,0,105374238,40763392,490995712,0
9695155,7030011,516915592,782421326,501015766,1237773,0,105404799,41025536,486473728,655360
10057200,7109435,513688669,792013031,509337698,1490366,0,105411981,41222144,484442112,0
9977123,7177851,519184451,743229444,460826697,1314913,0,105375387,40632320,501874688,3342336
10231355,7055504,520772413,778917840,500039170,1593317,0,105348804,41091072,493355008,0
10098970,7255374,521225905,771145358,488162739,1398362,0,105472224,40960000,493027328,0
10088898,7226569,522824538,768703049,485403965,1501621,1,105346416,40763392,496762880,458752
9712064,6953034,510410053,746837484,464607738,1343142,0,105414114,40894464,491585536,0
9795153,6975565,505411808,790008498,513274607,1444306,0,105937650,5242880,476446720,0
6640989,4689055,329556410,740718998,555754006,962985,0,105212778,8060928,340000768,5636096
7848618,5845004,405744737,758343553,531188003,1169924,0,105372012,9764864,400424960,851968
5318211,3853243,310429398,579553193,414591471,769378,0,105427494,9043968,267976704,0
7570003,5587599,392916516,783742496,562219979,1103607,0,105537831,5373952,378470400,0
3989162,3078883,200735995,737916252,620119233,554065,6,106000351,3997696,214106112,917504
6485449,4894010,341021548,758330253,567087640,951768,0,105554673,18481152,346685440,6488064
4125035,3405104,216409791,686592953,545248450,637204,0,105401495,1835008,196280320,0
5474356,4294652,294446582,690633131,528592671,772981,0,105046590,6225920,298254336,7143424
7037114,5374600,375080351,707215819,499682604,1003933,0,105534996,10420224,372768768,655360
7875481,5670135,407920833,771570073,541454412,1266153,0,105487864,11403264,399441920,0
6886618,5002737,352424380,747474568,544009367,1037138,0,105462803,10223616,356909056,0
6463197,4886433,340887963,775662257,586030756,899735,1,105533361,983040,322502656,0
4676070,3638411,243099725,677198658,541385125,693411,0,105247962,6619136,254410752,327680
6806171,4895902,348452789,785472190,589010986,1050754,0,105903231,3604480,339738624,0
4171630,3152984,215838074,763898737,640856781,704950,0,105441675,6619136,209911808,0
6644936,4967884,368357699,774513106,577697544,954026,0,105296679,10551296,351272960,3932160
7197948,5437078,384609405,780759143,565284205,1028083,0,105628506,9568256,381616128,1900544
8029126,5871834,422140036,764507258,525940534,1181515,0,105389499,12910592,414777344,0
7292807,5580738,392668556,759101123,541700214,1006293,0,105638160,10747904,382337024,0
7676489,5605162,394793195,768607989,547539608,1231437,0,105331806,5963776,385417216,0
4580589,3446968,236210339,694332014,564867358,674442,0,105701784,6750208,236060672,720896
7631101,5708674,388975966,782820104,563052518,979143,0,105101382,1769472,382468096,0
4951818,3747442,257610842,727745793,583177812,804896,0,105915102,4128768,260767744,1179648
5171534,3728325,262526546,744818002,597681590,701700,0,105411378,9306112,269090816,4915200
8436456,6472510,430929261,720760411,481910967,1120053,0,105139476,9371648,437911552,0
5495766,4029893,295696978,549466481,384423981,842608,3,105442509,11927552,296943616,4521984
7298436,5481617,383679575,779984535,560846173,1055794,3,105624249,6684672,362938368,0
5793974,4488957,396475669,640274358,427975635,589794,10,105270954,11010048,343932928,4849664
5648102,4207384,286571928,725817664,571278633,876672,4,105533320,5439488,268763136,131072
6110505,4521397,307028525,727698072,557090577,917711,3,105307022,8519680,309002240,1376256
6861394,4914054,345456403,751210781,556480041,953575,4,105698224,4259840,350879744,0
4480258,3435647,230597388,737653291,605608149,662584,1,105721988,3014656,218431488,0
6984584,5239179,362743326,726101299,527737497,964327,0,105390032,11141120,363724800,10813440
