l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5036663,581,443151336,815914978,534171404,3735371,0,1047620888,8388608,62259200,0
5131451,636,440057779,814438806,528970680,3707064,0,105236540,2818048,3080192,0
4977494,584,444481132,811059575,531128850,3720515,0,105143460,4259840,3407872,524288
5076677,621,447342070,813271032,531202210,3644622,0,104999384,3473408,4063232,0
5010993,574,445411094,812976846,530280851,3494573,0,105510252,7929856,8454144,327680
4985658,516,438818727,813855185,533080411,3757941,0,105273292,7602176,6356992,0
5150785,525,439544617,813480112,528443641,3769941,0,105017284,3932160,1245184,131072
5072122,601,444043368,810224405,531126258,3756873,0,105346168,5505024,5373952,0
5174345,790,444910174,813441626,531458205,3726515,0,105262084,5439488,4325376,65536
5084094,560,444319462,813245174,531632824,3552075,0,105340287,3735552,2949120,0
4936875,546,439378996,813960230,532600979,3695118,0,105126441,5832704,4128768,0
5174188,557,441112141,811814626,528533670,3833682,0,105230088,9699328,6881280,196608
5009649,523,447076285,810835057,531704478,3719818,0,105261447,8192000,7208960,0
5025070,553,445732001,813090410,531846877,3681199,0,105347433,9109504,4063232,65536
5140932,512,443731051,812687696,532910923,3623354,0,105283245,13369344,5767168,0
5038352,450,438494315,814355943,532376985,3737423,0,105245934,16777216,4980736,65536
4984690,477,444359313,811572840,527594346,3655460,0,105189108,20578304,5505024,196608
5064648,595,448926184,811367759,530931737,3660193,0,105288240,22806528,4915200,0
5193201,661,444954580,813233758,531680466,3789740,0,105317988,24182784,4849664,262144
5107152,675,443464926,812949936,533741766,3639360,0,105312759,26476544,7864320,0
5190024,428,438749363,814816316,531358545,3709471,0,105263334,28770304,9306112,262144
5099135,584,443042733,811744109,529239300,3662189,0,105257151,30670848,6619136,0
5052932,470,448984038,812475369,531588991,3720875,0,105298110,31195136,3473408,0
5114299,622,443514399,812882952,531693417,3722348,0,105281133,21692416,5832704,65536
5176204,806,443586653,812907506,534210279,3715687,0,105303114,17498112,5701632,0
5123179,661,439025262,814733198,530302524,3828051,0,105260457,18153472,3080192,196608
5149220,542,442700773,811105671,529716196,3779284,0,105264216,21823488,8192000,131072
5011199,538,450235274,812091848,530791310,3663211,0,105184566,24444928,8192000,0
5032376,566,446805970,812970908,530097621,3522971,0,105336093,27131904,7733248,0
5023840,553,443100310,812941223,533796311,3638631,0,105236238,28639232,4784128,196608
5185397,420,437649735,813510989,529627844,3808991,0,105256038,29229056,4587520,0
4932775,471,444070014,810396895,529583055,3707234,0,105260373,29032448,4521984,0
5069180,517,449904729,813314359,531612203,3697404,0,105286956,30081024,7143424,65536
5192976,485,444805333,812865426,531497428,3688166,0,105293421,30670848,4718592,0
5032999,354,442586514,813455066,533568924,3641654,0,105253323,22544384,720896,0
5148342,384,440156689,814074795,529130870,3748923,0,105263112,16973824,3211264,65536
