l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5091461,720,462584492,813983997,517456347,3667286,0,1013421620,13172736,65929216,131072
5019011,656,460889197,812483992,517752709,3778764,0,105108640,12910592,9043968,131072
5057993,586,461299934,812143135,517566453,3636226,0,105594864,6488064,3670016,0
4892907,700,462488500,812513529,516326474,3559823,0,105048380,5505024,3735552,131072
4937423,584,461894481,812114340,516861523,3665970,0,104935272,7077888,3276800,262144
5099552,760,460526801,812186353,517035454,3691304,0,105519972,10158080,8585216,0
4959389,653,461660400,811826697,516751608,3673706,0,105251800,12910592,6356992,0
4945806,706,460992450,812161339,517538593,3601650,0,105025368,7143424,917504,0
4982357,492,461437937,812053767,516314315,3629419,0,105211599,8585216,5373952,0
4934829,688,462291537,812306995,516680457,3582139,0,105343293,10092544,4390912,196608
5091301,695,460208477,811316035,516894206,3672601,0,105094413,11141120,2883584,0
5071139,479,460188614,811844157,517889610,3695775,0,105266259,13238272,4390912,0
5096445,764,461005349,811687114,517570839,3718108,0,105256656,16580608,7340032,393216
5033437,656,462541351,812317396,517818552,3689350,0,105282309,11862016,7471104,0
4938223,741,461370898,811820588,517278687,3627048,0,105267711,11927552,4063232,65536
4947894,581,463102838,811320919,516161010,3595770,0,105227487,15925248,5963776,0
4940569,716,461722242,811545287,517401132,3677016,0,105249834,18939904,5046272,65536
4807182,475,464569676,811801511,515978201,3484916,0,105274425,17825792,5177344,131072
4914972,537,463462924,812515407,516825425,3554399,0,105347976,19791872,5439488,0
4943418,542,463144585,811961385,517295437,3654705,0,105221400,21692416,5439488,0
4853026,703,464455915,811804362,516316495,3569038,0,105239454,24838144,8585216,0
5114550,627,460551364,811841977,517715044,3793597,0,105191379,27656192,8388608,196608
4980705,717,463813450,812559761,517128512,3624359,0,105279723,29949952,6488064,0
5028259,435,461491256,812307867,517485080,3645754,0,105273450,31326208,3670016,196608
4901559,633,462402477,811807106,516685394,3564345,0,105268797,21823488,6488064,458752
5077033,596,461728808,811325552,516589578,3736153,0,105189051,18087936,4849664,0
5032755,634,462241570,811646932,517163351,3684004,0,105255246,19005440,4784128,196608
5147008,644,461918142,812651648,517888434,3783933,0,105330888,21626880,7733248,0
