category,swaptions,canneal,streamcluster,SP
runtime,68.91941213607788,83.65881395339966,120.41532707214355,231.6849389076233
l2miss,7378090.342261905,56162204.19720187,158242167.09213862,460343756.976068
l3miss,15947.217261904761,39551083.650899395,126577029.61961117,246456897.30709013
instructions,22767407740.44643,1704578332.7248502,9234602768.393913,17915210854.16238
cycles,14648595028.497025,8549263910.579614,15125748593.186813,12530294728.740772
stall_cycles,3627484050.5059524,7290873885.969354,10154236321.310228,5473123719.024826
intra_coh,5499564.255952381,1823665.169886742,10950838.537616229,44312.5877879669
inter_coh,0.28273809523809523,1250.2065289806794,1.7328825021132712,228.4813240885708
wall_cycles,2119313957.8720238,2307645792.9513655,2118075989.416737,2157694081.623798
llc_size,51915824.76190476,234932369.99333775,738202379.0363483,445566233.0216954
local_mem,196998.09523809524,2893735312.4583616,8790552530.989012,18230720049.81436
remote_mem,24380.95238095238,92054284.45036642,37508418.86728656,2317038692.0867815
