category,swaptions,freqmine,streamcluster,SP
runtime,56.80376315116882,79.65325832366943,116.22096705436707,232.78810119628906
l2miss,5329439.183303085,74516174.18305086,164318242.469352,455845706.84624016
l3miss,18089.364791288568,40543838.481355935,131163271.26094571,240787109.68799102
instructions,27580366994.11978,33419196250.738983,9565056820.15762,17985212166.43771
cycles,16454657296.950998,20043760071.471184,15101358450.8669,11488603010.630753
stall_cycles,3665866310.199637,6125741101.722034,9958819355.779335,4483793119.349046
intra_coh,4238465.680580762,17189051.89152542,11560017.294220665,19610.078563411895
inter_coh,0.16333938294010888,0.8271186440677967,1.0683012259194395,0.6689113355780023
wall_cycles,2125068459.7822142,2242774823.6881356,2116658917.285464,2175560030.020202
llc_size,39693882.540834844,419281999.83728814,730888805.323993,465092295.39842874
local_mem,294971.4700544465,3610585733.640678,9113909029.211908,18400088601.858585
remote_mem,48765.444646098,20265952.759322032,37270013.309982486,113842284.03142536
