l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
35429102,19809997,1479471575,840066744,258134224,558,0,1115180304,33095680,13990363136,0
31870711,17092140,1510790234,837543738,262633071,660,0,105484160,38600704,1016725504,12320768
29274011,17323028,1397928496,837153138,310560084,13500,0,105212724,34734080,875823104,0
33235294,20055004,924744813,837421369,408014816,4725,0,105660480,38600704,1940127744,48758784
29880577,20231858,1594031378,838586102,315844416,287,0,105338428,33751040,1698824192,0
38755151,18894850,1438048585,837088090,252831455,325,0,105365252,37748736,1868365824,16187392
37912938,19276945,996606448,836162867,415766787,886,0,105448388,35848192,2034827264,0
32071924,15841428,1492695191,647824502,118757526,193,0,4762025559,19529728,624558080,0
38211751,20321762,1497810146,1024560613,413849839,419,0,105320715,39518208,1038417920,0
28527407,16106270,1360070344,866646029,333652437,10170,0,105462852,32702464,941817856,8388608
36312781,18640250,1299557544,1003976670,437099898,15501,0,105392619,38010880,1179189248,16580608
33283982,20639487,867307662,1001251616,643471443,817,0,105485487,34406400,2244214784,0
35593692,21771808,2099155978,1030896459,305633482,353,0,105332508,38010880,1791426560,7471104
47440158,18251409,990796006,835415472,411131261,934,1,105420873,34603008,2135621632,7602176
36838198,20820719,1728515550,797706074,198692132,627,0,105441648,34340864,1193410560,0
28946195,17403125,1299618011,797758627,243783418,708,0,105453957,32309248,1010827264,0
29409855,16751009,1417889964,798413901,286134383,4557,0,105463761,33816576,1053818880,3604480
30778090,17002550,1338470728,797155994,267407192,14010,0,105443481,34734080,859504640,0
32864812,20163894,826753209,767708350,420614125,2048,0,105443742,38076416,2106195968,26869760
27168350,19360548,1807625211,757933779,169707901,330,0,105465732,39780352,1498284032,0
38957737,18715543,1133990195,757189690,249613428,254,0,105385998,41091072,1899429888,6029312
35927868,21028349,1118974967,758138562,345932156,822,0,105426918,33161216,1953038336,0
35828893,19274472,1721015066,756868610,182787399,570,0,105367305,40763392,1022230528,10813440
28790952,15934392,1389291050,745891834,209106138,545,0,105330996,33554432,750583808,0
28368687,16703590,1109223213,692765274,247983502,9143,0,105429429,31588352,1041825792,0
27039026,15033338,1153886571,697461411,229425240,10601,0,105473373,26476544,813301760,0
27463138,18513862,666751919,672229671,352186726,339,0,105316845,33882112,2051866624,22544384
23859197,17058670,1392657101,665978026,125466602,254,0,105392724,40304640,1366753280,1048576
33799237,19097001,1333712313,708580079,205108880,283,0,105527352,37486592,1796472832,3997696
37148832,20642442,1042492015,679368127,290131650,1436,0,105454251,34275328,2056650752,0
34496477,18017969,1605715764,677986258,118150670,235,0,105374244,32833536,746520576,65536
27767377,16500825,1197765419,677260726,213977742,899,0,105509175,33095680,959709184,0
26470334,16908849,1149522032,677475091,217184556,5647,6,105492954,34078720,988676096,3604480
26737220,15115492,1182584929,660641212,194446675,14620,1,105458427,33488896,799080448,1179648
20606990,12795866,719528358,550884037,221922357,2154,4,105493818,37683200,1196163072,21102592
29721619,19933934,1019524045,647724904,233971305,261,0,105374325,33357824,1873543168,0
21740531,17305709,1567317849,637895423,87123019,337,0,105516432,37879808,1268449280,13959168
42916727,20195240,945489407,638502681,243516801,562,3,105578727,36110336,2106195968,655360
30287120,19637212,1299102322,638159627,181728012,1013,1,105421920,34996224,1393885184,0
29832113,16635376,1377015138,637745034,160935588,782,3,105367104,36831232,997064704,5177344
25684409,14582793,1223696183,627182451,153590332,243,1,105418200,31653888,688783360,0
23526751,13959175,1068028966,594668307,193107445,6247,0,105394182,38600704,956497920,0
25248563,14939628,1101392673,598383550,163837872,8138,3,105490710,34209792,779550720,3670016
30794734,21525795,806966922,593029769,257771091,2902,1,105553779,40501248,2015559680,25821184
22336711,17994846,1217709631,597979363,138535223,287,0,105441627,33095680,1373044736,0
26517157,17794512,1276721898,597257772,116928138,262,0,105407301,40435712,1509883904,14680064
37871352,20798618,978219772,597631880,233008677,778,0,105466866,37158912,2098724864,6684672
29498947,15394415,1362217901,574506966,118907189,333,4,105444669,31522816,866844672,0
22609267,13802368,1004274285,510249045,125400439,630,0,105405960,32702464,841613312,0
23634203,13273431,1109851254,557841684,126781381,401,4,105400452,32112640,632815616,4194304
22730681,14468226,1045958534,557577425,161691063,7770,9,105423189,31784960,1027211264,3080192
23439167,14477725,1011089367,557132087,159044917,12720,3,105447855,35913728,795541504,0
29464437,20798721,842583625,558547401,208801340,5152,1,105563235,37355520,1810956288,20840448
21874197,18286921,1075561498,553953457,155462677,273,1,105355077,34865152,1483997184,0
18819980,14169598,1296828973,533880660,76120210,256,1,105505911,35520512,1081671680,14942208
31172533,19488812,817656665,459077831,135961086,428,5,105532665,39518208,1651703808,4521984
26505761,21467071,1018973210,517835497,147053384,1066,14,105370866,32374784,1615790080,0
26911644,14654130,1268503107,517913828,79718911,119,1,105393549,32964608,658964480,0
21696614,14961188,956537698,504784235,130301496,522,4,105372054,28770304,909901824,524288
21186689,11923117,986469807,499157623,111696727,240,7,105505029,31719424,640221184,3211264
20428818,12655634,898438391,495158755,142630237,8341,1,105460392,33161216,887160832,2031616
21913326,13308753,951924988,491959030,120904109,5483,4,105374457,37945344,687341568,0
19480010,14668486,651572601,396058259,140765237,918,4,105520446,37224448,1392181248,20185088
20129921,17215705,854141992,460419996,138560108,222,4,105316848,28704768,1506934784,0
16318355,13243902,1235576106,465838948,33702027,172,1,105496257,30867456,920649728,0
16577710,12273837,666404034,307248317,59000611,189,3,105524595,35782656,877199360,13434880
29999585,18878849,823268709,462556662,138227521,1079,4,105428211,32636928,1790443520,1769472
23884436,17360657,1098356550,477453094,107570494,690,6,105403791,30081024,1241251840,0
25017892,13681879,1138841204,475672307,78017896,256,1,105518709,34930688,717815808,18087936
