l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7320293,5473023,396461607,813145192,582555426,536551,0,1135204700,9109504,3426287616,16515072
7796945,6223180,406287198,732362069,513910912,420880,0,105520848,3014656,417923072,0
8080201,5917451,416271783,764362841,540145509,1283861,0,105206800,7340032,404226048,11468800
4918517,3400232,269914668,741517320,578666475,812185,0,105536808,3473408,263847936,0
5715081,4157919,287392479,762832216,589765660,921191,1,105317072,7733248,316538880,3735552
5584564,4038966,278284207,786715001,634432771,914466,0,105404988,4259840,265420800,0
3941964,3069968,206802469,654473582,532513301,669790,0,105129084,7274496,218431488,7143424
7670630,5591914,408250602,742401204,518539745,1247552,1,105369438,41615360,395182080,0
10087165,7208042,526892056,795265539,508229391,1481441,0,105138537,41746432,499187712,0
10207591,7175126,526114786,809751911,521140272,1683629,0,105225963,41549824,497876992,4128768
10101912,7137557,523691054,795496767,509961639,1600172,0,105259665,41680896,499384320,0
10467341,7554603,532221655,764847269,477878192,1368849,0,105340920,41811968,509542400,2949120
10096886,7125789,521663284,777955971,490572989,1499242,0,105558732,40960000,499515392,0
10107431,7162038,525646542,809671195,520849901,1600171,0,105187293,41943040,492371968,3538944
10034045,7166964,526245576,809046144,522053115,1539088,0,105520737,41746432,500170752,0
10058197,7270784,527865118,791178488,503851456,1504943,0,105489840,41484288,495583232,0
10050523,7119075,522572095,802908268,515585787,1530609,0,105268275,40304640,494010368,327680
10058736,7275604,527203169,792530548,504790647,1422799,0,105154173,41549824,496304128,4784128
10295809,7738106,534733842,739484325,453989689,1257277,0,105303933,41615360,512294912,0
9978486,7177320,532520780,783704779,491444197,1453423,0,105459324,41877504,505544704,0
10131450,7139771,517101998,782405001,502104990,1497122,0,105340767,41025536,497025024,0
10029216,7087063,519971831,797573543,512941990,1638199,0,105193863,41549824,490012672,3342336
10166142,7181934,526068371,803075966,516743391,1641728,0,105504354,41943040,497221632,786432
10043123,7112869,524320243,801568004,514875555,1555546,0,105330246,41680896,493617152,917504
10247735,7139409,523569378,795054528,507328736,1624267,0,105329766,41484288,497352704,0
10352453,7351633,527860875,743177862,452443307,1313316,0,105130068,41418752,516751360,0
10091314,7134647,524846799,763957567,480007807,1555636,0,105844182,41615360,494796800,0
10209962,7131898,519110575,784780221,499483408,1551534,0,105191553,41549824,494993408,4653056
10359935,7268758,524958274,807435135,521170110,1583261,0,105184131,41222144,493813760,0
9935028,7099681,520610294,804515345,516788289,1514682,0,105619965,41877504,494731264,0
