l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
74844,1581,1577779047,841457346,155139927,28923,0,1093946024,393216,655360,65536
62706,834,1564076446,840050576,155721884,23182,0,105293896,393216,0,0
61167,651,1568459141,839871982,155538398,22140,0,104848456,458752,0,65536
63052,636,1576321790,840042835,154960178,27092,0,105776942,327680,65536,0
55135,515,1575089882,839817055,154909886,23192,0,105287574,327680,0,0
61530,460,1575722962,839472547,154703812,21771,0,104855880,327680,0,0
63758,764,1574746389,839295334,154805225,26476,0,105151431,327680,0,65536
59787,1015,1575397775,839564920,154861535,23051,0,105340896,327680,131072,0
59728,748,1575902864,839758084,154662201,28433,0,105220302,327680,0,0
61393,616,1576428442,839884406,154783973,28460,0,105347382,327680,0,0
61500,629,1575657170,839447743,154515581,27012,0,105205599,327680,0,0
65181,569,1574857701,839247830,154673336,22057,0,105259887,327680,0,0
63080,572,1575374984,839586309,154756091,38609,0,105288216,327680,0,0
66883,720,1576584126,840032681,154774398,30856,0,105289911,327680,0,0
63233,724,1575432513,839443401,154704435,29962,0,105284823,393216,131072,0
60759,514,1575334646,839346594,154534426,32326,0,105245274,393216,0,0
68084,465,1575211040,839241977,154588210,28081,0,105263226,393216,0,0
53603,469,1575950654,839630570,154613227,23139,0,105303219,327680,0,65536
59630,664,1576414054,840060164,154738921,29320,0,105336501,393216,196608,0
68537,509,1576138319,839672918,154616159,32636,0,105243783,327680,65536,0
59532,559,1575822789,839245802,154555970,37864,0,105260898,327680,0,0
63511,442,1575411751,839388265,154579805,29394,0,105263829,327680,0,0
62450,555,1575768807,839517889,154576658,25382,0,105287892,327680,0,0
51723,444,1577392210,840175213,154678284,21447,0,105290115,327680,0,0
53693,512,1575847512,839500803,154572440,22308,0,105285243,327680,0,0
59524,453,1575842322,839330323,154521385,24810,0,105299583,327680,0,0
64813,458,1575568205,839496074,154620245,27835,0,105245556,327680,0,0
61699,437,1577108365,839936089,154641970,25433,0,105292374,327680,0,0
68529,1095,1549569602,839627870,158969433,30268,0,105282126,589824,262144,0
69205,1092,1450218317,839204086,178220157,37633,0,105239733,589824,0,0
68689,636,1450791898,839299751,178157276,32973,0,105271890,589824,0,0
61248,519,1451216209,839285297,178160975,30324,0,105263649,589824,0,0
63041,368,1451787579,839989294,178302108,27366,0,105284937,589824,0,0
69283,517,1451181217,839695499,178208057,22200,0,105289218,589824,0,0
59880,382,1450703213,839371751,178159974,34182,0,105265896,589824,0,0
60035,387,1450778006,839343380,178143390,28152,0,105233178,589824,0,0
80268,523,1450961680,839605637,178222402,32961,0,105282546,589824,0,0
71886,473,1450962776,839761268,178226405,24036,0,105284004,589824,0,0
76627,803,1450619186,839439939,178205824,33077,0,105291309,720896,131072,0
56348,597,1451526799,839466196,178156591,31816,0,105306723,720896,0,0
74224,542,1450211776,839271113,178158613,30201,0,105270855,720896,0,0
74746,496,1450937152,839602865,178293357,37132,0,105296400,720896,0,0
69935,497,1451273203,839772413,178285379,31193,0,105212283,720896,0,0
76004,553,1439861978,839918581,179138808,30162,0,105364467,720896,0,0
55741,466,1438733101,839190008,178999983,31306,0,105237564,720896,0,0
74406,475,1437928142,839258823,179087116,31962,0,105265206,720896,0,0
72601,532,1438506699,839602876,179167942,39137,0,105217686,720896,0,0
66501,446,1438304286,839723283,179217678,36786,0,105364776,720896,0,0
69185,393,1439500946,840004792,179157305,21663,0,105287088,720896,0,0
64300,478,1449738209,839241849,178108825,29801,0,105243627,720896,0,0
67182,494,1449396828,838685514,178083309,34520,0,105158298,720896,0,0
80932,618,1451091084,839583007,178218770,34285,0,105296505,524288,65536,0
80990,549,1451770451,840173426,178357777,36985,0,105271575,458752,65536,0
57499,639,1450777180,839550826,178185726,22270,0,105285411,458752,131072,0
61332,651,1451084397,839318248,178084167,22422,0,105254127,524288,65536,0
65437,609,1450066030,839239364,178244151,49587,0,105263844,458752,0,0
56438,929,1450996940,839389915,178153070,28622,0,105278055,458752,0,0
70453,888,1451580449,840156287,178406577,32908,0,105322929,524288,131072,0
69368,889,1450933410,839626433,178255429,31368,0,105264468,524288,131072,0
63913,727,1450792047,838913397,177969426,24711,0,105202986,589824,65536,0
54835,525,1451283768,839372156,178120063,24452,0,105263919,589824,0,0
77308,766,1452066887,839932265,178308283,39310,0,105304722,589824,0,0
67130,872,1451241933,839896092,178340160,28105,0,105322734,589824,0,0
