instructions:u,cycles:u
2067637,1039333
4124786,1464823
6195506,2040036
6368850,2206780
5310821,2038107
960594,318258
6399346,2248467
1347444,640059
1029837,498218
282101,446131
5397415,2233501
304124,435699
373802,336043
996320,934644
887675,859681
1142296,1126056
968193,906351
989746,850067
1310871,821045
111149,194943
763125,614558
226407,345493
685300,457131
926798,797248
301238,440195
439054,325215
1063345,925325
812049,806301
1771332,1337442
864710,745875
22068,89436
913279,772091
113067,201751
1071636,914025
984807,878811
1260739,736504
1100584,896285
298634,443248
180146,185584
1226498,887876
1620337,1300720
None,None
215720,342411
969438,776732
837049,703957
1479084,1023691
300477,447750
196248,189787
969382,859981
1175903,964925
1342491,1089568
301126,435144
432457,303951
1237396,965518
1085427,923343
1640059,1321688
898242,713309
12329,78815
1518503,987806
116606,208067
1064285,875846
1146148,927493
893346,567707
1057406,848225
302910,443441
531142,357899
1120940,925606
1161050,944631
1796632,1317788
1108375,929847
1337301,970632
1250889,919499
107717,194840
1255424,810181
188712,292843
1107516,713035
1396139,1062119
298617,424715
449830,283515
997754,877403
1284417,908920
1057468,581436
103893,185183
1343152,988194
270923,346241
4204,5487
3228,16821
1063356,583220
9838,74285
1383983,982308
149631,267480
1380304,976381
1453236,1015121
1090579,696350
230126,124218
102062,184925
1413339,1000077
1282255,925443
1093533,836242
1297949,1024261
300624,445806
528046,367596
1167536,921986
1221635,962756
1814343,1311547
1324864,932711
104178,179925
971442,890688
1546315,1001467
1373408,950668
305378,431830
888891,488547
1403442,1000004
305369,434165
150591,164749
1050436,927308
1155385,911526
1404570,995477
1271683,639623
300319,450169
1227057,666133
104100,179567
1353381,973565
1212555,923018
1217947,838326
1118654,883403
300296,443030
206141,192775
1450910,960670
1614678,1103499
1255507,673486
113188,197586
1404406,954756
118273,162862
1241102,936046
1390414,971145
886294,614948
1321306,950138
303507,440864
375632,271894
1227504,916683
1464400,987644
1199,2835
978974,543029
301032,433079
283155,235816
1179825,931108
1165216,949370
1153343,790904
42465,56041
966490,510841
970276,878692
1310532,863796
1221795,661337
104252,190202
1654188,1047558
1275292,930697
1497625,1060069
297811,429265
89937,122837
1494484,963126
1291382,943653
1039049,564136
107631,193127
1164062,939749
1661357,1109991
1576539,978089
1315267,1006003
297839,441208
330779,243696
1054448,824342
1161136,909934
1456138,739401
26600,105670
1759094,1049891
297841,442321
358076,271551
1133993,879602
1772065,1083449
1297445,686720
28040,114791
1657248,1026063
1370752,968861
1220412,916335
299673,445234
356373,254564
1219595,945427
1133690,926643
1466400,1048247
1431793,673946
301525,455741
1215208,627794
103922,172164
1026103,900954
1526358,919411
301710,446564
189367,187121
1102728,876335
1457649,1046096
1459073,687817
107762,196671
1471152,1059995
1625637,1070324
803905,651980
332881,191865
107731,189676
1398936,1018716
264509,321281
1779756,1094691
1167910,608443
23623,103073
1250126,965852
1641848,1054213
1226470,991348
297905,422151
682903,406637
1115925,942868
1533006,925901
1291999,660635
56695,151788
1112682,933796
1614000,1064836
1272285,924748
255694,363249
1016160,605670
1346397,972490
1047124,879199
1372104,977779
1488759,955913
1066285,879632
42455,55488
452268,283104
1265334,871765
1324209,974599
980303,573142
87664,154265
1599079,1249106
1799692,1092720
1549611,995602
1201742,773641
110742,195342
1646886,1014951
295427,394384
1025342,587696
1539649,1108307
301627,447220
273255,218015
1640850,956256
2637674,1644321
None,None
265843,393834
33443,33713
3312,14401
1484795,719904
27855,108514
1589324,1310830
1467492,1021006
1897138,1080488
1548393,1011615
96837,138261
1256074,764736
301549,444661
1518801,735023
1395787,1017114
301661,451823
1167099,605735
123143,69172
299635,450800
1664079,754447
102349,178722
1663866,1055837
1134828,954351
1816193,1078239
300628,455439
1146295,612707
299063,430199
520988,340402
1162065,913905
1901563,1079144
1687044,1094670
1404299,1033120
1574679,746175
66305,146144
1395613,995588
1605660,1066692
2027297,1212024
300990,440691
99105,136063
1616426,1003538
3033634,1776687
None,None
301686,447437
1434114,1030788
43828,61279
1645857,1124416
1778511,805909
114456,195336
1691014,1090287
1463219,967024
1138998,781664
806697,407811
114445,196992
1527799,1061893
1586984,1063159
2112929,1138573
596,8156
112657,199040
1707603,1046812
1513807,985144
1995505,1215775
305584,444747
731881,414362
1272838,962714
1243693,870305
1839752,807094
12363,89081
1813730,1072525
1543101,1037332
1976946,1279546
1329091,1030356
300309,440519
205514,198062
1321986,921590
3866358,2023256
None,None
303100,453609
890411,526431
2471180,1724415
1113318,646308
None,None
217925,340878
1310154,732588
1578258,1008402
1175673,932746
1697325,1013442
1895789,848056
299060,451687
1087054,622459
108245,194895
1440559,1037924
2206733,1163811
1928494,1198453
299153,447818
926431,488068
1218508,933786
1664257,983762
1074627,606241
101735,178696
1461639,993340
2271056,1204803
2056487,1257181
300272,454952
655993,405641
1149841,920329
1672259,987044
1143213,631951
72319,151550
1223083,941749
219935,306498
1460607,990620
2292187,1213248
1977636,1013533
1257683,946428
300312,444458
939017,446345
1372190,945820
1446912,1029140
1018334,585115
22068,91692
1545169,1046199
1945248,1163047
2426893,1370707
302197,441744
679654,367172
1136413,926347
2136738,1159322
1173694,642490
