instructions:u,cycles:u
2092282,1050984
6547319,2293057
7009639,2312972
4949517,1972209
6361246,2262858
6162265,2197548
996445,863466
5289297,2095969
927770,937854
889751,848145
907744,864657
941804,875431
968408,871402
992178,865937
1421543,968344
874528,818414
918881,837037
941334,840620
956249,885250
983001,900586
998364,905561
1396268,968222
898428,869104
940504,886105
1086239,919557
981865,901062
1363547,983100
1097296,936136
1398217,976064
954115,885065
967106,894898
1085193,907849
958320,883298
1460135,1023018
993433,903344
1078643,920774
1017221,904219
995113,894104
1434761,978365
998479,870425
1088520,918650
1064128,908123
1011438,899617
1505252,1019959
1085496,885075
1078918,864004
1087748,840725
1064830,869506
1211102,925553
1383439,950780
1161584,928524
1139709,913778
1206330,951370
1319392,931113
1252276,1004673
1303176,956804
1315015,969275
1367621,972526
1324492,961048
1405269,1003759
1359871,963386
1423093,995609
1371551,968434
1409572,990262
1396443,964324
1460919,1013668
1464044,1003448
1462133,981107
1292143,940842
1171619,916168
1321515,994345
1021475,890066
1558949,1019108
1362793,966668
1063467,869734
1390211,1016455
1016002,878928
1339315,694801
941935,809844
960915,863758
1402650,1005984
1372591,986285
1280245,984548
1204549,945772
1318486,976224
1529031,1026074
1268384,942852
1372350,977709
1291174,990152
1394538,1010706
1236292,968458
1339629,978230
1537843,966084
1533009,1017167
1450468,994162
1258761,977149
1371730,992596
1072380,959993
1321154,962098
1523559,1018175
1426554,933205
1290021,955202
1331855,969331
1203098,938180
1354523,949088
1461858,964731
1658786,1032913
1500534,997589
1745799,1101018
1282870,942115
1500487,1030230
1577281,1012709
1292495,927695
1337542,933396
1169269,894328
1635042,1019510
1602845,1017674
1315204,942572
1359600,936673
1185930,950660
1689614,1115619
1523825,1003388
1333785,970536
1289338,976044
1429569,998335
1432902,936591
1590753,987990
1356816,998211
1261953,992345
1458436,981376
1177147,923924
1430374,995999
1725153,1034824
1512162,996414
1057621,883790
1606126,1025052
1262883,953393
1480756,1018333
1754758,1064165
1470890,983259
1631288,1061354
1238562,927700
1466289,999287
1693872,1010545
1457297,966681
1260412,919879
1648519,1020080
1226264,967922
1520423,1033874
1809623,1091437
1508685,1017343
1161042,933986
1525355,1070925
1354204,967388
1125379,918393
1193267,953320
1331241,966557
1559855,992473
2522396,1792727
1614309,1028727
1318810,968226
1280100,967321
1417468,985078
1869108,1085777
1563579,1026242
1306662,947564
1746257,1083172
1325120,949893
1457683,979365
